Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
1,Aymen Abdennour,tn TUN,DF,es Valencia,25,1989,4,329,82,60.9,3.7,4,,3,0,,0,0.75,3,7,-4,-1.09,-1.52,Matches
2,Vincent Aboubakar,cm CMR,FW,pt Porto,23,1992,6,484,81,89.6,5.4,5,,4,1,,0,1.67,9,6,+3,+0.56,+3.77,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,17,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
4,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,24,1991,2,180,90,33.3,2.0,2,,2,0,,0,1.60,2,6,-4,-2.00,-2.00,Matches
5,Olcan Adın,tr TUR,MF,tr Galatasaray,29,1985,4,268,67,49.6,3.0,2,,1,2,,2,1.00,2,4,-2,-0.67,-0.01,Matches
6,Adriano,br BRA,"DF,MF",es Barcelona,30,1984,3,206,69,22.9,2.3,2,,2,1,,4,2.33,5,2,+3,+1.31,-0.12,Matches
7,Sergio Agüero,ar ARG,FW,eng Manchester City,27,1988,9,705,78,65.3,7.8,8,,4,1,,0,1.33,8,6,+2,+0.26,-0.70,Matches
8,Yeldos Akhmetov,kz KAZ,DF,kz FC Astana,25,1990,1,90,90,16.7,1.0,1,,1,0,,4,0.00,0,4,-4,-4.00,-4.20,Matches
9,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,29,1986,6,540,90,100.0,6.0,6,,6,0,,0,1.10,5,9,-4,-0.67,,Matches
10,Nana Akwasi Asare,gh GHA,"DF,MF",be Gent,29,1986,8,720,90,100.0,8.0,8,,8,0,,0,1.25,10,11,-1,-0.12,,Matches
11,David Alaba,at AUT,"DF,MF",de Bayern Munich,23,1992,10,930,93,83.8,10.3,10,,10,0,,0,2.00,24,11,+13,+1.26,-1.74,Matches
12,Jordi Alba,es ESP,"DF,MF",es Barcelona,26,1989,9,734,82,81.6,8.2,8,,7,1,,1,2.22,19,7,+12,+1.47,+0.39,Matches
13,Gal Alberman,il ISR,MF,il Maccabi Tel Aviv,32,1983,6,535,89,99.1,5.9,6,,5,0,,0,0.67,1,15,-14,-2.36,-56.36,Matches
14,Suently Alberto,cw CUW,DF,nl PSV Eindhoven,19,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
15,Paco Alcácer,es ESP,FW,es Valencia,21,1993,5,396,79,73.3,4.4,4,,3,1,,1,0.86,4,7,-3,-0.68,-0.68,Matches
16,Thiago Alcántara,es ESP,MF,de Bayern Munich,24,1991,9,719,80,64.8,8.0,8,,7,1,,1,1.89,20,8,+12,+1.50,-0.11,Matches
17,Illya Aleksiyevich,by BLR,"FW,MF",by BATE Borisov,24,1991,1,90,90,16.7,1.0,1,,1,0,,4,1.33,1,4,-3,-3.00,-2.60,Matches
18,André Almeida,pt POR,"DF,MF",pt Benfica,24,1990,8,655,82,72.8,7.3,7,,7,1,,0,1.38,10,9,+1,+0.14,-0.60,Matches
19,Xabi Alonso,es ESP,MF,de Bayern Munich,33,1981,8,657,82,59.2,7.3,8,,4,0,,4,2.00,12,7,+5,+0.68,-2.10,Matches
