Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
1,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,30,1986,6.0,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Miguel Ángel Moyá,es ESP,GK,es Atlético Madrid,32,1984,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Alphonse Areola,fr FRA,GK,fr Paris S-G,23,1993,6.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Milan Borjan,ca CAN,GK,bg Ludogorets,28,1987,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Claudio Bravo,cl CHI,GK,eng Manchester City,33,1983,3.6,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Gianluigi Buffon,it ITA,GK,it Juventus,38,1978,12.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Roman Bürki,ch SUI,GK,de Dortmund,25,1990,8.0,10,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Ludovic Butelle,fr FRA,GK,be Club Brugge,33,1983,6.0,14,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Willy Caballero,ar ARG,GK,eng Manchester City,34,1981,4.4,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Kiko Casilla,es ESP,GK,es Real Madrid,29,1986,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Iker Casillas,es ESP,GK,pt Porto,35,1981,8.0,6,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Radosław Cierzniak,pl POL,GK,pl Legia Warsaw,33,1983,1.0,8,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Jasper Cillessen,nl NED,GK,es Barcelona,27,1989,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Morgan De Sanctis,it ITA,GK,fr Monaco,39,1977,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Soslan Dzhanayev,ru RUS,GK,ru Rostov,29,1987,6.0,12,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Ederson,br BRA,GK,pt Benfica,22,1993,7.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Craig Gordon,sct SCO,GK,sct Celtic,33,1982,5.0,9,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Ben Hamer,eng ENG,GK,eng Leicester City,28,1987,1.0,5,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Bernd Leno,de GER,GK,de Leverkusen,24,1992,7.0,8,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Dominik Livaković,hr CRO,GK,hr Dinamo Zagreb,21,1995,4.0,8,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Hugo Lloris,fr FRA,GK,eng Tottenham,29,1986,6.0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Anthony Lopes,pt POR,GK,fr Lyon,25,1990,6.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Arkadiusz Malarz,pl POL,GK,pl Legia Warsaw,36,1980,5.0,16,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
