Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
1,Anicet Abel,mg MAD,"FW,MF",bg Ludogorets,26,1990,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Vincent Aboubakar,cm CMR,FW,tr Beşiktaş,24,1992,6,6,492,5.5,3,0,3,3,0,0,3,2,0.55,0.00,0.55,0.55,0.55,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,18,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Adriano,br BRA,"DF,MF",tr Beşiktaş,31,1984,6,6,471,5.2,1,0,1,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,28,1988,7,6,541,6.0,5,3,8,4,1,1,1,0,0.83,0.50,1.33,0.67,1.16,Matches
6,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,30,1986,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
7,David Alaba,at AUT,"DF,MF",de Bayern Munich,24,1992,9,9,840,9.3,0,2,2,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
8,Jordi Alba,es ESP,"DF,MF",es Barcelona,27,1989,6,6,436,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Raúl Albiol,es ESP,DF,it Napoli,30,1985,6,6,461,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Marc Albrighton,eng ENG,"DF,FW",eng Leicester City,26,1989,9,8,750,8.3,2,0,2,2,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches
11,Paco Alcácer,es ESP,FW,es Barcelona,22,1993,3,2,176,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Thiago Alcántara,es ESP,MF,de Bayern Munich,25,1991,9,9,786,8.7,2,3,5,2,0,0,1,0,0.23,0.34,0.57,0.23,0.57,Matches
13,Toby Alderweireld,be BEL,DF,eng Tottenham,27,1989,3,2,202,2.2,1,0,1,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45,Matches
14,Mihail Aleksandrov,bg BUL,MF,pl Legia Warsaw,27,1989,2,0,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Allan,br BRA,"DF,MF",it Napoli,25,1991,8,5,442,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Dele Alli,eng ENG,"FW,MF",eng Tottenham,20,1996,6,6,532,5.9,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches
17,André Almeida,pt POR,"DF,MF",pt Benfica,25,1990,4,3,273,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches
18,Xabi Alonso,es ESP,MF,de Bayern Munich,34,1981,7,7,589,6.5,0,1,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
19,Éder Álvarez Balanta,co COL,"DF,MF",ch Basel,23,1993,6,6,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Dani Alves,br BRA,"DF,MF",it Juventus,33,1983,12,11,1001,11.1,3,3,6,3,0,0,1,0,0.27,0.27,0.54,0.27,0.54,Matches
21,Danny Amankwaa,dk DEN,"FW,MF",dk FC Copenhagen,22,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Daniel Amartey,gh GHA,"DF,MF",eng Leicester City,21,1994,8,3,290,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,André,br BRA,FW,pt Sporting CP,25,1990,3,0,47,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
24,André André,pt POR,MF,pt Porto,26,1989,3,2,171,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Miguel Ángel Moyá,es ESP,GK,es Atlético Madrid,32,1984,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
26,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,25,1990,6,6,536,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Domagoj Antolić,hr CRO,MF,hr Dinamo Zagreb,26,1990,2,2,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Mikael Antonsson,se SWE,DF,dk FC Copenhagen,35,1981,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Vitorino Antunes,pt POR,DF,ua Dynamo Kyiv,29,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Charles Aránguiz,cl CHI,MF,de Leverkusen,27,1989,8,5,515,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
31,Alphonse Areola,fr FRA,GK,fr Paris S-G,23,1993,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Santiago Arias,co COL,"DF,MF",nl PSV Eindhoven,24,1992,4,4,332,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches
33,Stuart Armstrong,sct SCO,MF,sct Celtic,24,1992,5,3,324,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Tolgay Arslan,de GER,MF,tr Beşiktaş,25,1990,5,5,334,3.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Kwadwo Asamoah,gh GHA,"DF,MF",it Juventus,27,1988,3,2,160,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
36,Marco Asensio,es ESP,"FW,MF",es Real Madrid,20,1996,8,1,253,2.8,3,1,4,3,0,0,0,0,1.07,0.36,1.42,1.07,1.42,Matches
37,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",de Dortmund,27,1989,9,8,708,7.9,7,1,8,7,0,1,1,0,0.89,0.13,1.02,0.89,1.02,Matches
38,Jean-Kévin Augustin,fr FRA,FW,fr Paris S-G,19,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Ludwig Augustinsson,se SWE,"DF,MF",dk FC Copenhagen,22,1994,6,6,540,6.0,0,3,3,0,0,1,1,0,0.00,0.50,0.50,0.00,0.50,Matches
40,Filipe Augusto,br BRA,MF,pt Benfica,22,1993,1,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Serge Aurier,ci CIV,"DF,MF",fr Paris S-G,23,1992,5,3,281,3.1,0,1,1,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,Matches
42,Sardar Azmoun,ir IRN,"FW,MF",ru Rostov,21,1995,6,6,458,5.1,2,1,3,2,0,0,1,0,0.39,0.20,0.59,0.39,0.59,Matches
43,Holger Badstuber,de GER,DF,de Bayern Munich,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Leon Bailey,jm JAM,"FW,MF",de Leverkusen,18,1997,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Tiemoué Bakayoko,fr FRA,MF,fr Monaco,21,1994,10,10,842,9.4,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
46,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,27,1989,8,7,509,5.7,2,2,4,2,0,0,0,0,0.35,0.35,0.71,0.35,0.71,Matches
47,Harvey Barnes,eng ENG,"FW,MF",eng Leicester City,18,1997,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Marc Bartra,es ESP,DF,de Dortmund,25,1991,7,7,580,6.4,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
49,Andrea Barzagli,it ITA,DF,it Juventus,35,1981,11,8,715,7.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Julian Baumgartlinger,at AUT,"DF,MF",de Leverkusen,28,1988,6,3,323,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
51,Andreas Beck,de GER,"DF,MF",tr Beşiktaş,29,1987,6,6,479,5.3,0,1,1,0,0,0,1,1,0.00,0.19,0.19,0.00,0.19,Matches
52,Karim Bellarabi,de GER,"FW,MF",de Leverkusen,26,1990,2,2,156,1.7,1,0,1,1,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches
