Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,0,0,0,0,2,0,0,0,0,0,0,0,0,2,6,25.0,Matches
2,Michel Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,0,0,0,5,3,0,4,1,5,0,0,0,19,0,2,0.0,Matches
3,Sergio Agüero,ar ARG,FW,eng Manchester City,30,1988,5.6,3,0,0,5,3,3,6,2,3,0,0,0,9,6,3,66.7,Matches
4,Jean-Eudes Aholou,ci CIV,"MF,FW",fr Monaco,24,1994,2.0,0,0,0,3,1,0,0,3,0,0,0,0,14,2,2,50.0,Matches
5,Youssef Aït Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,0,0,0,2,3,0,1,0,2,0,0,0,13,1,0,100.0,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,1,0,0,1,2,0,1,9,7,0,0,0,28,8,3,72.7,Matches
7,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,0,0,0,0,4,0,8,1,1,1,0,0,5,1,3,25.0,Matches
8,Yunus Akgün,tr TUR,MF,tr Galatasaray,18,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
9,Ilzat Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,1,0,0,4,2,0,2,3,6,0,0,0,23,1,2,33.3,Matches
10,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,1,1,1,0,1,0,0,0,0,0,0,0,3,0,1,0.0,Matches
11,Kevin Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,0,0,0,1,2,0,0,1,4,0,0,0,9,0,2,0.0,Matches
12,David Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,0,0,0,5,0,1,18,16,6,0,0,0,33,16,2,88.9,Matches
13,Jordi Alba,es ESP,DF,es Barcelona,29,1989,11.0,2,0,0,6,3,2,24,17,8,0,0,0,80,6,4,60.0,Matches
14,Raúl Albiol,es ESP,DF,it Napoli,32,1985,5.5,1,0,0,3,4,0,0,8,1,0,0,0,20,10,6,62.5,Matches
15,Paco Alcácer,es ESP,FW,de Dortmund,24,1993,4.0,1,0,0,4,0,5,1,3,2,0,0,0,6,3,6,33.3,Matches
16,Thiago Alcántara,es ESP,MF,de Bayern Munich,27,1991,4.3,1,0,0,5,8,0,3,10,6,1,0,0,43,7,4,63.6,Matches
17,Toby Alderweireld,be BEL,DF,eng Tottenham,29,1989,12.0,2,0,0,6,3,0,2,12,7,0,0,0,51,24,26,48.0,Matches
18,Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,1,0,0,7,1,0,0,7,2,0,0,0,12,5,3,62.5,Matches
19,Carles Aleñá,es ESP,MF,es Barcelona,20,1998,1.0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0.0,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,10.2,0,0,0,7,3,1,73,18,10,0,0,0,76,7,8,46.7,Matches
21,Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,0,0,0,0,0,0,0,1,0,0,0,0,22,2,0,100.0,Matches
22,Allan,br BRA,MF,it Napoli,27,1991,5.7,1,0,0,12,12,0,0,5,22,0,0,0,61,2,2,50.0,Matches
23,Dele Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,0,0,0,6,11,1,4,6,5,0,0,0,39,7,15,31.8,Matches
24,André Almeida,pt POR,DF,pt Benfica,27,1990,6.0,1,0,0,10,12,1,7,14,11,0,0,0,39,8,6,57.1,Matches
25,Dani Alves,br BRA,"FW,DF",fr Paris S-G,35,1983,2.3,1,0,0,3,9,1,12,3,4,0,0,0,10,1,7,12.5,Matches
26,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,20,1997,3.9,3,1,1,6,0,0,0,10,3,0,0,0,22,4,9,30.8,Matches
27,Nadiem Amiri,de GER,MF,de Hoffenheim,21,1996,0.3,0,0,0,0,0,0,2,1,1,0,0,0,2,0,1,0.0,Matches
28,Sofyan Amrabat,ma MAR,"DF,MF",be Club Brugge,21,1996,2.0,1,0,0,4,2,0,2,4,2,0,0,0,11,6,6,50.0,Matches
29,Angeliño,es ESP,DF,nl PSV Eindhoven,21,1997,6.0,1,0,0,5,5,0,17,10,4,0,0,0,26,3,3,50.0,Matches
30,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,20,1998,7.0,1,0,0,7,12,2,1,7,8,0,0,0,45,3,6,33.3,Matches
31,Alphonse Areola,fr FRA,GK,fr Paris S-G,25,1993,3.0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0.0,Matches
32,Santiago Arias,co COL,"DF,FW",es Atlético Madrid,26,1992,3.8,0,0,0,0,3,0,8,2,5,0,0,0,19,4,0,100.0,Matches
33,Kwadwo Asamoah,gh GHA,DF,it Inter,29,1988,5.8,1,0,0,7,15,0,12,8,5,0,0,0,36,5,4,55.6,Matches
