Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,26,1992,1,1,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,2,0.00,0.00,0.00,0.00,0.00,0.20,0.08,0.28,0.20,0.28,Matches
2,Michel Aebischer,ch SUI,MF,ch Young Boys,21,1997,4,2,228,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,18,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches
3,Sergio Agüero,ar ARG,FW,eng Manchester City,30,1988,7,6,507,5.6,6,1,7,5,1,2,3,0,5.6,4.0,0.3,4.3,19,12,50,1.07,0.18,1.24,0.89,1.07,0.99,0.05,1.05,0.71,0.77,Matches
4,Jean-Eudes Aholou,ci CIV,"MF,FW",fr Monaco,24,1994,3,2,176,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,11,3,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.10,0.06,0.10,Matches
5,Youssef Aït Bennasser,ma MAR,MF,fr Monaco,22,1996,3,3,247,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,5,17,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,23,1995,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,6,35,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
7,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1,1,90,1.0,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.5,0,1,7,0.00,1.00,1.00,0.00,1.00,0.45,0.09,0.54,0.45,0.54,Matches
8,Yunus Akgün,tr TUR,MF,tr Galatasaray,18,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Ilzat Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,4,3,300,3.3,0,1,1,0,0,0,1,0,0.2,0.2,0.2,0.3,4,18,5,0.00,0.30,0.30,0.00,0.30,0.05,0.05,0.09,0.05,0.09,Matches
10,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5,5,449,5.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Kevin Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
