Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
1,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,24,1995,5.0,8,2,5,3,0,1,2,50.0,1,8,7,1,17,25,20,0,Matches
2,Tammy Abraham,eng ENG,FW,eng Chelsea,22,1997,2.6,0,0,0,0,0,0,0,,0,2,1,1,1,1,2,0,Matches
3,Francesco Acerbi,it ITA,DF,it Lazio,32,1988,8.0,15,8,9,6,0,6,9,66.7,3,9,6,3,11,26,25,0,Matches
4,Marcos Acuña,ar ARG,DF,es Sevilla,28,1991,3.6,9,8,6,1,2,3,4,75.0,1,7,0,7,3,12,5,0,Matches
5,Tyler Adams,us USA,"FW,MF",de RB Leipzig,21,1999,3.2,7,5,3,4,0,4,8,50.0,4,3,0,3,5,12,3,0,Matches
6,Karim Adeyemi,de GER,FW,at RB Salzburg,18,2002,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
7,Adrián,es ESP,GK,eng Liverpool,33,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
8,Nayef Aguerd,ma MAR,DF,fr Rennes,24,1996,3.1,1,1,1,0,0,0,0,,0,4,2,2,4,5,9,1,Matches
9,Sergio Agüero,ar ARG,FW,eng Manchester City,32,1988,1.7,1,0,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0,Matches
10,Manuel Akanji,ch SUI,DF,de Dortmund,25,1995,7.0,12,5,8,4,0,4,11,36.4,7,9,3,6,8,20,16,0,Matches
11,Marley Aké,fr FRA,"FW,MF",fr Marseille,19,2001,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,25,1995,2.0,3,3,2,0,1,3,4,75.0,1,1,0,1,3,6,4,0,Matches
13,Jean-Daniel Akpa-Akpro,ci CIV,MF,it Lazio,27,1992,3.2,8,4,3,5,0,3,6,50.0,3,4,1,3,7,15,4,0,Matches
14,David Alaba,at AUT,"DF,MF",de Bayern Munich,28,1992,9.0,14,7,6,8,0,5,7,71.4,2,8,3,5,14,28,19,1,Matches
15,Jordi Alba,es ESP,DF,es Barcelona,31,1989,5.4,5,5,1,4,0,2,5,40.0,3,4,2,2,6,11,6,0,Matches
16,Luis Alberto,es ESP,MF,it Lazio,27,1992,5.3,17,5,9,3,5,6,21,28.6,15,5,2,3,4,21,2,0,Matches
17,Thiago Alcántara,es ESP,MF,eng Liverpool,29,1991,2.5,10,8,5,3,2,1,2,50.0,1,4,1,3,3,13,5,1,Matches
18,Danijel Aleksić,rs SRB,MF,tr Başakşehir,29,1991,1.2,0,0,0,0,0,0,3,0.0,3,2,0,2,0,0,1,0,Matches
19,Carles Aleñá,es ESP,"MF,DF",es Barcelona,22,1998,1.4,1,1,0,1,0,0,2,0.0,2,2,2,0,0,1,2,0,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,21,1998,7.9,10,4,7,3,0,6,12,50.0,6,5,0,5,12,22,9,2,Matches
21,Hasan Ali Kaldırım,tr TUR,DF,tr Başakşehir,30,1989,1.2,1,0,0,1,0,1,1,100.0,0,5,2,3,1,2,2,0,Matches
22,Alisson,br BRA,GK,eng Liverpool,27,1992,7.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0,Matches
23,Marcos Alonso,es ESP,DF,eng Chelsea,29,1990,2.0,1,1,1,0,0,1,1,100.0,0,3,0,3,0,1,4,0,Matches
24,Éder Álvarez Balanta,co COL,MF,be Club Brugge,27,1993,2.6,2,0,2,0,0,1,7,14.3,6,3,2,1,4,6,5,0,Matches
25,Edson Álvarez,mx MEX,"MF,DF",nl Ajax,22,1997,1.4,3,0,1,1,1,0,1,0.0,1,3,2,1,3,6,5,0,Matches
26,Jordan Amavi,fr FRA,DF,fr Marseille,26,1994,5.0,8,7,5,3,0,4,8,50.0,4,2,1,1,10,18,6,0,Matches
27,Mikkel Andersen,dk DEN,GK,dk Midtjylland,31,1988,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
28,Felipe Anderson,br BRA,FW,pt Porto,27,1993,0.7,1,1,0,1,0,0,2,0.0,2,1,0,1,4,5,0,0,Matches
