Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
1,Brenden Aaronson,us USA,MF,at RB Salzburg,20,2000,7.9,342,5,46,136,164,12,342,20,10,50.0,10,50.0,175,977,416,13,8,2,27,14,220,51,Matches
2,Malik Abubakari,gh GHA,FW,se Malmö,21,2000,1.3,47,3,8,24,15,2,47,0,0,,0,,32,88,34,1,1,1,6,4,35,5,Matches
3,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,4.2,383,8,129,168,89,0,383,13,5,38.5,8,61.5,220,1192,662,13,15,0,9,1,245,18,Matches
4,Tyler Adams,us USA,MF,de RB Leipzig,22,1999,3.3,206,7,51,122,34,2,206,3,1,33.3,2,66.7,100,580,275,4,3,0,1,3,140,7,Matches
5,Junior Adamu,at AUT,FW,at RB Salzburg,20,2001,2.6,94,0,9,44,45,7,94,8,4,50.0,4,50.0,60,226,107,3,1,0,15,4,69,22,Matches
6,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7.0,252,228,252,0,0,0,252,0,0,,0,,150,770,457,0,0,0,0,0,116,0,Matches
7,Edmund Addo,gh GHA,MF,md Sheriff Tiraspol,21,2000,5.4,217,15,97,106,19,0,217,8,4,50.0,4,50.0,122,703,322,4,5,0,6,2,99,1,Matches
8,Karim Adeyemi,de GER,FW,at RB Salzburg,19,2002,6.7,174,3,18,42,118,30,171,26,9,34.6,17,65.4,135,1017,506,27,11,20,27,9,143,64,Matches
9,Michel Aebischer,ch SUI,MF,ch Young Boys,24,1997,5.6,332,7,81,172,88,6,332,8,3,37.5,5,62.5,211,858,451,13,10,2,9,8,223,16,Matches
10,Sergio Agüero,ar ARG,FW,es Barcelona,33,1988,0.2,9,0,0,3,6,2,9,3,1,33.3,2,66.7,4,27,3,0,0,1,0,0,6,1,Matches
11,Anel Ahmedhodžić,ba BIH,DF,se Malmö,22,1999,4.6,278,40,131,138,9,0,278,2,2,100.0,0,0.0,187,930,504,4,2,0,2,2,173,1,Matches
12,Manuel Akanji,ch SUI,DF,de Dortmund,26,1995,5.0,338,41,163,163,16,4,338,1,1,100.0,0,0.0,225,1505,923,3,4,1,2,1,235,0,Matches
13,Nathan Aké,nl NED,DF,eng Manchester City,26,1995,3.6,320,25,117,176,28,7,320,1,0,0.0,1,100.0,221,1161,757,2,5,1,1,0,229,2,Matches
14,David Alaba,at AUT,DF,es Real Madrid,29,1992,11.5,759,100,403,295,70,11,759,1,1,100.0,0,0.0,481,2907,1605,15,10,1,6,1,581,8,Matches
15,Jordi Alba,es ESP,"DF,FW",es Barcelona,32,1989,4.1,382,9,60,190,135,11,382,1,1,100.0,0,0.0,239,825,448,10,9,5,5,1,295,52,Matches
16,Raúl Albiol,es ESP,DF,es Villarreal,35,1985,11.6,590,117,356,226,9,1,590,1,1,100.0,0,0.0,308,1762,1094,3,1,1,4,1,350,0,Matches
17,Paco Alcácer,es ESP,FW,es Villarreal,27,1993,0.8,15,0,0,6,9,3,15,1,0,0.0,1,100.0,9,41,34,2,1,1,0,0,10,0,Matches
18,Thiago Alcántara,es ESP,MF,eng Liverpool,30,1991,6.7,636,17,96,396,150,5,636,18,10,55.6,8,44.4,351,1535,673,7,14,1,13,7,462,14,Matches
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,22,1998,8.8,918,16,167,452,307,15,918,10,5,50.0,5,50.0,494,2243,1083,20,16,5,14,4,622,59,Matches
20,Alisson,br BRA,GK,eng Liverpool,28,1992,13.0,504,363,501,5,0,0,504,2,2,100.0,0,0.0,334,1302,845,0,0,0,0,0,310,0,Matches
21,André Almeida,pt POR,"DF,MF",pt Benfica,30,1990,2.6,145,15,73,63,10,0,145,3,1,33.3,2,66.7,72,246,90,0,0,0,2,0,81,3,Matches
22,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,30,1990,6.1,459,6,88,162,211,17,459,10,5,50.0,5,50.0,236,1077,507,7,13,0,10,9,275,57,Matches
23,Éder Álvarez Balanta,co COL,MF,be Club Brugge,28,1993,4.5,214,17,80,100,40,4,214,10,8,80.0,2,20.0,90,402,195,5,5,0,7,4,86,2,Matches
24,Edson Álvarez,mx MEX,MF,nl Ajax,23,1997,6.2,443,19,112,257,75,10,443,6,3,50.0,3,50.0,254,1164,468,3,3,0,10,3,310,9,Matches
25,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,23,1997,3.8,251,38,129,118,6,2,251,2,1,50.0,1,50.0,168,769,450,5,3,0,3,0,168,2,Matches
26,Benjamin André,fr FRA,MF,fr Lille,30,1990,7.0,460,13,77,292,93,4,460,6,3,50.0,3,50.0,194,800,372,5,6,0,12,6,293,16,Matches
27,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,27,1994,1.1,63,4,28,21,14,0,63,0,0,,0,,33,108,50,1,1,0,5,0,40,0,Matches
28,Angeliño,es ESP,DF,de RB Leipzig,24,1997,4.8,279,9,67,114,100,10,279,6,3,50.0,3,50.0,108,643,399,10,10,2,5,2,167,32,Matches
29,Marcos Antônio,br BRA,MF,ua Shakhtar,21,2000,2.8,257,10,58,151,51,1,257,7,3,42.9,4,57.1,192,763,331,2,7,1,1,3,221,8,Matches
30,Antony,br BRA,FW,nl Ajax,21,2000,6.4,438,1,27,132,285,36,438,27,10,37.0,17,63.0,316,1766,872,33,19,9,13,9,342,92,Matches
31,Ronald Araújo,uy URU,DF,es Barcelona,22,1999,4.1,250,27,119,113,21,3,250,8,6,75.0,2,25.0,148,698,286,3,3,0,2,2,158,2,Matches
