Squad,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
nl Ajax,19,6.0,,,,,,,,,,,,,,,6,,,,,
be Anderlecht,21,6.0,,,,,,,,,,,,,,,4,,,,,
cy APOEL FC,21,6.0,,,,,,,,,,,,,,,0,,,,,
eng Arsenal,29,8.0,,,,,,,,,,,,,,,9,,,,,
es Athletic Club,20,6.0,,,,,,,,,,,,,,,5,,,,,
es Atlético Madrid,23,10.3,,,,,,,,,,,,,,,10,,,,,
es Barcelona,22,13.0,,,,,,,,,,,,,,,26,,,,,
ch Basel,23,8.0,,,,,,,,,,,,,,,6,,,,,
by BATE Borisov,20,6.0,,,,,,,,,,,,,,,1,,,,,
de Bayern Munich,24,12.0,,,,,,,,,,,,,,,23,,,,,
pt Benfica,24,6.0,,,,,,,,,,,,,,,2,,,,,
eng Chelsea,24,8.3,,,,,,,,,,,,,,,12,,,,,
ru CSKA Moscow,18,6.0,,,,,,,,,,,,,,,4,,,,,
de Dortmund,24,8.0,,,,,,,,,,,,,,,12,,,,,
tr Galatasaray,22,6.0,,,,,,,,,,,,,,,2,,,,,
it Juventus,24,13.0,,,,,,,,,,,,,,,11,,,,,
de Leverkusen,21,8.3,,,,,,,,,,,,,,,7,,,,,
eng Liverpool,21,6.0,,,,,,,,,,,,,,,1,,,,,
bg Ludogorets,19,6.0,,,,,,,,,,,,,,,4,,,,,
se Malmö,17,6.0,,,,,,,,,,,,,,,2,,,,,
eng Manchester City,20,8.0,,,,,,,,,,,,,,,4,,,,,
fr Monaco,22,10.0,,,,,,,,,,,,,,,7,,,,,
si NK Maribor,17,6.0,,,,,,,,,,,,,,,1,,,,,
gr Olympiacos,19,6.0,,,,,,,,,,,,,,,8,,,,,
fr Paris S-G,19,10.3,,,,,,,,,,,,,,,11,,,,,
pt Porto,23,10.0,,,,,,,,,,,,,,,12,,,,,
es Real Madrid,23,12.0,,,,,,,,,,,,,,,19,,,,,
it Roma,20,6.0,,,,,,,,,,,,,,,5,,,,,
de Schalke 04,26,8.0,,,,,,,,,,,,,,,8,,,,,
ua Shakhtar,20,8.0,,,,,,,,,,,,,,,11,,,,,
pt Sporting CP,19,6.0,,,,,,,,,,,,,,,5,,,,,
ru Zenit,18,6.0,,,,,,,,,,,,,,,4,,,,,
