Squad,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec
nl Ajax,19,54.2,6.0,,,,,,,,,,,,,,,,,,,,
be Anderlecht,21,44.3,6.0,,,,,,,,,,,,,,,,,,,,
cy APOEL FC,21,32.7,6.0,,,,,,,,,,,,,,,,,,,,
eng Arsenal,29,54.3,8.0,,,,,,,,,,,,,,,,,,,,
es Athletic Club,20,48.2,6.0,,,,,,,,,,,,,,,,,,,,
es Atlético Madrid,23,44.7,10.3,,,,,,,,,,,,,,,,,,,,
es Barcelona,22,60.2,13.0,,,,,,,,,,,,,,,,,,,,
ch Basel,23,45.9,8.0,,,,,,,,,,,,,,,,,,,,
by BATE Borisov,20,38.3,6.0,,,,,,,,,,,,,,,,,,,,
de Bayern Munich,24,60.3,12.0,,,,,,,,,,,,,,,,,,,,
pt Benfica,24,50.3,6.0,,,,,,,,,,,,,,,,,,,,
eng Chelsea,24,53.8,8.3,,,,,,,,,,,,,,,,,,,,
ru CSKA Moscow,18,36.7,6.0,,,,,,,,,,,,,,,,,,,,
de Dortmund,24,51.9,8.0,,,,,,,,,,,,,,,,,,,,
tr Galatasaray,22,51.5,6.0,,,,,,,,,,,,,,,,,,,,
it Juventus,24,54.0,13.0,,,,,,,,,,,,,,,,,,,,
de Leverkusen,21,51.8,8.3,,,,,,,,,,,,,,,,,,,,
eng Liverpool,21,49.2,6.0,,,,,,,,,,,,,,,,,,,,
bg Ludogorets,19,48.5,6.0,,,,,,,,,,,,,,,,,,,,
se Malmö,17,43.0,6.0,,,,,,,,,,,,,,,,,,,,
eng Manchester City,20,49.8,8.0,,,,,,,,,,,,,,,,,,,,
fr Monaco,22,46.1,10.0,,,,,,,,,,,,,,,,,,,,
si NK Maribor,17,41.5,6.0,,,,,,,,,,,,,,,,,,,,
gr Olympiacos,19,47.7,6.0,,,,,,,,,,,,,,,,,,,,
fr Paris S-G,19,47.7,10.3,,,,,,,,,,,,,,,,,,,,
pt Porto,23,56.3,10.0,,,,,,,,,,,,,,,,,,,,
es Real Madrid,23,56.1,12.0,,,,,,,,,,,,,,,,,,,,
it Roma,20,46.8,6.0,,,,,,,,,,,,,,,,,,,,
de Schalke 04,26,51.4,8.0,,,,,,,,,,,,,,,,,,,,
ua Shakhtar,20,49.1,8.0,,,,,,,,,,,,,,,,,,,,
pt Sporting CP,19,49.2,6.0,,,,,,,,,,,,,,,,,,,,
ru Zenit,18,52.8,6.0,,,,,,,,,,,,,,,,,,,,
