Squad,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt
nl Ajax,19,6.0,8,,20,,,3.33,,0.35,,1,1
be Anderlecht,21,6.0,8,,24,,,4.00,,0.29,,1,1
cy APOEL FC,21,6.0,1,,6,,,1.00,,0.00,,1,1
eng Arsenal,29,8.0,18,,37,,,4.62,,0.46,,1,1
es Athletic Club,20,6.0,5,,23,,,3.83,,0.22,,0,0
es Atlético Madrid,23,10.3,15,,44,,,4.26,,0.34,,0,0
es Barcelona,22,13.0,31,,81,,,6.23,,0.38,,0,1
ch Basel,23,8.0,8,,34,,,4.25,,0.24,,0,0
by BATE Borisov,20,6.0,2,,17,,,2.83,,0.12,,0,0
de Bayern Munich,24,12.0,33,,81,,,6.75,,0.36,,4,4
pt Benfica,24,6.0,2,,16,,,2.67,,0.13,,0,0
eng Chelsea,24,8.3,18,,52,,,6.24,,0.27,,4,5
ru CSKA Moscow,18,6.0,6,,22,,,3.67,,0.23,,1,1
de Dortmund,24,8.0,14,,50,,,6.25,,0.28,,0,0
tr Galatasaray,22,6.0,4,,23,,,3.83,,0.13,,1,1
it Juventus,24,13.0,16,,68,,,5.23,,0.21,,2,3
de Leverkusen,21,8.3,8,,38,,,4.56,,0.18,,1,1
eng Liverpool,21,6.0,5,,27,,,4.50,,0.15,,1,1
bg Ludogorets,19,6.0,5,,24,,,4.00,,0.21,,0,0
se Malmö,17,6.0,4,,24,,,4.00,,0.17,,0,0
eng Manchester City,20,8.0,10,,33,,,4.12,,0.24,,2,3
fr Monaco,22,10.0,7,,27,,,2.70,,0.26,,0,0
si NK Maribor,17,6.0,3,,20,,,3.33,,0.15,,0,1
gr Olympiacos,19,6.0,10,,33,,,5.50,,0.30,,0,0
fr Paris S-G,19,10.3,13,,46,,,4.45,,0.28,,0,0
pt Porto,23,10.0,25,,58,,,5.80,,0.38,,3,5
es Real Madrid,23,12.0,23,,85,,,7.08,,0.24,,3,4
it Roma,20,6.0,7,,28,,,4.67,,0.25,,0,0
de Schalke 04,26,8.0,12,,37,,,4.62,,0.30,,1,1
ua Shakhtar,20,8.0,15,,36,,,4.50,,0.33,,3,3
pt Sporting CP,19,6.0,12,,40,,,6.67,,0.23,,3,3
ru Zenit,18,6.0,4,,22,,,3.67,,0.18,,0,0
