Squad,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90
eng Arsenal,24,27.2,8,720,90,100,8.0,88,,,24,0,32,1.13,13,15,-2,-0.25
es Atlético Madrid,23,26.3,13,1230,95,100,13.7,143,,,36,0,55,1.69,17,8,+9,+0.66
es Barcelona,25,27.1,10,900,90,100,10.0,112,,,24,0,47,2.30,22,8,+14,+1.40
by BATE Borisov,20,26.2,12,540,45,100,6.0,66,,,18,0,24,1.33,11,16,-5,-0.83
de Bayern Munich,23,26.8,12,1110,93,100,12.3,132,,,32,0,52,2.17,30,11,+19,+1.54
pt Benfica,25,26.6,10,900,90,100,10.0,110,,,29,0,41,1.70,15,12,+3,+0.30
eng Chelsea,21,26.6,8,720,90,100,8.0,88,,,19,0,37,1.63,15,7,+8,+1.00
ru CSKA Moscow,19,28.0,10,540,54,100,6.0,66,,,14,0,24,1.10,14,16,-2,-0.33
hr Dinamo Zagreb,20,26.3,12,540,45,100,6.0,66,,,18,0,24,1.25,17,21,-4,-0.67
ua Dynamo Kyiv,21,27.2,8,720,90,100,8.0,88,,,22,0,34,1.50,9,7,+2,+0.25
kz FC Astana,21,26.9,12,540,45,100,6.0,66,,,18,0,21,1.25,14,17,-3,-0.50
tr Galatasaray,19,29.2,6,540,90,100,6.0,66,,,17,0,25,0.83,6,10,-4,-0.67
be Gent,18,25.9,8,720,90,100,8.0,88,,,22,0,34,1.25,10,11,-1,-0.12
de Gladbach,21,25.4,6,540,90,100,6.0,66,,,16,0,26,0.83,8,12,-4,-0.67
it Juventus,20,28.7,8,750,94,100,8.3,88,,,21,0,34,1.50,10,9,+1,+0.12
de Leverkusen,18,24.1,8,540,68,100,6.0,66,,,17,0,25,1.13,16,13,+3,+0.50
fr Lyon,21,25.9,6,540,90,100,6.0,66,,,18,0,24,0.67,5,9,-4,-0.67
il Maccabi Tel Aviv,20,26.8,12,540,45,100,6.0,66,,,18,0,24,0.67,13,24,-11,-1.83
se Malmö,19,26.8,12,540,45,100,6.0,66,,,15,0,27,1.08,9,26,-17,-2.83
eng Manchester City,22,28.4,12,1080,90,100,12.0,132,,,33,0,51,1.75,18,12,+6,+0.50
eng Manchester Utd,23,25.6,8,540,68,100,6.0,66,,,18,0,24,1.75,14,8,+6,+1.00
gr Olympiacos,18,25.9,6,540,90,100,6.0,66,,,18,0,24,1.50,6,13,-7,-1.17
fr Paris S-G,21,27.9,10,900,90,100,10.0,110,,,26,0,44,2.00,18,6,+12,+1.20
pt Porto,18,25.9,6,540,90,100,6.0,66,,,18,0,24,1.67,9,8,+1,+0.17
nl PSV Eindhoven,22,24.1,8,750,94,100,8.3,88,,,20,0,36,1.50,8,7,+1,+0.12
es Real Madrid,22,26.7,13,1200,92,100,13.3,143,,,36,0,55,2.31,28,6,+22,+1.65
it Roma,24,26.0,8,720,90,100,8.0,88,,,23,0,33,0.75,11,20,-9,-1.13
es Sevilla,19,27.0,6,540,90,100,6.0,66,,,18,0,24,1.00,8,11,-3,-0.50
ua Shakhtar,22,27.5,10,540,54,100,6.0,66,,,17,0,25,1.10,13,16,-3,-0.50
es Valencia,22,24.6,8,540,68,100,6.0,66,,,18,0,25,1.13,9,12,-3,-0.50
de Wolfsburg,22,27.0,10,900,90,100,10.0,110,,,30,0,39,2.10,15,11,+4,+0.40
ru Zenit,24,28.4,8,720,90,100,8.0,88,,,24,0,32,1.88,14,9,+5,+0.62
