Squad,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
be Anderlecht,20,6.0,3007,2712,278,67,8,55,86,115,17,3,4,7,2413,17,51
cy APOEL FC,21,6.0,2034,1721,293,80,3,10,62,106,15,9,2,1,1467,20,39
es Atlético Madrid,20,6.0,3367,3044,303,70,9,16,117,142,36,9,23,0,2732,20,50
es Barcelona,22,10.0,7313,6818,467,140,29,60,104,188,58,30,14,1,6340,28,88
ch Basel,21,8.0,3124,2766,332,86,18,17,88,137,21,7,11,1,2308,26,67
de Bayern Munich,22,12.0,7631,7018,587,158,32,88,363,239,99,32,52,2,6375,26,145
pt Benfica,25,6.0,3652,3292,353,104,3,17,138,150,32,10,18,1,2990,7,67
tr Beşiktaş,23,8.0,3638,3197,425,134,5,46,130,148,39,9,22,0,2703,16,65
sct Celtic,20,6.0,3091,2816,264,73,8,21,52,94,18,6,6,2,2586,11,42
eng Chelsea,19,8.0,4221,3834,364,82,10,41,104,165,39,6,11,0,3490,23,72
ru CSKA Moscow,20,6.0,2860,2589,261,75,3,17,59,112,18,5,11,0,2158,10,64
de Dortmund,22,6.0,3912,3617,283,72,15,28,124,112,46,33,9,1,3295,12,61
nl Feyenoord,23,6.0,2605,2303,290,90,3,48,79,106,19,13,4,0,1965,12,59
it Juventus,23,10.0,5379,4884,475,151,16,79,160,163,55,17,29,0,4434,20,82
eng Liverpool,24,13.0,7361,6710,621,158,30,56,225,268,71,25,24,1,5831,30,125
eng Manchester City,25,10.0,8064,7576,450,109,39,50,172,209,60,3,28,0,7053,38,115
eng Manchester Utd,25,8.0,4961,4569,376,81,17,32,139,160,51,21,20,0,4103,16,90
fr Monaco,23,6.0,2716,2362,340,95,5,28,119,154,30,14,11,1,1967,14,54
it Napoli,20,6.0,3905,3573,305,86,23,22,105,134,36,19,12,1,3262,27,72
si NK Maribor,17,6.0,2388,2100,280,67,3,18,51,99,14,7,4,0,1855,8,42
gr Olympiacos,22,6.0,2357,2074,272,85,7,23,83,98,20,11,8,0,1841,11,51
fr Paris S-G,19,8.0,5108,4736,350,108,43,40,106,126,33,5,15,0,4458,22,91
pt Porto,25,8.0,3641,3221,410,106,10,29,118,185,34,16,14,0,2748,10,80
az Qarabağ,20,6.0,2906,2640,252,73,2,22,39,88,10,3,3,1,2330,14,42
de RB Leipzig,19,6.0,3298,2937,334,90,17,15,89,148,38,13,16,0,2534,27,61
es Real Madrid,23,13.0,8371,7727,593,170,30,146,282,225,99,22,39,1,7204,51,141
it Roma,20,12.0,6270,5639,608,177,18,72,253,248,73,22,30,1,5042,23,112
es Sevilla,22,10.0,6304,5743,534,136,11,22,193,226,68,31,24,0,5197,27,111
ua Shakhtar,20,8.0,4082,3669,398,126,11,39,88,154,36,4,21,0,3370,15,69
ru Spartak Moscow,20,6.0,3058,2768,280,74,7,25,77,120,10,4,3,1,2458,10,40
pt Sporting CP,21,6.0,2594,2305,277,98,4,19,74,108,14,1,8,2,2014,12,36
eng Tottenham,26,8.0,4286,3879,394,106,15,42,140,168,47,18,16,1,3492,13,85
