Squad,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
gr AEK Athens,20,6.0,70,11.67,50,7,6,2,3,2,4,0.67,4,0,0,0,0,0
nl Ajax,22,12.0,329,27.42,246,25,22,15,19,2,40,3.33,25,3,6,2,3,1
es Atlético Madrid,21,8.0,163,20.37,121,17,6,8,8,3,19,2.37,14,1,2,2,0,0
es Barcelona,23,12.0,360,30.00,275,14,24,21,20,6,43,3.58,30,0,7,2,3,1
de Bayern Munich,20,8.0,185,23.12,133,18,15,10,5,4,29,3.62,19,3,3,2,2,0
pt Benfica,20,6.0,132,22.00,80,15,8,14,9,6,8,1.33,4,1,0,1,1,1
be Club Brugge,25,6.0,89,14.83,67,9,5,3,4,1,10,1.67,8,1,0,1,0,0
ru CSKA Moscow,22,6.0,142,23.67,103,15,12,5,7,0,12,2.00,7,1,1,1,2,0
de Dortmund,24,8.0,173,21.62,138,9,10,8,6,2,18,2.25,16,0,2,0,0,0
tr Galatasaray,21,6.0,125,20.83,89,13,7,4,11,1,10,1.67,7,0,0,0,3,0
de Hoffenheim,25,6.0,165,27.50,137,6,8,8,5,1,19,3.17,14,2,1,1,1,0
it Inter,17,6.0,162,27.00,122,13,5,11,6,5,10,1.67,6,1,1,2,0,0
it Juventus,22,10.0,291,29.10,212,25,15,20,18,1,25,2.50,16,1,1,4,3,0
eng Liverpool,20,13.0,337,25.92,251,26,25,20,13,2,44,3.38,31,3,3,3,3,1
ru Loko Moscow,19,6.0,139,23.17,97,15,10,10,5,2,6,1.00,4,1,1,0,0,0
fr Lyon,21,8.0,204,25.50,150,10,13,17,10,4,22,2.75,17,1,1,2,0,1
eng Manchester City,21,10.0,323,32.30,244,21,23,15,16,4,56,5.60,38,3,5,3,5,2
eng Manchester Utd,26,10.0,202,20.20,155,10,13,10,13,1,15,1.50,10,0,2,2,1,0
fr Monaco,29,6.0,105,17.50,80,4,6,4,9,2,2,0.33,1,0,0,0,0,1
it Napoli,18,6.0,157,26.17,133,9,7,6,2,0,13,2.17,10,1,0,1,1,0
fr Paris S-G,20,8.0,217,27.12,160,12,17,16,10,2,35,4.37,21,2,5,3,3,1
pt Porto,25,10.3,228,22.06,142,30,15,20,13,8,36,3.48,19,5,2,3,6,1
nl PSV Eindhoven,18,6.0,132,22.00,90,10,5,8,16,3,9,1.50,6,1,0,1,0,1
es Real Madrid,24,8.0,280,35.00,218,21,18,12,7,4,28,3.50,22,2,3,0,1,0
rs Red Star,20,6.0,68,11.33,46,9,4,3,3,3,9,1.50,5,1,2,1,0,0
it Roma,24,8.3,224,26.88,145,26,14,19,17,3,23,2.76,17,2,0,3,1,0
de Schalke 04,27,8.0,124,15.50,77,15,11,9,8,4,12,1.50,7,1,0,2,2,0
ua Shakhtar,20,6.0,129,21.50,108,8,4,3,5,1,15,2.50,15,0,0,0,0,0
eng Tottenham,24,13.0,360,27.69,242,28,37,30,17,6,36,2.77,27,1,6,2,0,0
es Valencia,22,6.0,121,20.17,94,7,9,5,5,1,9,1.50,7,0,1,1,0,0
cz Viktoria Plzeň,21,6.0,106,17.67,85,8,1,7,4,1,13,2.17,10,1,0,1,1,0
ch Young Boys,20,6.0,122,20.33,100,6,3,5,5,3,7,1.17,4,0,0,1,2,0
