Squad,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
gr AEK Athens,1,6,6,540,6.0,13,2.17,40,27,72.5,0,0,6,0,0.0,2,2,0,0,0.0
nl Ajax,1,12,12,1080,12.0,13,1.08,53,40,77.4,6,4,2,4,33.3,1,1,0,0,0.0
es Atlético Madrid,1,8,8,720,8.0,9,1.13,19,10,57.9,5,1,2,4,50.0,2,1,0,1,0.0
es Barcelona,2,12,12,1080,12.0,10,0.83,42,32,76.2,8,3,1,6,50.0,0,0,0,0,
de Bayern Munich,1,8,8,720,8.0,8,1.00,30,22,76.7,4,3,1,4,50.0,1,1,0,0,0.0
pt Benfica,1,6,6,540,6.0,11,1.83,35,24,68.6,2,1,3,1,16.7,0,0,0,0,
be Club Brugge,2,6,6,540,6.0,5,0.83,22,17,77.3,1,3,2,3,50.0,0,0,0,0,
ru CSKA Moscow,3,6,6,539,6.0,9,1.50,39,29,76.9,2,1,3,2,33.3,1,0,1,0,100.0
de Dortmund,2,8,8,720,8.0,6,0.75,22,16,72.7,4,1,3,5,62.5,0,0,0,0,
tr Galatasaray,1,6,6,540,6.0,8,1.33,24,17,70.8,1,1,4,2,33.3,1,1,0,0,0.0
de Hoffenheim,1,6,6,540,6.0,14,2.33,43,29,67.4,0,3,3,0,0.0,0,0,0,0,
it Inter,1,6,6,540,6.0,7,1.17,39,32,82.1,2,2,2,0,0.0,0,0,0,0,
it Juventus,1,10,10,900,10.0,9,0.90,31,22,74.2,5,1,4,5,50.0,2,1,1,0,50.0
eng Liverpool,1,13,13,1170,13.0,12,0.92,56,45,78.6,8,1,4,6,46.2,0,0,0,0,
ru Loko Moscow,1,6,6,540,6.0,12,2.00,33,21,69.7,1,0,5,1,16.7,2,2,0,0,0.0
fr Lyon,2,8,8,720,8.0,16,2.00,52,36,71.2,1,6,1,1,12.5,1,1,0,0,0.0
eng Manchester City,1,10,10,900,10.0,12,1.20,33,21,72.7,7,1,2,3,30.0,3,3,0,0,0.0
eng Manchester Utd,2,10,10,900,10.0,11,1.10,34,25,67.6,4,1,5,3,30.0,0,0,0,0,
fr Monaco,3,6,6,540,6.0,14,2.33,28,14,53.6,0,1,5,0,0.0,2,1,0,1,0.0
it Napoli,1,6,6,540,6.0,5,0.83,20,15,75.0,2,3,1,2,33.3,0,0,0,0,
fr Paris S-G,2,8,8,720,8.0,12,1.50,28,16,71.4,4,2,2,1,12.5,4,4,0,0,0.0
pt Porto,1,10,10,930,10.3,15,1.45,37,21,67.6,6,1,3,1,10.0,5,3,1,1,25.0
nl PSV Eindhoven,1,6,6,540,6.0,13,2.17,50,37,74.0,0,2,4,0,0.0,0,0,0,0,
es Real Madrid,2,8,8,720,8.0,10,1.25,37,27,73.0,5,0,3,3,37.5,0,0,0,0,
rs Red Star,1,6,6,540,6.0,17,2.83,56,38,71.4,1,1,4,2,33.3,2,1,1,0,50.0
it Roma,2,8,8,750,8.3,12,1.44,44,32,75.0,4,0,4,2,25.0,1,1,0,0,0.0
de Schalke 04,2,8,8,720,8.0,14,1.75,32,17,62.5,3,2,3,4,50.0,3,2,1,0,33.3
ua Shakhtar,1,6,6,540,6.0,16,2.67,36,20,61.1,1,3,2,0,0.0,2,2,0,0,0.0
eng Tottenham,3,13,13,1167,13.0,19,1.47,55,35,67.3,6,2,5,4,30.8,2,1,1,0,50.0
es Valencia,2,6,6,540,6.0,6,1.00,29,23,89.7,2,2,2,1,16.7,3,3,0,0,0.0
cz Viktoria Plzeň,2,6,6,540,6.0,16,2.67,43,27,67.4,2,1,3,0,0.0,2,2,0,0,0.0
ch Young Boys,2,6,6,540,6.0,12,2.00,30,18,63.3,1,1,4,0,0.0,1,1,0,0,0.0
