Squad,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG
gr AEK Athens,20,6.0,2,39,9,23.1,6.50,1.50,0.05,0.22,17.2,0,0,0,4.7,4.7,0.12,-2.7,-2.7
nl Ajax,22,12.0,22,183,68,37.2,15.25,5.67,0.11,0.29,19.4,13,2,2,22.3,20.7,0.12,-0.3,-0.7
es Atlético Madrid,21,8.0,11,89,30,33.7,11.12,3.75,0.12,0.37,18.4,4,0,0,8.1,8.1,0.09,+2.9,+2.9
es Barcelona,23,12.0,25,199,77,38.7,16.58,6.42,0.12,0.31,18.0,13,1,1,23.1,22.3,0.11,+1.9,+1.7
de Bayern Munich,20,8.0,15,109,44,40.4,13.62,5.50,0.12,0.30,16.8,4,2,2,14.7,13.2,0.13,+0.3,-0.2
pt Benfica,20,6.0,6,79,30,38.0,13.17,5.00,0.08,0.20,18.4,4,0,0,6.2,6.2,0.08,-0.2,-0.2
be Club Brugge,25,6.0,6,48,15,31.3,8.00,2.50,0.10,0.33,18.7,2,1,1,5.4,4.7,0.10,+0.6,+0.3
ru CSKA Moscow,22,6.0,8,75,29,38.7,12.50,4.83,0.08,0.21,20.2,1,2,2,6.9,5.3,0.07,+1.1,+0.7
de Dortmund,24,8.0,10,93,31,33.3,11.62,3.87,0.11,0.32,18.8,2,0,1,12.2,11.5,0.13,-2.2,-1.5
tr Galatasaray,21,6.0,5,66,18,27.3,11.00,3.00,0.05,0.17,20.2,7,2,3,9.9,7.5,0.11,-4.9,-4.5
de Hoffenheim,25,6.0,11,92,31,33.7,15.33,5.17,0.11,0.32,19.3,3,1,1,11.1,10.3,0.11,-0.1,-0.3
it Inter,17,6.0,6,91,26,28.6,15.17,4.33,0.07,0.23,17.0,4,0,0,8.6,8.6,0.10,-2.6,-2.6
it Juventus,22,10.0,14,156,40,25.6,15.60,4.00,0.07,0.28,18.2,9,3,3,18.9,16.7,0.11,-4.9,-5.7
eng Liverpool,20,13.0,24,186,52,28.0,14.31,4.00,0.11,0.38,17.0,3,4,5,28.3,24.2,0.13,-4.3,-4.2
ru Loko Moscow,19,6.0,3,75,13,17.3,12.50,2.17,0.04,0.23,18.9,2,0,1,6.6,5.8,0.08,-3.6,-2.8
fr Lyon,21,8.0,13,118,42,35.6,14.75,5.25,0.11,0.31,18.2,6,0,0,12.3,12.3,0.11,+0.7,+0.7
eng Manchester City,21,10.0,30,173,64,37.0,17.30,6.40,0.16,0.42,17.4,9,3,4,22.9,19.8,0.12,+7.1,+7.2
eng Manchester Utd,26,10.0,9,114,29,25.4,11.40,2.90,0.06,0.24,20.2,11,2,2,10.4,8.9,0.08,-1.4,-1.9
fr Monaco,29,6.0,2,60,19,31.7,10.00,3.17,0.03,0.11,21.5,3,0,1,5.1,4.3,0.07,-3.1,-2.3
it Napoli,18,6.0,7,91,31,34.1,15.17,5.17,0.07,0.19,19.7,2,1,1,10.9,10.1,0.11,-3.9,-4.1
fr Paris S-G,20,8.0,19,119,57,47.9,14.87,7.12,0.16,0.33,16.1,11,0,0,16.9,16.9,0.15,+2.1,+2.1
pt Porto,25,10.3,20,130,48,36.9,12.58,4.65,0.12,0.33,17.6,3,4,5,16.9,13.0,0.10,+3.1,+3.0
nl PSV Eindhoven,18,6.0,6,75,26,34.7,12.50,4.33,0.08,0.23,18.5,5,0,0,7.1,7.1,0.10,-1.1,-1.1
es Real Madrid,24,8.0,15,153,58,37.9,19.13,7.25,0.10,0.26,17.0,2,0,0,16.9,16.9,0.11,-1.9,-1.9
rs Red Star,20,6.0,5,42,16,38.1,7.00,2.67,0.12,0.31,20.0,0,0,0,2.9,2.9,0.07,+2.1,+2.1
it Roma,24,8.3,14,129,53,41.1,15.48,6.36,0.10,0.25,17.9,6,1,1,15.0,14.2,0.11,-1.0,-1.2
de Schalke 04,27,8.0,8,80,26,32.5,10.00,3.25,0.06,0.19,19.1,0,3,3,10.5,8.2,0.11,-2.5,-3.2
ua Shakhtar,20,6.0,8,69,25,36.2,11.50,4.17,0.12,0.32,17.6,3,0,0,6.9,6.9,0.10,+1.1,+1.1
eng Tottenham,24,13.0,20,201,74,36.8,15.46,5.69,0.10,0.27,17.9,9,0,0,20.5,20.5,0.11,-0.5,-0.5
es Valencia,22,6.0,5,68,17,25.0,11.33,2.83,0.07,0.29,19.5,2,0,1,6.9,6.1,0.09,-1.9,-1.1
cz Viktoria Plzeň,21,6.0,7,64,19,29.7,10.67,3.17,0.11,0.37,18.3,1,0,1,7.8,6.9,0.11,-0.8,+0.1
ch Young Boys,20,6.0,4,71,15,21.1,11.83,2.50,0.03,0.13,19.7,2,2,2,6.5,5.0,0.07,-2.5,-3.0
