Squad,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
nl Ajax,19,6.0,20,2,2,93,60,11,107,85,74,0,3,0,371,95,93,50.5
it Atalanta,23,9.0,25,0,0,152,107,15,142,106,87,4,2,0,471,127,113,52.9
es Atlético Madrid,21,9.3,16,0,0,112,122,25,160,101,82,2,0,1,499,194,156,55.4
es Barcelona,24,9.0,25,1,1,102,123,14,83,108,75,1,2,0,420,84,68,55.3
de Bayern Munich,20,11.0,13,0,0,132,106,20,272,109,122,1,1,1,604,159,116,57.8
pt Benfica,23,6.0,8,0,0,61,70,9,115,60,70,0,1,1,347,64,87,42.4
eng Chelsea,22,8.0,14,1,0,101,79,15,162,75,62,1,2,2,415,140,101,58.1
be Club Brugge,22,6.0,17,3,3,94,59,23,99,65,74,1,0,0,356,79,79,50.0
hr Dinamo Zagreb,21,6.0,16,1,1,90,58,10,70,69,60,1,2,0,303,88,95,48.1
de Dortmund,24,8.0,14,2,1,94,78,13,96,98,77,1,1,0,452,75,74,50.3
tr Galatasaray,20,6.0,21,0,0,94,74,10,86,69,56,0,2,0,309,99,94,51.3
be Genk,20,6.0,10,0,0,47,75,15,125,67,60,0,2,0,327,88,94,48.4
it Inter,20,6.0,17,0,0,78,87,22,71,89,54,1,1,0,318,62,69,47.3
it Juventus,23,8.0,10,0,0,85,117,19,191,86,67,0,1,0,375,109,95,53.4
de Leverkusen,20,6.0,7,1,0,92,64,10,136,62,67,0,0,0,365,70,87,44.6
fr Lille,21,6.0,14,0,0,84,56,16,109,84,67,0,1,1,362,90,115,43.9
eng Liverpool,20,8.3,9,0,0,90,64,11,217,76,94,0,1,0,530,135,124,52.1
ru Loko Moscow,20,6.0,12,0,0,83,77,9,53,98,49,0,2,2,270,85,97,46.7
fr Lyon,24,10.0,22,0,0,124,109,17,185,110,82,2,3,0,542,139,155,47.3
eng Manchester City,23,9.0,15,2,1,100,84,16,175,110,83,2,1,0,508,115,81,58.7
it Napoli,24,8.0,14,0,0,74,95,15,144,96,90,3,3,0,442,98,92,51.6
gr Olympiacos,17,6.0,14,1,1,75,72,8,97,57,61,1,2,0,277,88,97,47.6
fr Paris S-G,24,11.0,29,0,0,136,192,26,138,121,111,1,1,0,584,130,108,54.6
de RB Leipzig,25,10.0,20,0,0,152,96,25,228,99,115,4,1,0,586,155,163,48.7
at RB Salzburg,21,6.0,8,0,0,92,34,17,77,63,75,2,0,0,400,70,106,39.8
es Real Madrid,25,8.0,13,1,0,70,91,10,146,92,78,1,1,0,430,81,103,44.0
rs Red Star,19,6.0,14,0,0,62,70,8,68,74,70,1,2,0,271,75,103,42.1
ua Shakhtar,18,6.0,11,2,1,52,98,9,52,64,52,1,2,0,248,57,76,42.9
cz Slavia Prague,20,6.0,16,0,0,93,62,10,93,77,46,1,0,1,380,93,95,49.5
eng Tottenham,28,8.0,14,0,0,96,97,11,118,68,74,2,2,0,423,98,98,50.0
es Valencia,23,8.0,19,2,1,74,145,15,135,92,74,2,3,0,415,119,150,44.2
ru Zenit,19,6.0,17,1,1,63,53,10,101,95,68,0,2,1,351,123,100,55.2
