Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG
nl Ajax,19,24.9,54.5,6,66,540,6.0,10,10,20,10,0,0,20,2,7.5,7.5,6.8,14.2,122,273,1.67,1.67,3.33,1.67,3.33,1.24,1.13,2.37,1.24,2.37
it Atalanta,23,27.4,48.3,9,99,810,9.0,17,9,26,13,4,5,25,0,17.7,13.7,10.8,24.5,187,333,1.89,1.00,2.89,1.44,2.44,1.96,1.21,3.17,1.52,2.72
es Atlético Madrid,21,26.2,45.1,9,99,840,9.3,13,9,22,11,2,3,16,0,15.3,12.9,10.0,22.9,139,385,1.39,0.96,2.36,1.18,2.14,1.63,1.07,2.71,1.38,2.45
es Barcelona,24,27.6,57.0,9,99,810,9.0,13,10,23,12,1,1,25,1,14.4,13.6,11.5,25.1,180,407,1.44,1.11,2.56,1.33,2.44,1.60,1.28,2.88,1.51,2.79
de Bayern Munich,20,27.0,63.8,11,121,990,11.0,43,37,80,41,2,2,13,0,35.5,34.0,25.3,59.2,315,694,3.91,3.36,7.27,3.73,7.09,3.23,2.30,5.53,3.09,5.38
pt Benfica,23,24.9,48.5,6,66,540,6.0,9,5,14,8,1,1,8,0,8.1,7.3,6.3,13.6,106,266,1.50,0.83,2.33,1.33,2.17,1.35,1.05,2.39,1.22,2.26
eng Chelsea,22,25.5,51.4,8,88,720,8.0,12,7,19,10,2,3,14,1,17.5,15.2,12.5,27.8,213,355,1.50,0.87,2.37,1.25,2.12,2.18,1.57,3.75,1.90,3.47
be Club Brugge,22,25.4,41.5,6,66,540,6.0,4,3,7,4,0,1,17,3,7.4,6.6,4.6,11.2,96,280,0.67,0.50,1.17,0.67,1.17,1.23,0.76,1.99,1.09,1.86
hr Dinamo Zagreb,21,25.7,35.2,6,66,540,6.0,10,9,19,9,1,1,16,1,7.5,6.8,6.1,12.9,92,135,1.67,1.50,3.17,1.50,3.00,1.26,1.02,2.27,1.14,2.15
de Dortmund,24,25.8,51.8,8,88,720,8.0,10,9,19,10,0,1,14,2,14.4,13.6,10.2,23.8,174,406,1.25,1.13,2.37,1.25,2.37,1.80,1.27,3.08,1.71,2.98
tr Galatasaray,20,29.7,46.7,6,66,540,6.0,1,1,2,1,0,0,21,0,4.2,4.2,3.4,7.6,94,170,0.17,0.17,0.33,0.17,0.33,0.70,0.57,1.27,0.70,1.27
be Genk,20,23.5,40.3,6,66,540,6.0,5,4,9,5,0,0,10,0,6.9,6.9,5.4,12.3,95,202,0.83,0.67,1.50,0.83,1.50,1.15,0.91,2.05,1.15,2.05
it Inter,20,27.9,41.5,6,66,540,6.0,10,9,19,10,0,1,17,0,10.0,9.3,8.0,17.2,94,173,1.67,1.50,3.17,1.67,3.17,1.67,1.33,3.00,1.54,2.87
it Juventus,23,28.7,59.4,8,88,720,8.0,14,10,24,13,1,1,10,0,12.0,11.3,7.9,19.2,196,377,1.75,1.25,3.00,1.62,2.87,1.50,0.99,2.49,1.41,2.40
de Leverkusen,20,26.7,58.8,6,66,540,6.0,2,2,4,2,0,0,7,1,6.7,6.7,6.0,12.7,140,266,0.33,0.33,0.67,0.33,0.67,1.12,1.00,2.12,1.12,2.12
fr Lille,21,23.9,42.7,6,66,540,6.0,4,4,8,4,0,0,14,0,8.8,8.8,8.0,16.8,116,211,0.67,0.67,1.33,0.67,1.33,1.46,1.34,2.80,1.46,2.80
eng Liverpool,20,27.0,66.6,8,88,750,8.3,15,11,26,15,0,0,9,0,16.2,16.2,12.0,28.2,214,564,1.80,1.32,3.12,1.80,3.12,1.94,1.44,3.38,1.94,3.38
ru Loko Moscow,20,28.6,32.3,6,66,540,6.0,4,2,6,4,0,0,12,0,6.0,6.0,3.2,9.3,63,140,0.67,0.33,1.00,0.67,1.00,1.01,0.54,1.55,1.01,1.55
fr Lyon,24,25.0,44.9,10,110,900,10.0,14,9,23,12,2,2,22,0,12.7,11.1,7.8,18.9,217,354,1.40,0.90,2.30,1.20,2.10,1.27,0.78,2.05,1.11,1.89
eng Manchester City,23,26.9,62.4,9,99,810,9.0,21,18,39,19,2,3,15,2,25.1,22.7,20.0,42.8,270,486,2.33,2.00,4.33,2.11,4.11,2.78,2.22,5.01,2.53,4.75
it Napoli,24,27.1,47.5,8,88,720,8.0,13,6,19,9,4,4,14,0,14.9,11.8,8.3,20.1,147,316,1.62,0.75,2.37,1.13,1.87,1.86,1.04,2.90,1.47,2.51
gr Olympiacos,17,26.2,45.0,6,66,540,6.0,8,5,13,6,2,2,14,1,7.9,6.3,5.0,11.3,94,188,1.33,0.83,2.17,1.00,1.83,1.31,0.83,2.15,1.05,1.88
fr Paris S-G,24,27.4,53.2,11,121,990,11.0,25,20,45,24,1,1,29,0,26.2,25.4,21.3,46.8,204,443,2.27,1.82,4.09,2.18,4.00,2.39,1.94,4.33,2.31,4.25
de RB Leipzig,25,24.2,57.1,10,110,900,10.0,16,10,26,12,4,4,20,0,18.0,14.8,9.9,24.7,233,563,1.60,1.00,2.60,1.20,2.20,1.80,0.99,2.79,1.48,2.47
at RB Salzburg,21,24.1,44.8,6,66,540,6.0,16,13,29,14,2,2,8,0,13.7,12.1,10.4,22.5,102,260,2.67,2.17,4.83,2.33,4.50,2.28,1.74,4.02,2.02,3.76
es Real Madrid,25,27.3,54.8,8,88,720,8.0,16,14,30,15,1,1,13,1,16.6,15.8,13.5,29.3,195,410,2.00,1.75,3.75,1.87,3.62,2.07,1.68,3.75,1.98,3.66
rs Red Star,19,27.5,36.5,6,66,540,6.0,3,2,5,3,0,1,14,0,4.0,3.2,2.2,5.4,82,168,0.50,0.33,0.83,0.50,0.83,0.67,0.36,1.03,0.54,0.90
