Squad,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
nl Ajax,21,6.0,107,57,47,40,20,40,96,41.7,56,75,17,58,75,182,110,7
it Atalanta,25,8.0,139,76,64,56,19,54,151,35.8,97,98,29,69,140,279,144,3
es Atlético Madrid,20,8.0,123,73,53,51,19,70,149,47.0,79,88,26,62,94,217,168,1
es Barcelona,27,8.0,109,60,38,46,25,48,131,36.6,83,72,16,56,88,197,64,3
tr Başakşehir,21,6.0,72,34,36,29,7,40,114,35.1,74,91,32,59,78,150,103,2
de Bayern Munich,26,10.0,157,77,68,64,25,62,161,38.5,99,112,21,91,126,283,147,3
eng Chelsea,24,13.0,199,127,94,80,25,97,212,45.8,115,154,42,112,146,345,262,2
be Club Brugge,22,6.0,81,51,38,33,10,35,75,46.7,40,58,19,39,76,157,85,2
de Dortmund,26,10.0,155,89,77,57,21,59,152,38.8,93,116,34,82,106,261,180,2
ua Dynamo Kyiv,22,6.0,87,48,44,35,8,37,112,33.0,75,73,16,57,102,189,139,3
hu Ferencváros,20,6.0,83,47,50,21,12,34,90,37.8,56,61,19,42,96,179,73,5
de Gladbach,21,8.0,142,73,81,47,14,69,164,42.1,95,119,34,85,90,232,144,2
it Inter,21,6.0,82,48,26,41,15,25,93,26.9,68,56,12,44,78,160,60,2
it Juventus,22,8.3,135,86,62,57,16,61,148,41.2,87,70,18,52,122,257,102,4
ru Krasnodar,23,6.0,72,36,32,28,12,32,97,33.0,65,74,27,47,82,154,132,3
it Lazio,25,8.0,132,66,73,49,10,64,159,40.3,95,81,20,61,109,241,161,6
eng Liverpool,29,10.0,135,84,68,54,13,55,141,39.0,86,110,20,90,117,252,171,7
ru Loko Moscow,22,6.0,89,47,65,15,9,50,124,40.3,74,73,30,43,100,189,202,2
eng Manchester City,25,13.0,188,99,48,91,49,73,179,40.8,106,121,26,95,117,305,139,8
eng Manchester Utd,23,6.0,91,49,31,47,13,46,95,48.4,49,66,12,54,60,151,94,1
fr Marseille,20,6.0,86,60,48,29,9,37,90,41.1,53,52,10,42,89,175,65,3
dk Midtjylland,22,6.0,94,61,48,35,11,33,91,36.3,58,69,12,57,110,204,102,3
gr Olympiacos,21,6.0,88,40,36,46,6,32,91,35.2,59,45,15,30,83,171,103,3
fr Paris S-G,23,12.0,202,112,102,82,18,81,222,36.5,141,144,47,97,140,342,249,4
pt Porto,26,10.3,165,96,98,53,14,76,183,41.5,107,116,36,80,91,256,250,2
de RB Leipzig,20,8.0,165,99,71,78,16,77,173,44.5,96,91,15,76,108,273,112,7
at RB Salzburg,19,6.0,117,62,52,53,12,50,134,37.3,84,86,17,69,97,214,121,1
es Real Madrid,25,12.0,198,104,97,70,31,96,218,44.0,122,119,23,96,151,349,138,2
fr Rennes,26,6.0,74,46,35,28,11,32,89,36.0,57,49,13,36,65,139,91,1
es Sevilla,25,8.0,106,61,38,47,21,46,123,37.4,77,78,23,55,79,185,94,2
ua Shakhtar,23,6.0,63,39,41,15,7,40,105,38.1,65,72,17,55,81,144,148,3
ru Zenit,21,6.0,95,57,56,28,11,45,128,35.2,83,67,18,49,93,188,101,1
