Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
First qualifying round,Tue,2016-06-28,19:00,Valletta FC mt,1–0,fo B36 Tórshavn,1151,Hibernians Stadium,Radu Petrescu,Match Report,Leg 1 of 2
First qualifying round,Tue,2016-06-28,19:00 (18:00),FC Flora ee,2–1,gi Red Imps,886,A. Le Coq Arena,Robert Harvey,Match Report,Leg 1 of 2
First qualifying round,Tue,2016-06-28,19:00 (20:00),The New Saints wls,2–1,sm S.P. Tre Penne,712,Park Hall Stadium,Trustin Farrugia Cann,Match Report,Leg 1 of 2
First qualifying round,Tue,2016-06-28,20:00,Santa Coloma ad,0–0,am Alashkert,600,Estadi Comunal d'Andorra la Vella,Alex Troleis,Match Report,Leg 1 of 2
First qualifying round,Tue,2016-07-05,18:00 (19:00),B36 Tórshavn fo,2–1,mt Valletta FC,850,Gundadalur,Roomer Tarajev,Match Report,Leg 2 of 2; Valletta FC won
First qualifying round,Tue,2016-07-05,19:00 (17:00),Alashkert am,3–0,ad Santa Coloma,2100,Vazgen Sargsyan anvan Hanrapetakan Marza...,Aleksandr Aliyev,Match Report,Leg 2 of 2; Alashkert won
First qualifying round,Tue,2016-07-05,20:30,S.P. Tre Penne sm,0–3,wls The New Saints,743,Stadio Olimpico di Serravalle,Lorenc Jemini,Match Report,Leg 2 of 2; The New Saints won
First qualifying round,Wed,2016-07-06,19:00,Red Imps gi,2–0,ee FC Flora,1020,Victoria Stadium,Alain Durieux,Match Report,Leg 2 of 2; Red Imps won
,,,,,,,,,,,
Second qualifying round,Tue,2016-07-12,18:30,Zrinjski Mostar ba,1–1,pl Legia Warsaw,5500,Stadion Bijeli Brijeg,Carlos Clos,Match Report,Leg 1 of 2
Second qualifying round,Tue,2016-07-12,19:00 (20:00),The New Saints wls,0–0,cy APOEL FC,1056,Park Hall Stadium,Hugo Miguel,Match Report,Leg 1 of 2
Second qualifying round,Tue,2016-07-12,20:00,Valletta FC mt,1–2,rs Red Star,1098,Hibernians Stadium,Alexander Harkam,Match Report,Leg 1 of 2
Second qualifying round,Tue,2016-07-12,20:00,Red Imps gi,1–0,sct Celtic,1632,Victoria Stadium,Andreas Ekberg,Match Report,Leg 1 of 2
Second qualifying round,Tue,2016-07-12,20:30,RB Salzburg at,1–0,lv FK Liepāja,6917,Red Bull Arena,Enea Jorgji,Match Report,Leg 1 of 2
Second qualifying round,Tue,2016-07-12,20:45,FK Vardar mk,1–2,hr Dinamo Zagreb,17000,Telekom Arena,Robert Madley,Match Report,Leg 1 of 2
Second qualifying round,Tue,2016-07-12,20:50 (19:50),Be'er Sheva il,3–2,md Sheriff Tiraspol,15939,Turner Stadium,Carlos del Cerro,Match Report,Leg 1 of 2
Second qualifying round,Tue,2016-07-12,21:00 (19:00),Dinamo Tbilisi ge,2–0,am Alashkert,11769,Boris Paichadzis Erovnuli Stadioni,Constantin Colțescu,Match Report,Leg 1 of 2
Second qualifying round,Tue,2016-07-12,21:00 (20:00),BATE Borisov by,2–0,fi SJK,9247,Borisov Arena,Andris Treimanis,Match Report,Leg 1 of 2
Second qualifying round,Tue,2016-07-12,21:00 (19:00),Qarabağ az,2–0,lu F91 Dudelange,18600,Tofiq Bəhramov adına Respublika stadionu,Orel Grinfeeld,Match Report,Leg 1 of 2
Second qualifying round,Wed,2016-07-13,19:00 (20:00),Crusaders FC nir,0–3,dk FC Copenhagen,2069,Seaview,Stephan Klossner,Match Report,Leg 1 of 2
Second qualifying round,Wed,2016-07-13,19:15,Rosenborg no,3–1,se Norrköping,11595,Lerkendal Stadion,Davide Massa,Match Report,Leg 1 of 2
Second qualifying round,Wed,2016-07-13,19:45 (20:45),Dundalk FC ie,1–1,is FH,3111,Oriel Park,Nikola Popov,Match Report,Leg 1 of 2
Second qualifying round,Wed,2016-07-13,20:00,Partizani Tirana al,1–1,hu Ferencváros,1700,Stadiumi Skënderbeu,Benoît Millot,Match Report,Leg 1 of 2
Second qualifying round,Wed,2016-07-13,20:15 (19:15),Žalgiris lt,0–0,kz FC Astana,4100,Vilniaus LFF stadionas,Vlado Glođović,Match Report,Leg 1 of 2
Second qualifying round,Wed,2016-07-13,20:30,Olimpija si,3–4,sk FK AS Trenčín,5950,Stadion Stožice,Ali Palabıyık,Match Report,Leg 1 of 2
Second qualifying round,Wed,2016-07-13,20:30 (19:30),Ludogorets bg,2–0,me Mladost,6000,Ludogorets Arena,Sergey Lapochkin,Match Report,Leg 1 of 2
Second qualifying round,Tue,2016-07-19,19:00 (18:00),FK Liepāja lv,0–2,at RB Salzburg,3633,Stadions Daugava,Jonathan Lardot,Match Report,Leg 2 of 2; RB Salzburg won
Second qualifying round,Tue,2016-07-19,19:00 (17:00),Alashkert am,1–1,ge Dinamo Tbilisi,4600,Vazgen Sargsyan anvan Hanrapetakan Marza...,Mohammed Al Hakim,Match Report,Leg 2 of 2; Dinamo Tbilisi won
Second qualifying round,Tue,2016-07-19,19:15,FC Copenhagen dk,6–0,nir Crusaders FC,6924,Telia Parken,Ante Vučemilović,Match Report,Leg 2 of 2; FC Copenhagen won
Second qualifying round,Tue,2016-07-19,20:00 (19:00),APOEL FC cy,3–0,wls The New Saints,10548,Neo GSP,Nikola Dabanović,Match Report,Leg 2 of 2; APOEL FC won
Second qualifying round,Tue,2016-07-19,20:00 (19:00),SJK fi,2–2,by BATE Borisov,5817,OmaSP Stadion,Bastian Dankert,Match Report,Leg 2 of 2; BATE Borisov won
Second qualifying round,Tue,2016-07-19,20:00 (19:00),Sheriff Tiraspol md,0–0,il Be'er Sheva,8184,Bolshaya Sportivnaya Arena,Daniel Stefański,Match Report,Leg 2 of 2; Be'er Sheva won
Second qualifying round,Tue,2016-07-19,20:30,Red Star rs,2–1,mt Valletta FC,31112,Stadion Rajko Mitić,Tore Hansen,Match Report,Leg 2 of 2; Red Star won
Second qualifying round,Tue,2016-07-19,20:45,Legia Warsaw pl,2–0,ba Zrinjski Mostar,12784,Stadion Miejski Legii Warszawa im. Marsz...,Nicolas Rainville,Match Report,Leg 2 of 2; Legia Warsaw won
Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Second qualifying round,Tue,2016-07-19,20:45,Mladost me,0–3,bg Ludogorets,4300,Stadion Pod Goricom,Pol van Boekel,Match Report,Leg 2 of 2; Ludogorets won
Second qualifying round,Wed,2016-07-20,18:00,F91 Dudelange lu,1–1,az Qarabağ,891,Stade Jos Nosbaum,Kevin Clancy,Match Report,Leg 2 of 2; Qarabağ won
Second qualifying round,Wed,2016-07-20,19:15 (21:15),FH is,2–2,ie Dundalk FC,1850,Kaplakrikavöllur,Paolo Valeri,Match Report,Leg 2 of 2; Dundalk FC won
Second qualifying round,Wed,2016-07-20,19:15,Norrköping se,3–2,no Rosenborg,10372,Östgötaporten,Craig Pawson,Match Report,Leg 2 of 2; Rosenborg won
Second qualifying round,Wed,2016-07-20,19:30,Ferencváros hu,(1) 1–1 (3),al Partizani Tirana,8752,Groupama Arena,Kristo Tohver,Match Report,Leg 2 of 2; Ferencváros won; Ferencváros won on penalty kicks following extra time
Second qualifying round,Wed,2016-07-20,19:45 (20:45),Celtic sct,3–0,gi Red Imps,55632,Celtic Park,Bartosz Frankowski,Match Report,Leg 2 of 2; Celtic won
Second qualifying round,Wed,2016-07-20,20:00 (16:00),FC Astana kz,2–1,lt Žalgiris,18449,Astana Arena,Sandro Schärer,Match Report,Leg 2 of 2; FC Astana won
Second qualifying round,Wed,2016-07-20,20:15,FK AS Trenčín sk,2–3,si Olimpija,3750,Štadión Pod Dubňom,João Santos Capela,Match Report,Leg 2 of 2; FK AS Trenčín won
Second qualifying round,Wed,2016-07-20,20:45,Dinamo Zagreb hr,3–2,mk FK Vardar,10142,Stadion Maksimir,Sergey Ivanov,Match Report,Leg 2 of 2; Dinamo Zagreb won
,,,,,,,,,,,
Third qualifying round,Tue,2016-07-26,20:00,Sparta Prague cz,1–1,ro Steaua,13257,Generali Arena,Daniel Siebert,Match Report,Leg 1 of 2
Third qualifying round,Tue,2016-07-26,20:15,Viktoria Plzeň cz,0–0,az Qarabağ,10269,Doosan Arena,Aleksandar Stavrev,Match Report,Leg 1 of 2
Third qualifying round,Tue,2016-07-26,20:15,Partizani Tirana al,0–1,at RB Salzburg,4000,Elbasan Arena,Michael Oliver,Match Report,Leg 1 of 2
Third qualifying round,Tue,2016-07-26,20:45,Dinamo Zagreb hr,2–0,ge Dinamo Tbilisi,10258,Stadion Maksimir,Bobby Madden,Match Report,Leg 1 of 2
Third qualifying round,Tue,2016-07-26,20:45,Ajax nl,1–1,gr PAOK,47744,Johan Cruyff ArenA,Daniel Ask,Match Report,Leg 1 of 2
Third qualifying round,Tue,2016-07-26,21:00 (20:00),Ludogorets bg,2–2,rs Red Star,7759,Ludogorets Arena,Martin Strömbergsson,Match Report,Leg 1 of 2
Third qualifying round,Tue,2016-07-26,21:00 (20:00),BATE Borisov by,1–0,ie Dundalk FC,11321,Borisov Arena,Yevhen Aranovskyi,Match Report,Leg 1 of 2
Third qualifying round,Tue,2016-07-26,21:30 (20:30),Rostov ru,2–2,be Anderlecht,14770,Stadion Olimp 2,Luca Banti,Match Report,Leg 1 of 2
Third qualifying round,Tue,2016-07-26,21:45 (20:45),Shakhtar ua,2–0,ch Young Boys,7477,L'viv Arena,Serdar Gözübüyük,Match Report,Leg 1 of 2
Third qualifying round,Wed,2016-07-27,10:00 (16:00),FC Astana kz,1–1,sct Celtic,29000,Estadio Metropolitano de Fútbol de Lara,Paolo Mazzoleni,Match Report,Leg 1 of 2
Third qualifying round,Wed,2016-07-27,19:15,Rosenborg no,2–1,cy APOEL FC,13281,Lerkendal Stadion,Slavko Vinčić,Match Report,Leg 1 of 2
Third qualifying round,Wed,2016-07-27,20:30 (19:30),Astra Giurgiu ro,1–1,dk FC Copenhagen,2381,Stadionul Marin Anastasovici,Istvan Vad II,Match Report,Leg 1 of 2
Third qualifying round,Wed,2016-07-27,20:30,FK AS Trenčín sk,0–1,pl Legia Warsaw,5866,Štadión Pod Dubňom,Aliaksei Kulbakov,Match Report,Leg 1 of 2
Third qualifying round,Wed,2016-07-27,21:30 (20:30),Fenerbahçe tr,2–1,fr Monaco,12223,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Jesús Gil,Match Report,Leg 1 of 2
Third qualifying round,Wed,2016-07-27,21:45 (20:45),Olympiacos gr,0–0,il Be'er Sheva,20531,Stadio Georgios Karaiskáki,Jorge de Sousa,Match Report,Leg 1 of 2
Third qualifying round,Tue,2016-08-02,20:00 (19:00),APOEL FC cy,3–0,no Rosenborg,15559,Neo GSP,Paweł Raczkowski,Match Report,Leg 2 of 2; APOEL FC won
Third qualifying round,Tue,2016-08-02,20:00 (21:00),Dundalk FC ie,3–0,by BATE Borisov,4645,Tallaght Stadium,Jakob Kehlet,Match Report,Leg 2 of 2; Dundalk FC won
Third qualifying round,Tue,2016-08-02,20:30,Red Star rs,2–4,bg Ludogorets,50223,Stadion Rajko Mitić,Luca Banti,Match Report,Leg 2 of 2; Ludogorets won; Required Extra Time
Third qualifying round,Tue,2016-08-02,20:30 (18:30),Qarabağ az,1–1,cz Viktoria Plzeň,30792,Tofiq Bəhramov adına Respublika stadionu,Hüseyin Göçek,Match Report,Leg 2 of 2; Viktoria Plzeň won
Third qualifying round,Tue,2016-08-02,21:00 (19:00),Dinamo Tbilisi ge,0–1,hr Dinamo Zagreb,21510,Boris Paichadzis Erovnuli Stadioni,Miroslav Zelinka,Match Report,Leg 2 of 2; Dinamo Zagreb won
Third qualifying round,Wed,2016-08-03,19:45 (20:45),Celtic sct,2–1,kz FC Astana,52952,Celtic Park,István Kovács,Match Report,Leg 2 of 2; Celtic won
Third qualifying round,Wed,2016-08-03,19:45,FC Copenhagen dk,3–0,ro Astra Giurgiu,16852,Telia Parken,Liran Liany,Match Report,Leg 2 of 2; FC Copenhagen won
Third qualifying round,Wed,2016-08-03,20:15,Young Boys ch,(4) 2–0 (2),ua Shakhtar,9365,Stade de Suisse Wankdorf Bern,Ruddy Buquet,Match Report,Leg 2 of 2; Shakhtar won; Shakhtar won on penalty kicks following extra time
Third qualifying round,Wed,2016-08-03,20:30,RB Salzburg at,2–0,al Partizani Tirana,7853,Red Bull Arena,Ivan Kružliak,Match Report,Leg 2 of 2; RB Salzburg won
Third qualifying round,Wed,2016-08-03,20:45 (19:45),Steaua ro,2–0,cz Sparta Prague,37127,Arena Naţională,Danny Makkelie,Match Report,Leg 2 of 2; Steaua won
Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Third qualifying round,Wed,2016-08-03,20:45,Monaco fr,3–1,tr Fenerbahçe,8403,Stade Louis II,Artur Soares Dias,Match Report,Leg 2 of 2; Monaco won
Third qualifying round,Wed,2016-08-03,20:45,Legia Warsaw pl,0–0,sk FK AS Trenčín,21850,Stadion Miejski Legii Warszawa im. Marsz...,Vladislav Bezborodov,Match Report,Leg 2 of 2; Legia Warsaw won
Third qualifying round,Wed,2016-08-03,20:45,Anderlecht be,0–2,ru Rostov,19464,Stade Constant Vanden Stock,Matej Jug,Match Report,Leg 2 of 2; Rostov won
Third qualifying round,Wed,2016-08-03,21:00 (20:00),Be'er Sheva il,1–0,gr Olympiacos,15500,Arthur Vasermil Stadium,Benoît Bastien,Match Report,Leg 2 of 2; Be'er Sheva won
Third qualifying round,Wed,2016-08-03,21:30 (20:30),PAOK gr,1–2,nl Ajax,24930,Stadio Toumbas,Anthony Taylor,Match Report,Leg 2 of 2; Ajax won
,,,,,,,,,,,
Play-off round,Tue,2016-08-16,20:45,FC Copenhagen dk,1–0,cy APOEL FC,20519,Telia Parken,Pavel Královec,Match Report,Leg 1 of 2
Play-off round,Tue,2016-08-16,20:45,Young Boys ch,1–3,de Gladbach,30224,Stade de Suisse Wankdorf Bern,Nicola Rizzoli,Match Report,Leg 1 of 2
Play-off round,Tue,2016-08-16,20:45,Dinamo Zagreb hr,1–1,at RB Salzburg,13784,Stadion Maksimir,Tasos Sidiropoulos,Match Report,Leg 1 of 2
Play-off round,Tue,2016-08-16,20:45,Ajax nl,1–1,ru Rostov,51436,Johan Cruyff ArenA,William Collum,Match Report,Leg 1 of 2
Play-off round,Tue,2016-08-16,21:45 (20:45),Steaua ro,0–5,eng Manchester City,42327,Arena Naţională,Daniele Orsato,Match Report,Leg 1 of 2
Play-off round,Wed,2016-08-17,19:45 (20:45),Porto pt,1–1,it Roma,46310,Estádio Do Dragão,Björn Kuipers,Match Report,Leg 1 of 2
Play-off round,Wed,2016-08-17,19:45 (20:45),Celtic sct,5–2,il Be'er Sheva,52659,Celtic Park,Damir Skomina,Match Report,Leg 1 of 2
Play-off round,Wed,2016-08-17,19:45 (20:45),Dundalk FC ie,0–2,pl Legia Warsaw,30417,Aviva Stadium,Deniz Aytekin,Match Report,Leg 1 of 2
Play-off round,Wed,2016-08-17,20:45,Villarreal es,1–2,fr Monaco,19516,Estadio de la Cerámica,Felix Brych,Match Report,Leg 1 of 2
Play-off round,Wed,2016-08-17,21:45 (20:45),Ludogorets bg,2–0,cz Viktoria Plzeň,11812,Stadion Vasil Levski,Mark Clattenburg,Match Report,Leg 1 of 2
Play-off round,Tue,2016-08-23,20:45,Roma it,0–3,pt Porto,39866,Stadio Olimpico,Szymon Marciniak,Match Report,Leg 2 of 2; Porto won
Play-off round,Tue,2016-08-23,20:45,Viktoria Plzeň cz,2–2,bg Ludogorets,10312,Doosan Arena,Alberto Undiano,Match Report,Leg 2 of 2; Ludogorets won
Play-off round,Tue,2016-08-23,20:45,Legia Warsaw pl,1–1,ie Dundalk FC,29066,Stadion Miejski Legii Warszawa im. Marsz...,Svein Oddvar Moen,Match Report,Leg 2 of 2; Legia Warsaw won
Play-off round,Tue,2016-08-23,20:45,Monaco fr,1–0,es Villarreal,8750,Stade Louis II,Jonas Eriksson,Match Report,Leg 2 of 2; Monaco won
Play-off round,Tue,2016-08-23,21:45 (20:45),Be'er Sheva il,2–0,sct Celtic,15383,Turner Stadium,Bas Nijhuis,Match Report,Leg 2 of 2; Celtic won
Play-off round,Wed,2016-08-24,19:45 (20:45),Manchester City eng,1–0,ro Steaua,40064,Etihad Stadium,Paweł Gil,Match Report,Leg 2 of 2; Manchester City won
Play-off round,Wed,2016-08-24,20:45,Gladbach de,6–1,ch Young Boys,43302,Stadion im Borussia-Park,Andre Marriner,Match Report,Leg 2 of 2; Gladbach won
Play-off round,Wed,2016-08-24,20:45,RB Salzburg at,1–2,hr Dinamo Zagreb,23451,Red Bull Arena,Craig Thomson,Match Report,Leg 2 of 2; Dinamo Zagreb won; Required Extra Time
Play-off round,Wed,2016-08-24,21:45 (20:45),APOEL FC cy,1–1,dk FC Copenhagen,17310,Neo GSP,Gianluca Rocchi,Match Report,Leg 2 of 2; FC Copenhagen won
Play-off round,Wed,2016-08-24,21:45 (20:45),Rostov ru,4–1,nl Ajax,15320,Stadion Olimp 2,Milorad Mažić,Match Report,Leg 2 of 2; Rostov won
