Rk,Squad,Comp,Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_GPK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_GPK,Per_90_Minutes_G+APK,Season,Competition,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl_2,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxGSoT,Expected_PSxG+,Expected_90,Launched_Cmp,Launched_Att,Launched_Cmp_2,Passes_Att_GK,Passes_Thr,Passes_Launch,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp_2,Sweeper_OPA,Sweeper_OPA90,Sweeper_AvgDist,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS_2,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Total_Cmp,Total_Att,Total_Cmp_2,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp_2,Medium_Cmp,Medium_Att,Medium_Cmp_2,Long_Cmp,Long_Att,Long_Cmp_2,Ast,AxAG,KP,13,PPA,CrsPA,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Playing_Time_MnMP,Playing_Time_Min_2,Starts_Starts,Starts_MnStart,Starts_Compl,Subs_Subs,Subs_MnSub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+,Team_Success_+90,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,TakeOns_Att,TakeOns_Succ,TakeOns_Succ_2,TakeOns_Tkld,TakeOns_Tkld_2,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_13,Carries_CPA,Carries_Mis,Carries_Dis,Rec,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT_2,Standard_Sh90,Standard_SoT90,Standard_GSh,Standard_GSoT,Standard_Dist,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won_2,xAG,Expected_xA,Expected_AxAG,PrgP,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+,Team_Success_xG_xG+90,Carries_PrgC,Receiving_Rec,Receiving_PrgR,Standard_FK,Expected_npxGSh,Expected_GxG,Expected_npGxG
,Almería,es La Liga,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.68,213.0,149.0,70.0,8.0,8.0,22.0,8.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Almería,es La Liga,27,26.1,46.4,38.0,418.0,3420.0,38.0,33.0,22.0,55.0,28.0,5.0,6.0,124.0,0.0,0.87,0.58,1.45,0.74,1.32,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.0,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,111.0,0.0,153.0,0.84,35.0,64.0,-29.0,-0.76,,,,,,,,,,,,,,,,,,,,,33.0,,131.0,,,3.45,,0.21,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arsenal,eng Premier League,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.95,128.0,92.0,71.9,22.0,9.0,7.0,13.0,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Arsenal,eng Premier League,29,26.1,56.6,38.0,418.0,3420.0,38.0,69.0,47.0,116.0,63.0,6.0,7.0,69.0,0.0,1.82,1.24,3.05,1.66,2.89,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.0,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,103.0,0.0,163.0,1.97,71.0,36.0,35.0,0.92,,,,,,,,,,,,,,,,,,,,,69.0,,226.0,,,5.95,,0.28,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aston Villa,eng Premier League,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,57.0,1.5,168.0,111.0,66.1,10.0,8.0,20.0,10.0,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Aston Villa,eng Premier League,27,26.3,49.0,38.0,418.0,3420.0,38.0,31.0,23.0,54.0,30.0,1.0,1.0,76.0,0.0,0.82,0.61,1.42,0.79,1.39,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,101.0,0.0,165.0,1.0,31.0,57.0,-26.0,-0.68,,,,,,,,,,,,,,,,,,,,,31.0,,127.0,,,3.34,,0.24,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atalanta,it Serie A,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,57.0,1.5,159.0,102.0,64.2,7.0,16.0,15.0,8.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Atalanta,it Serie A,32,28.1,46.4,38.0,418.0,3420.0,38.0,37.0,21.0,58.0,33.0,4.0,5.0,113.0,0.0,0.97,0.55,1.53,0.87,1.42,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.0,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,114.0,0.0,336.0,0.97,38.0,57.0,-19.0,-0.5,,,,,,,,,,,,,,,,,,,,,37.0,,144.0,,,3.79,,0.23,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Club,es La Liga,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,41.0,1.08,140.0,99.0,70.7,15.0,10.0,13.0,14.0,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Athletic Club,es La Liga,26,26.8,53.2,38.0,418.0,3420.0,38.0,41.0,26.0,67.0,36.0,5.0,5.0,103.0,0.0,1.08,0.68,1.76,0.95,1.63,2014-2015,Big 5 European Leagues,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,90.0,100.0,418.0,,,112.0,0.0,156.0,1.45,42.0,41.0,1.0,0.03,,,,,,,,,,,,,,,,,,,,,41.0,,153.0,,,4.03,,0.24,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
