Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
1.0,Fri,2016-08-12,20:00,Bastia,0–1,Paris S-G,13122.0,Stade Armand Césari,Franck Schneider,Match Report,
1.0,Fri,2016-08-12,20:30,Monaco,2–2,Guingamp,8019.0,Stade Louis II,Jérôme Miguelgorry,Match Report,
1.0,Sat,2016-08-13,17:00,Bordeaux,3–2,Saint-Étienne,34212.0,Stade Matmut-Atlantique,Lionel Jaffredo,Match Report,
1.0,Sat,2016-08-13,20:00,Metz,3–2,Lille,17174.0,Stade Saint-Symphorien,Mikael Lesage,Match Report,
1.0,Sat,2016-08-13,20:00,Caen,3–2,Lorient,16920.0,Stade Michel d'Ornano,Johan Hamel,Match Report,
1.0,Sat,2016-08-13,20:00,Montpellier,1–0,Angers,10389.0,Stade de la Mosson,Bartolomeu Varela,Match Report,
1.0,Sat,2016-08-13,20:00,Dijon,0–1,Nantes,9236.0,Stade Gaston Gérard,Karim Abed,Match Report,
1.0,Sun,2016-08-14,15:00,Nancy,0–3,Lyon,18885.0,Stade Marcel Picot,Amaury Delerue,Match Report,
1.0,Sun,2016-08-14,17:00,Nice,1–0,Rennes,19075.0,Stade de Nice,Antony Gautier,Match Report,
1.0,Sun,2016-08-14,20:45,Marseille,0–0,Toulouse,37364.0,Orange Vélodrome,Benoît Millot,Match Report,
,,,,,,,,,,,
2.0,Fri,2016-08-19,20:45,Lyon,2–0,Caen,41171.0,Groupama Stadium,Benoît Millot,Match Report,
2.0,Sat,2016-08-20,17:00,Nantes,0–1,Monaco,25908.0,Stade de la Beaujoire - Louis Fonteneau,Stéphane Lannoy,Match Report,
2.0,Sat,2016-08-20,20:00,Toulouse,4–1,Bordeaux,19258.0,Stadium Municipal,Tony Chapron,Match Report,
2.0,Sat,2016-08-20,20:00,Angers,0–1,Nice,10142.0,Stade Raymond Kopa,Jérôme Miguelgorry,Match Report,
2.0,Sat,2016-08-20,20:00,Lorient,0–3,Bastia,10256.0,Stade du Moustoir,Amaury Delerue,Match Report,
2.0,Sat,2016-08-20,20:00,Lille,1–0,Dijon,25548.0,Stade Pierre-Mauroy,Olivier Thual,Match Report,
2.0,Sat,2016-08-20,20:00,Rennes,2–0,Nancy,20705.0,Roazhon Park,Mikael Lesage,Match Report,
2.0,Sun,2016-08-21,15:00,Guingamp,2–1,Marseille,16056.0,Stade du Roudourou,Benoît Bastien,Match Report,
2.0,Sun,2016-08-21,17:00,Saint-Étienne,3–1,Montpellier,23661.0,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
2.0,Sun,2016-08-21,20:45,Paris S-G,3–0,Metz,46011.0,Parc des Princes,François Letexier,Match Report,
,,,,,,,,,,,
3.0,Fri,2016-08-26,20:45,Marseille,2–0,Lorient,26193.0,Orange Vélodrome,Antony Gautier,Match Report,
3.0,Sat,2016-08-27,17:00,Dijon,4–2,Lyon,10369.0,Stade Gaston Gérard,Johan Hamel,Match Report,
3.0,Sat,2016-08-27,20:00,Metz,2–0,Angers,14805.0,Stade Saint-Symphorien,Karim Abed,Match Report,
3.0,Sat,2016-08-27,20:00,Nancy,0–2,Guingamp,15587.0,Stade Marcel Picot,Franck Schneider,Match Report,
3.0,Sat,2016-08-27,20:00,Caen,2–0,Bastia,15695.0,Stade Michel d'Ornano,Lionel Jaffredo,Match Report,
3.0,Sat,2016-08-27,20:00,Montpellier,1–1,Rennes,9163.0,Stade de la Mosson,Benoît Millot,Match Report,
3.0,Sat,2016-08-27,20:00,Nice,1–1,Lille,16355.0,Stade de Nice,François Letexier,Match Report,
3.0,Sun,2016-08-28,15:00,Bordeaux,1–0,Nantes,23207.0,Stade Matmut-Atlantique,Benoît Bastien,Match Report,
3.0,Sun,2016-08-28,17:00,Saint-Étienne,0–0,Toulouse,23786.0,Stade Geoffroy-Guichard,Bartolomeu Varela,Match Report,
3.0,Sun,2016-08-28,20:45,Monaco,3–1,Paris S-G,15219.0,Stade Louis II,Ruddy Buquet,Match Report,
,,,,,,,,,,,
4.0,Fri,2016-09-09,20:45,Paris S-G,1–1,Saint-Étienne,44327.0,Parc des Princes,Benoît Bastien,Match Report,
4.0,Sat,2016-09-10,17:00,Lyon,1–3,Bordeaux,40976.0,Groupama Stadium,Ruddy Buquet,Match Report,
4.0,Sat,2016-09-10,20:00,Angers,3–1,Dijon,9553.0,Stade Raymond Kopa,Mikael Lesage,Match Report,
4.0,Sat,2016-09-10,20:00,Lorient,0–2,Nancy,8323.0,Stade du Moustoir,Olivier Thual,Match Report,
4.0,Sat,2016-09-10,20:00,Lille,1–4,Monaco,29373.0,Stade Pierre-Mauroy,Tony Chapron,Match Report,
4.0,Sat,2016-09-10,20:00,Guingamp,1–1,Montpellier,12630.0,Stade du Roudourou,Clément Turpin,Match Report,
4.0,Sat,2016-09-10,20:00,Bastia,2–1,Toulouse,9966.0,Stade Armand Césari,Benoît Millot,Match Report,
4.0,Sun,2016-09-11,15:00,Nantes,0–3,Metz,19438.0,Stade de la Beaujoire - Louis Fonteneau,Jérôme Miguelgorry,Match Report,
4.0,Sun,2016-09-11,17:00,Rennes,2–0,Caen,20584.0,Roazhon Park,Amaury Delerue,Match Report,
4.0,Sun,2016-09-11,20:45,Nice,3–2,Marseille,31194.0,Stade de Nice,Franck Schneider,Match Report,
,,,,,,,,,,,
5.0,Fri,2016-09-16,20:45,Caen,0–6,Paris S-G,740.0,Stade Michel d'Ornano,Clément Turpin,Match Report,
5.0,Sat,2016-09-17,17:00,Monaco,3–0,Rennes,4000.0,Stade Louis II,Franck Schneider,Match Report,
5.0,Sat,2016-09-17,20:00,Bordeaux,0–1,Angers,18129.0,Stade Matmut-Atlantique,Olivier Thual,Match Report,
5.0,Sat,2016-09-17,20:00,Nancy,1–1,Nantes,17034.0,Stade Marcel Picot,Tony Chapron,Match Report,
5.0,Sat,2016-09-17,20:00,Lorient,1–0,Lille,8926.0,Stade du Moustoir,Karim Abed,Match Report,
5.0,Sat,2016-09-17,20:00,Toulouse,2–1,Guingamp,12109.0,Stadium Municipal,Johan Hamel,Match Report,
5.0,Sat,2016-09-17,20:00,Dijon,0–0,Metz,8336.0,Stade Gaston Gérard,Bartolomeu Varela,Match Report,
5.0,Sun,2016-09-18,15:00,Montpellier,1–1,Nice,12272.0,Stade de la Mosson,Lionel Jaffredo,Match Report,
5.0,Sun,2016-09-18,17:00,Saint-Étienne,1–0,Bastia,22245.0,Stade Geoffroy-Guichard,François Letexier,Match Report,
5.0,Sun,2016-09-18,20:45,Marseille,0–0,Lyon,32564.0,Orange Vélodrome,Antony Gautier,Match Report,
,,,,,,,,,,,
6.0,Tue,2016-09-20,19:00,Lille,1–2,Toulouse,23323.0,Stade Pierre-Mauroy,Jérôme Miguelgorry,Match Report,
6.0,Tue,2016-09-20,21:00,Paris S-G,3–0,Dijon,42484.0,Parc des Princes,Olivier Thual,Match Report,
6.0,Wed,2016-09-21,19:00,Angers,2–1,Caen,10504.0,Stade Raymond Kopa,François Letexier,Match Report,
6.0,Wed,2016-09-21,19:00,Nantes,0–0,Saint-Étienne,18823.0,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Match Report,
6.0,Wed,2016-09-21,19:00,Guingamp,1–0,Lorient,13175.0,Stade du Roudourou,Benoît Millot,Match Report,
6.0,Wed,2016-09-21,19:00,Bastia,0–0,Nancy,9193.0,Stade Armand Césari,Johan Hamel,Match Report,
6.0,Wed,2016-09-21,19:00,Metz,0–3,Bordeaux,15711.0,Stade Saint-Symphorien,Mikael Lesage,Match Report,
6.0,Wed,2016-09-21,19:00,Nice,4–0,Monaco,21867.0,Stade de Nice,Benoît Bastien,Match Report,
6.0,Wed,2016-09-21,19:00,Lyon,5–1,Montpellier,32193.0,Groupama Stadium,Bartolomeu Varela,Match Report,
6.0,Wed,2016-09-21,21:00,Rennes,3–2,Marseille,21583.0,Roazhon Park,Ruddy Buquet,Match Report,
,,,,,,,,,,,
7.0,Fri,2016-09-23,20:45,Toulouse,2–0,Paris S-G,28682.0,Stadium Municipal,Franck Schneider,Match Report,
7.0,Sat,2016-09-24,17:00,Lorient,1–0,Lyon,10628.0,Stade du Moustoir,Mikael Lesage,Match Report,
7.0,Sat,2016-09-24,20:00,Dijon,3–0,Rennes,8148.0,Stade Gaston Gérard,Sébastien Moreira,Match Report,
7.0,Sat,2016-09-24,20:00,Bordeaux,0–0,Caen,17476.0,Stade Matmut-Atlantique,Karim Abed,Match Report,
7.0,Sat,2016-09-24,20:00,Bastia,1–0,Guingamp,9387.0,Stade Armand Césari,Amaury Delerue,Match Report,
7.0,Sat,2016-09-24,20:00,Monaco,2–1,Angers,6019.0,Stade Louis II,Jérôme Miguelgorry,Match Report,
7.0,Sat,2016-09-24,20:00,Montpellier,0–1,Metz,9752.0,Stade de la Mosson,Tony Chapron,Match Report,
7.0,Sun,2016-09-25,15:00,Saint-Étienne,3–1,Lille,24700.0,Stade Geoffroy-Guichard,Benoît Millot,Match Report,
7.0,Sun,2016-09-25,17:00,Nancy,0–1,Nice,17580.0,Stade Marcel Picot,Antony Gautier,Match Report,
7.0,Sun,2016-09-25,20:45,Marseille,2–1,Nantes,25121.0,Orange Vélodrome,Lionel Jaffredo,Match Report,
,,,,,,,,,,,
8.0,Fri,2016-09-30,20:45,Rennes,1–0,Guingamp,26118.0,Roazhon Park,Nicolas Rainville,Match Report,
8.0,Sat,2016-10-01,17:00,Paris S-G,2–0,Bordeaux,44949.0,Parc des Princes,Antony Gautier,Match Report,
8.0,Sat,2016-10-01,20:00,Caen,1–0,Toulouse,16354.0,Stade Michel d'Ornano,Benoît Bastien,Match Report,
8.0,Sat,2016-10-01,20:00,Dijon,3–3,Montpellier,8428.0,Stade Gaston Gérard,François Letexier,Match Report,
8.0,Sat,2016-10-01,20:00,Metz,0–7,Monaco,19163.0,Stade Saint-Symphorien,Olivier Thual,Match Report,
8.0,Sat,2016-10-01,20:00,Nantes,1–0,Bastia,20129.0,Stade de la Beaujoire - Louis Fonteneau,Bartolomeu Varela,Match Report,
8.0,Sat,2016-10-01,20:00,Lille,1–0,Nancy,25719.0,Stade Pierre-Mauroy,Sébastien Desiage,Match Report,
8.0,Sun,2016-10-02,15:00,Angers,1–1,Marseille,14637.0,Stade Raymond Kopa,Johan Hamel,Match Report,
8.0,Sun,2016-10-02,17:00,Nice,2–1,Lorient,17816.0,Stade de Nice,Ruddy Buquet,Match Report,
8.0,Sun,2016-10-02,20:45,Lyon,2–0,Saint-Étienne,57050.0,Groupama Stadium,Clément Turpin,Match Report,
,,,,,,,,,,,
