Rk,Squad,Comp,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt
1,Almería,es La Liga,27,38.0,33,,131,,,3.45,,0.21,,5,6
2,Arsenal,eng Premier League,29,38.0,69,,226,,,5.95,,0.28,,6,7
3,Aston Villa,eng Premier League,27,38.0,31,,127,,,3.34,,0.24,,1,1
4,Atalanta,it Serie A,32,38.0,37,,144,,,3.79,,0.23,,4,5
5,Athletic Club,es La Liga,26,38.0,41,,153,,,4.03,,0.24,,5,5
6,Atlético Madrid,es La Liga,25,38.0,65,,197,,,5.18,,0.3,,5,6
7,Augsburg,de Bundesliga,25,34.0,43,,150,,,4.41,,0.24,,7,9
8,Barcelona,es La Liga,24,38.0,107,,291,,,7.66,,0.35,,6,7
9,Bastia,fr Ligue 1,31,38.0,35,,119,,,3.13,,0.25,,5,5
10,Bayern Munich,de Bundesliga,28,34.0,78,,251,,,7.38,,0.29,,6,6
11,Bordeaux,fr Ligue 1,30,38.0,46,,160,,,4.21,,0.24,,8,8
12,Burnley,eng Premier League,24,38.0,27,,124,,,3.26,,0.21,,1,2
13,Caen,fr Ligue 1,23,38.0,51,,156,,,4.11,,0.29,,6,6
14,Cagliari,it Serie A,29,38.0,45,,193,,,5.08,,0.21,,4,7
15,Celta Vigo,es La Liga,23,38.0,47,,177,,,4.66,,0.24,,4,6
16,Cesena,it Serie A,33,38.0,34,,121,,,3.18,,0.24,,5,6
17,Chelsea,eng Premier League,25,38.0,72,,209,,,5.5,,0.33,,4,5
18,Chievo,it Serie A,27,38.0,27,,151,,,3.97,,0.17,,1,2
19,Córdoba,es La Liga,33,38.0,21,,127,,,3.34,,0.15,,2,3
20,Crystal Palace,eng Premier League,30,38.0,46,,139,,,3.66,,0.29,,5,7
21,Dortmund,de Bundesliga,28,34.0,46,,195,,,5.74,,0.23,,2,3
22,Eibar,es La Liga,23,38.0,33,,124,,,3.26,,0.25,,2,2
23,Eint Frankfurt,de Bundesliga,26,34.0,54,,181,,,5.32,,0.28,,3,4
24,Elche,es La Liga,24,38.0,35,,137,,,3.61,,0.23,,4,7
25,Empoli,it Serie A,26,38.0,43,,184,,,4.84,,0.22,,3,3
26,Espanyol,es La Liga,27,38.0,47,,153,,,4.03,,0.28,,4,4
27,Everton,eng Premier League,28,38.0,47,,167,,,4.39,,0.26,,4,7
28,Evian,fr Ligue 1,29,38.0,37,,105,,,2.76,,0.34,,1,2
29,Fiorentina,it Serie A,30,38.0,61,,222,,,5.84,,0.27,,2,7
30,Freiburg,de Bundesliga,27,34.0,36,,168,,,4.94,,0.18,,6,9
31,Genoa,it Serie A,33,38.0,58,,184,,,4.84,,0.29,,5,7
32,Getafe,es La Liga,27,38.0,32,,153,,,4.03,,0.2,,1,2
33,Gladbach,de Bundesliga,19,34.0,53,,166,,,4.88,,0.3,,3,3
34,Granada,es La Liga,34,38.0,29,,137,,,3.61,,0.17,,6,6
35,Guingamp,fr Ligue 1,28,38.0,40,,139,,,3.66,,0.24,,7,7
36,Hamburger SV,de Bundesliga,31,34.0,22,,120,,,3.53,,0.16,,3,3
37,Hannover 96,de Bundesliga,25,34.0,38,,146,,,4.29,,0.25,,2,3
38,Hellas Verona,it Serie A,30,38.0,48,,170,,,4.47,,0.26,,4,6
39,Hertha BSC,de Bundesliga,26,34.0,35,,117,,,3.44,,0.26,,4,4
40,Hoffenheim,de Bundesliga,23,34.0,48,,172,,,5.06,,0.26,,4,5
41,Hull City,eng Premier League,29,38.0,32,,131,,,3.45,,0.24,,1,1
42,Inter,it Serie A,34,38.0,58,,205,,,5.39,,0.26,,5,7
43,Juventus,it Serie A,28,38.0,71,,221,,,5.82,,0.29,,6,9
44,Köln,de Bundesliga,23,34.0,33,,144,,,4.24,,0.2,,4,4
45,La Coruña,es La Liga,27,38.0,33,,140,,,3.68,,0.21,,4,7
46,Lazio,it Serie A,29,38.0,70,,232,,,6.11,,0.29,,3,5
47,Leicester City,eng Premier League,28,38.0,45,,137,,,3.61,,0.31,,3,3
48,Lens,fr Ligue 1,27,38.0,32,,128,,,3.37,,0.21,,5,8
49,Levante,es La Liga,29,38.0,34,,114,,,3.0,,0.27,,3,4
50,Leverkusen,de Bundesliga,22,34.0,62,,197,,,5.79,,0.31,,0,1
51,Lille,fr Ligue 1,27,38.0,42,,150,,,3.95,,0.25,,5,8
52,Liverpool,eng Premier League,25,38.0,48,,193,,,5.08,,0.22,,5,6
53,Lorient,fr Ligue 1,32,38.0,41,,174,,,4.58,,0.21,,5,5
54,Lyon,fr Ligue 1,26,38.0,69,,215,,,5.66,,0.28,,9,12
