Rk,Squad,Comp,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
1,Angers,fr Ligue 1,3,38,38,3420,38.0,38,1.0,126,88,69.8,13,11,14,17,44.7,,,,,
2,Arsenal,eng Premier League,2,38,38,3420,38.0,36,0.95,148,112,75.7,20,11,7,18,47.4,,,,,
3,Aston Villa,eng Premier League,2,38,38,3420,38.0,76,2.0,186,110,59.1,3,8,27,6,15.8,,,,,
4,Atalanta,it Serie A,3,38,38,3420,38.0,47,1.24,151,104,68.9,11,12,15,11,28.9,,,,,
5,Athletic Club,es La Liga,2,38,38,3417,38.0,45,1.19,131,93,70.2,18,8,12,13,34.2,7.0,6.0,1.0,0.0,14.3
6,Atlético Madrid,es La Liga,1,38,38,3420,38.0,18,0.47,99,82,82.8,28,4,6,24,63.2,1.0,1.0,0.0,0.0,0.0
7,Augsburg,de Bundesliga,2,34,34,3060,34.0,52,1.53,181,129,71.3,9,11,14,11,32.4,,,,,
8,Barcelona,es La Liga,2,38,38,3420,38.0,29,0.76,128,100,78.1,29,4,5,18,47.4,1.0,1.0,0.0,0.0,0.0
9,Bastia,fr Ligue 1,3,38,38,3419,38.0,42,1.11,145,103,71.0,14,8,16,15,39.5,,,,,
10,Bayern Munich,de Bundesliga,2,34,34,3060,34.0,17,0.5,84,67,79.8,28,4,2,20,58.8,,,,,
11,Betis,es La Liga,2,38,38,3420,38.0,52,1.37,186,134,72.0,11,12,15,12,31.6,1.0,0.0,0.0,1.0,
12,Bologna,it Serie A,2,38,38,3420,38.0,45,1.18,153,108,70.6,11,9,18,13,34.2,,,,,
13,Bordeaux,fr Ligue 1,3,38,38,3420,38.0,57,1.5,161,104,64.6,12,14,12,11,28.9,,,,,
14,Bournemouth,eng Premier League,3,38,38,3420,38.0,67,1.76,152,85,55.9,11,9,18,7,18.4,,,,,
15,Caen,fr Ligue 1,1,38,38,3420,38.0,52,1.37,168,116,69.0,16,6,16,10,26.3,,,,,
16,Carpi,it Serie A,4,38,38,3420,38.0,57,1.5,165,108,65.5,9,11,18,8,21.1,,,,,
17,Celta Vigo,es La Liga,3,38,38,3418,38.0,59,1.55,155,100,63.9,17,9,12,10,26.3,5.0,3.0,1.0,1.0,25.0
18,Chelsea,eng Premier League,2,38,38,3419,38.0,53,1.4,172,119,69.2,12,14,12,9,23.7,,,,,
19,Chievo,it Serie A,2,38,38,3420,38.0,45,1.18,175,130,74.3,13,11,14,12,31.6,,,,,
20,Crystal Palace,eng Premier League,3,38,38,3420,38.0,51,1.34,168,117,69.6,11,9,18,8,21.1,,,,,
21,Darmstadt 98,de Bundesliga,2,34,34,3060,34.0,53,1.56,156,103,66.0,9,11,14,8,23.5,,,,,
22,Dortmund,de Bundesliga,2,34,34,3060,34.0,34,1.0,106,72,67.9,24,6,4,13,38.2,,,,,
23,Eibar,es La Liga,2,38,38,3510,38.0,62,1.59,154,96,61.7,11,10,17,7,18.4,4.0,3.0,1.0,0.0,25.0
24,Eint Frankfurt,de Bundesliga,1,34,34,3060,34.0,52,1.53,180,128,71.1,9,9,16,8,23.5,,,,,
25,Empoli,it Serie A,3,38,38,3420,38.0,49,1.29,164,115,70.1,12,10,16,12,31.6,,,,,
26,Espanyol,es La Liga,2,38,38,3420,38.0,74,1.95,171,103,60.2,12,7,19,7,18.4,6.0,6.0,0.0,0.0,0.0
27,Everton,eng Premier League,2,38,38,3420,38.0,55,1.45,179,124,69.3,11,14,13,10,26.3,,,,,
28,Fiorentina,it Serie A,2,38,38,3420,38.0,42,1.11,111,69,62.2,18,10,10,14,36.8,,,,,
29,Frosinone,it Serie A,3,38,38,3420,38.0,76,2.0,223,147,65.9,8,7,23,7,18.4,,,,,
30,Gazélec Ajaccio,fr Ligue 1,3,38,38,3420,38.0,58,1.53,160,102,63.8,8,13,17,6,15.8,,,,,
31,Genoa,it Serie A,2,38,38,3420,38.0,48,1.26,170,122,71.8,13,7,18,12,31.6,,,,,
32,Getafe,es La Liga,1,38,38,3420,38.0,67,1.76,179,122,67.0,9,9,20,8,21.1,11.0,8.0,2.0,1.0,20.0
33,Gladbach,de Bundesliga,2,34,34,3060,34.0,50,1.47,152,102,67.1,17,4,13,7,20.6,,,,,
34,Granada,es La Liga,2,38,38,3419,38.0,69,1.82,172,107,62.2,10,9,19,4,10.5,5.0,4.0,0.0,1.0,0.0
35,Guingamp,fr Ligue 1,2,38,38,3420,38.0,56,1.47,165,109,66.1,11,11,16,13,34.2,,,,,
36,Hamburger SV,de Bundesliga,4,34,34,3059,34.0,46,1.35,169,123,72.8,11,8,15,9,26.5,,,,,
37,Hannover 96,de Bundesliga,1,34,34,3060,34.0,62,1.82,205,143,69.8,7,4,23,5,14.7,,,,,
38,Hellas Verona,it Serie A,3,38,38,3420,38.0,63,1.66,161,98,60.9,5,13,20,3,7.9,,,,,
