Rk,Squad,Comp,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
1,Alavés,es La Liga,25,38.0,,558,,,,,,,,,,,565,,,
2,Angers,fr Ligue 1,29,38.0,,496,,,,,,,,,,,570,,,
3,Arsenal,eng Premier League,29,38.0,,492,,,,,,,,,,,558,,,
4,Atalanta,it Serie A,32,38.0,,491,,,,,,,,,,,698,,,
5,Athletic Club,es La Liga,25,38.0,,581,,,,,,,,,,,593,,,
6,Atlético Madrid,es La Liga,22,38.0,,600,,,,,,,,,,,645,,,
7,Augsburg,de Bundesliga,28,34.0,,512,,,,,,,,,,,794,,,
8,Barcelona,es La Liga,25,38.0,,463,,,,,,,,,,,445,,,
9,Bastia,fr Ligue 1,29,38.0,,472,,,,,,,,,,,608,,,
10,Bayern Munich,de Bundesliga,22,34.0,,421,,,,,,,,,,,686,,,
11,Betis,es La Liga,27,38.0,,560,,,,,,,,,,,593,,,
12,Bologna,it Serie A,28,38.0,,534,,,,,,,,,,,605,,,
13,Bordeaux,fr Ligue 1,27,38.0,,563,,,,,,,,,,,516,,,
14,Bournemouth,eng Premier League,27,38.0,,466,,,,,,,,,,,481,,,
15,Burnley,eng Premier League,27,38.0,,473,,,,,,,,,,,569,,,
16,Caen,fr Ligue 1,27,38.0,,556,,,,,,,,,,,693,,,
17,Cagliari,it Serie A,34,38.0,,556,,,,,,,,,,,574,,,
18,Celta Vigo,es La Liga,27,38.0,,550,,,,,,,,,,,627,,,
19,Chelsea,eng Premier League,24,38.0,,482,,,,,,,,,,,523,,,
20,Chievo,it Serie A,29,38.0,,463,,,,,,,,,,,536,,,
21,Crotone,it Serie A,31,38.0,,533,,,,,,,,,,,620,,,
22,Crystal Palace,eng Premier League,31,38.0,,521,,,,,,,,,,,575,,,
23,Darmstadt 98,de Bundesliga,31,34.0,,484,,,,,,,,,,,688,,,
24,Dijon,fr Ligue 1,27,38.0,,600,,,,,,,,,,,628,,,
25,Dortmund,de Bundesliga,27,34.0,,432,,,,,,,,,,,566,,,
26,Eibar,es La Liga,24,38.0,,526,,,,,,,,,,,676,,,
27,Eint Frankfurt,de Bundesliga,26,34.0,,436,,,,,,,,,,,849,,,
28,Empoli,it Serie A,29,38.0,,471,,,,,,,,,,,529,,,
29,Espanyol,es La Liga,27,38.0,,583,,,,,,,,,,,607,,,
30,Everton,eng Premier League,27,38.0,,557,,,,,,,,,,,472,,,
31,Fiorentina,it Serie A,30,38.0,,434,,,,,,,,,,,504,,,
32,Freiburg,de Bundesliga,25,34.0,,471,,,,,,,,,,,566,,,
33,Genoa,it Serie A,33,38.0,,510,,,,,,,,,,,526,,,
34,Gladbach,de Bundesliga,24,34.0,,518,,,,,,,,,,,655,,,
35,Granada,es La Liga,35,38.0,,477,,,,,,,,,,,620,,,
36,Guingamp,fr Ligue 1,25,38.0,,480,,,,,,,,,,,576,,,
37,Hamburger SV,de Bundesliga,29,34.0,,553,,,,,,,,,,,737,,,
38,Hertha BSC,de Bundesliga,26,34.0,,457,,,,,,,,,,,676,,,
39,Hoffenheim,de Bundesliga,23,34.0,,424,,,,,,,,,,,676,,,
40,Hull City,eng Premier League,28,38.0,,474,,,,,,,,,,,587,,,
41,Ingolstadt 04,de Bundesliga,22,34.0,,500,,,,,,,,,,,733,,,
42,Inter,it Serie A,29,38.0,,571,,,,,,,,,,,570,,,
43,Juventus,it Serie A,27,38.0,,457,,,,,,,,,,,557,,,
44,Köln,de Bundesliga,26,34.0,,484,,,,,,,,,,,729,,,
45,La Coruña,es La Liga,28,38.0,,531,,,,,,,,,,,563,,,
46,Las Palmas,es La Liga,29,38.0,,440,,,,,,,,,,,523,,,
47,Lazio,it Serie A,30,38.0,,591,,,,,,,,,,,538,,,
48,Leganés,es La Liga,31,38.0,,546,,,,,,,,,,,671,,,
49,Leicester City,eng Premier League,25,38.0,,508,,,,,,,,,,,559,,,
50,Leverkusen,de Bundesliga,24,34.0,,516,,,,,,,,,,,708,,,
51,Lille,fr Ligue 1,31,38.0,,465,,,,,,,,,,,583,,,
52,Liverpool,eng Premier League,23,38.0,,540,,,,,,,,,,,425,,,
53,Lorient,fr Ligue 1,30,38.0,,431,,,,,,,,,,,595,,,
54,Lyon,fr Ligue 1,27,38.0,,531,,,,,,,,,,,498,,,
55,Mainz 05,de Bundesliga,28,34.0,,472,,,,,,,,,,,787,,,
56,Málaga,es La Liga,29,38.0,,562,,,,,,,,,,,663,,,
57,Manchester City,eng Premier League,25,38.0,,476,,,,,,,,,,,527,,,
58,Manchester Utd,eng Premier League,31,38.0,,507,,,,,,,,,,,610,,,
59,Marseille,fr Ligue 1,27,38.0,,538,,,,,,,,,,,596,,,
60,Metz,fr Ligue 1,31,38.0,,502,,,,,,,,,,,697,,,
61,Middlesbrough,eng Premier League,27,38.0,,558,,,,,,,,,,,570,,,
62,Milan,it Serie A,28,38.0,,487,,,,,,,,,,,411,,,
63,Monaco,fr Ligue 1,29,38.0,,525,,,,,,,,,,,534,,,
64,Montpellier,fr Ligue 1,32,38.0,,467,,,,,,,,,,,595,,,
65,Nancy,fr Ligue 1,27,38.0,,525,,,,,,,,,,,659,,,
66,Nantes,fr Ligue 1,27,38.0,,642,,,,,,,,,,,524,,,
67,Napoli,it Serie A,26,38.0,,487,,,,,,,,,,,442,,,
68,Nice,fr Ligue 1,27,38.0,,472,,,,,,,,,,,434,,,
69,Osasuna,es La Liga,35,38.0,,545,,,,,,,,,,,677,,,
70,Palermo,it Serie A,30,38.0,,494,,,,,,,,,,,657,,,
71,Paris S-G,fr Ligue 1,28,38.0,,478,,,,,,,,,,,521,,,
72,Pescara,it Serie A,34,38.0,,512,,,,,,,,,,,549,,,
73,RB Leipzig,de Bundesliga,23,34.0,,582,,,,,,,,,,,770,,,
74,Real Madrid,es La Liga,24,38.0,,572,,,,,,,,,,,517,,,
75,Real Sociedad,es La Liga,27,38.0,,456,,,,,,,,,,,603,,,
76,Rennes,fr Ligue 1,31,38.0,,523,,,,,,,,,,,499,,,
77,Roma,it Serie A,22,38.0,,526,,,,,,,,,,,622,,,
78,Saint-Étienne,fr Ligue 1,34,38.0,,502,,,,,,,,,,,641,,,
79,Sampdoria,it Serie A,24,38.0,,511,,,,,,,,,,,468,,,
80,Sassuolo,it Serie A,28,38.0,,534,,,,,,,,,,,590,,,
81,Schalke 04,de Bundesliga,29,34.0,,450,,,,,,,,,,,805,,,
82,Sevilla,es La Liga,28,38.0,,521,,,,,,,,,,,522,,,
83,Southampton,eng Premier League,26,38.0,,507,,,,,,,,,,,539,,,
84,Sporting Gijón,es La Liga,29,38.0,,517,,,,,,,,,,,552,,,
85,Stoke City,eng Premier League,26,38.0,,489,,,,,,,,,,,528,,,
86,Sunderland,eng Premier League,31,38.0,,495,,,,,,,,,,,574,,,
87,Swansea City,eng Premier League,27,38.0,,481,,,,,,,,,,,471,,,
88,Torino,it Serie A,29,38.0,,508,,,,,,,,,,,594,,,
89,Tottenham,eng Premier League,24,38.0,,512,,,,,,,,,,,331,,,
90,Toulouse,fr Ligue 1,30,38.0,,536,,,,,,,,,,,554,,,
91,Udinese,it Serie A,29,38.0,,507,,,,,,,,,,,526,,,
92,Valencia,es La Liga,31,38.0,,621,,,,,,,,,,,628,,,
93,Villarreal,es La Liga,27,38.0,,505,,,,,,,,,,,567,,,
94,Watford,eng Premier League,33,38.0,,468,,,,,,,,,,,532,,,
95,Werder Bremen,de Bundesliga,31,34.0,,438,,,,,,,,,,,718,,,
96,West Brom,eng Premier League,23,38.0,,441,,,,,,,,,,,564,,,
97,West Ham,eng Premier League,29,38.0,,452,,,,,,,,,,,634,,,
98,Wolfsburg,de Bundesliga,31,34.0,,438,,,,,,,,,,,701,,,
