Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
1,Alavés,es La Liga,25,38.0,120,5.0,3,548,485,92,643,565,558,4,6,2
2,Angers,fr Ligue 1,29,38.0,60,1.0,1,435,386,55,732,570,496,4,2,4
3,Arsenal,eng Premier League,29,38.0,69,0.0,0,394,390,99,701,558,492,4,10,1
4,Atalanta,it Serie A,32,38.0,90,2.0,2,600,555,80,863,698,491,6,4,1
5,Athletic Club,es La Liga,25,38.0,89,2.0,1,528,529,76,912,593,581,6,3,0
6,Atlético Madrid,es La Liga,22,38.0,85,3.0,3,510,474,117,660,645,600,7,4,0
7,Augsburg,de Bundesliga,28,34.0,71,2.0,2,481,441,68,426,794,512,4,4,1
8,Barcelona,es La Liga,25,38.0,75,1.0,1,427,577,118,551,445,463,8,0,2
9,Bastia,fr Ligue 1,29,38.0,85,7.0,7,445,501,50,580,608,472,1,8,2
10,Bayern Munich,de Bundesliga,22,34.0,47,0.0,0,351,411,92,661,686,421,4,3,0
11,Betis,es La Liga,27,38.0,106,5.0,3,583,576,87,645,593,560,2,5,0
12,Bologna,it Serie A,28,38.0,87,2.0,2,485,519,96,627,605,534,1,5,2
13,Bordeaux,fr Ligue 1,27,38.0,67,1.0,1,441,501,103,690,516,563,6,4,2
14,Bournemouth,eng Premier League,27,38.0,56,2.0,2,372,492,54,642,481,466,11,4,4
15,Burnley,eng Premier League,27,38.0,67,1.0,1,428,415,103,676,569,473,4,5,2
16,Caen,fr Ligue 1,27,38.0,61,1.0,1,439,457,57,963,693,556,6,8,2
17,Cagliari,it Serie A,34,38.0,104,3.0,3,543,505,99,553,574,556,7,12,2
18,Celta Vigo,es La Liga,27,38.0,111,8.0,6,516,516,101,481,627,550,6,10,2
19,Chelsea,eng Premier League,24,38.0,72,0.0,0,394,474,65,697,523,482,4,2,1
