Rk,Squad,Comp,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
1,Alavés,es La Liga,25,38.0,,,,,,,,,,,,,,,27,,,,,
2,Angers,fr Ligue 1,29,38.0,,,,,,,,,,,,,,,25,,,,,
3,Arsenal,eng Premier League,29,38.0,,,,,,,,,,,,,,,55,,,,,
4,Atalanta,it Serie A,32,38.0,,,,,,,,,,,,,,,43,,,,,
5,Athletic Club,es La Liga,25,38.0,,,,,,,,,,,,,,,31,,,,,
6,Atlético Madrid,es La Liga,22,38.0,,,,,,,,,,,,,,,54,,,,,
7,Augsburg,de Bundesliga,28,34.0,,,,,,,,,,,,,,,22,,,,,
8,Barcelona,es La Liga,25,38.0,,,,,,,,,,,,,,,71,,,,,
9,Bastia,fr Ligue 1,29,38.0,,,,,,,,,,,,,,,18,,,,,
10,Bayern Munich,de Bundesliga,22,34.0,,,,,,,,,,,,,,,64,,,,,
11,Betis,es La Liga,27,38.0,,,,,,,,,,,,,,,27,,,,,
12,Bologna,it Serie A,28,38.0,,,,,,,,,,,,,,,29,,,,,
13,Bordeaux,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,35,,,,,
14,Bournemouth,eng Premier League,27,38.0,,,,,,,,,,,,,,,33,,,,,
15,Burnley,eng Premier League,27,38.0,,,,,,,,,,,,,,,24,,,,,
16,Caen,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,28,,,,,
17,Cagliari,it Serie A,34,38.0,,,,,,,,,,,,,,,30,,,,,
18,Celta Vigo,es La Liga,27,38.0,,,,,,,,,,,,,,,33,,,,,
19,Chelsea,eng Premier League,24,38.0,,,,,,,,,,,,,,,53,,,,,
20,Chievo,it Serie A,29,38.0,,,,,,,,,,,,,,,29,,,,,
21,Crotone,it Serie A,31,38.0,,,,,,,,,,,,,,,22,,,,,
22,Crystal Palace,eng Premier League,31,38.0,,,,,,,,,,,,,,,32,,,,,
23,Darmstadt 98,de Bundesliga,31,34.0,,,,,,,,,,,,,,,16,,,,,
24,Dijon,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,29,,,,,
25,Dortmund,de Bundesliga,27,34.0,,,,,,,,,,,,,,,49,,,,,
26,Eibar,es La Liga,24,38.0,,,,,,,,,,,,,,,34,,,,,
27,Eint Frankfurt,de Bundesliga,26,34.0,,,,,,,,,,,,,,,24,,,,,
28,Empoli,it Serie A,29,38.0,,,,,,,,,,,,,,,19,,,,,
29,Espanyol,es La Liga,27,38.0,,,,,,,,,,,,,,,36,,,,,
30,Everton,eng Premier League,27,38.0,,,,,,,,,,,,,,,45,,,,,
31,Fiorentina,it Serie A,30,38.0,,,,,,,,,,,,,,,46,,,,,
32,Freiburg,de Bundesliga,25,34.0,,,,,,,,,,,,,,,28,,,,,
33,Genoa,it Serie A,33,38.0,,,,,,,,,,,,,,,30,,,,,
34,Gladbach,de Bundesliga,24,34.0,,,,,,,,,,,,,,,27,,,,,
35,Granada,es La Liga,35,38.0,,,,,,,,,,,,,,,19,,,,,
36,Guingamp,fr Ligue 1,25,38.0,,,,,,,,,,,,,,,33,,,,,
