Rk,Squad,Comp,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec
1,Alavés,es La Liga,25,44.4,38.0,,,,,,,,,,,,,,,,,,,,
2,Angers,fr Ligue 1,29,46.1,38.0,,,,,,,,,,,,,,,,,,,,
3,Arsenal,eng Premier League,29,58.9,38.0,,,,,,,,,,,,,,,,,,,,
4,Atalanta,it Serie A,32,50.2,38.0,,,,,,,,,,,,,,,,,,,,
5,Athletic Club,es La Liga,25,51.1,38.0,,,,,,,,,,,,,,,,,,,,
6,Atlético Madrid,es La Liga,22,48.4,38.0,,,,,,,,,,,,,,,,,,,,
7,Augsburg,de Bundesliga,28,41.9,34.0,,,,,,,,,,,,,,,,,,,,
8,Barcelona,es La Liga,25,66.1,38.0,,,,,,,,,,,,,,,,,,,,
9,Bastia,fr Ligue 1,29,43.4,38.0,,,,,,,,,,,,,,,,,,,,
10,Bayern Munich,de Bundesliga,22,69.0,34.0,,,,,,,,,,,,,,,,,,,,
11,Betis,es La Liga,27,47.9,38.0,,,,,,,,,,,,,,,,,,,,
12,Bologna,it Serie A,28,46.3,38.0,,,,,,,,,,,,,,,,,,,,
13,Bordeaux,fr Ligue 1,27,48.3,38.0,,,,,,,,,,,,,,,,,,,,
14,Bournemouth,eng Premier League,27,51.5,38.0,,,,,,,,,,,,,,,,,,,,
15,Burnley,eng Premier League,27,40.3,38.0,,,,,,,,,,,,,,,,,,,,
16,Caen,fr Ligue 1,27,45.8,38.0,,,,,,,,,,,,,,,,,,,,
17,Cagliari,it Serie A,34,43.2,38.0,,,,,,,,,,,,,,,,,,,,
18,Celta Vigo,es La Liga,27,53.2,38.0,,,,,,,,,,,,,,,,,,,,
19,Chelsea,eng Premier League,24,55.1,38.0,,,,,,,,,,,,,,,,,,,,
20,Chievo,it Serie A,29,46.7,38.0,,,,,,,,,,,,,,,,,,,,
21,Crotone,it Serie A,31,37.1,38.0,,,,,,,,,,,,,,,,,,,,
22,Crystal Palace,eng Premier League,31,45.4,38.0,,,,,,,,,,,,,,,,,,,,
23,Darmstadt 98,de Bundesliga,31,38.3,34.0,,,,,,,,,,,,,,,,,,,,
24,Dijon,fr Ligue 1,27,46.4,38.0,,,,,,,,,,,,,,,,,,,,
25,Dortmund,de Bundesliga,27,62.0,34.0,,,,,,,,,,,,,,,,,,,,
26,Eibar,es La Liga,24,47.8,38.0,,,,,,,,,,,,,,,,,,,,
27,Eint Frankfurt,de Bundesliga,26,49.9,34.0,,,,,,,,,,,,,,,,,,,,
28,Empoli,it Serie A,29,49.0,38.0,,,,,,,,,,,,,,,,,,,,
29,Espanyol,es La Liga,27,44.0,38.0,,,,,,,,,,,,,,,,,,,,
30,Everton,eng Premier League,27,52.1,38.0,,,,,,,,,,,,,,,,,,,,
31,Fiorentina,it Serie A,30,58.3,38.0,,,,,,,,,,,,,,,,,,,,
32,Freiburg,de Bundesliga,25,46.7,34.0,,,,,,,,,,,,,,,,,,,,
33,Genoa,it Serie A,33,48.8,38.0,,,,,,,,,,,,,,,,,,,,
34,Gladbach,de Bundesliga,24,53.9,34.0,,,,,,,,,,,,,,,,,,,,
35,Granada,es La Liga,35,45.1,38.0,,,,,,,,,,,,,,,,,,,,
36,Guingamp,fr Ligue 1,25,47.5,38.0,,,,,,,,,,,,,,,,,,,,
37,Hamburger SV,de Bundesliga,29,43.8,34.0,,,,,,,,,,,,,,,,,,,,
38,Hertha BSC,de Bundesliga,26,48.5,34.0,,,,,,,,,,,,,,,,,,,,
39,Hoffenheim,de Bundesliga,23,56.2,34.0,,,,,,,,,,,,,,,,,,,,
40,Hull City,eng Premier League,28,45.9,38.0,,,,,,,,,,,,,,,,,,,,
41,Ingolstadt 04,de Bundesliga,22,45.9,34.0,,,,,,,,,,,,,,,,,,,,
42,Inter,it Serie A,29,56.4,38.0,,,,,,,,,,,,,,,,,,,,
43,Juventus,it Serie A,27,57.0,38.0,,,,,,,,,,,,,,,,,,,,
44,Köln,de Bundesliga,26,43.4,34.0,,,,,,,,,,,,,,,,,,,,
45,La Coruña,es La Liga,28,47.0,38.0,,,,,,,,,,,,,,,,,,,,
46,Las Palmas,es La Liga,29,59.0,38.0,,,,,,,,,,,,,,,,,,,,
47,Lazio,it Serie A,30,51.0,38.0,,,,,,,,,,,,,,,,,,,,
48,Leganés,es La Liga,31,44.7,38.0,,,,,,,,,,,,,,,,,,,,
49,Leicester City,eng Premier League,25,41.9,38.0,,,,,,,,,,,,,,,,,,,,
50,Leverkusen,de Bundesliga,24,54.3,34.0,,,,,,,,,,,,,,,,,,,,
51,Lille,fr Ligue 1,31,51.1,38.0,,,,,,,,,,,,,,,,,,,,
52,Liverpool,eng Premier League,23,62.0,38.0,,,,,,,,,,,,,,,,,,,,
53,Lorient,fr Ligue 1,30,50.5,38.0,,,,,,,,,,,,,,,,,,,,
54,Lyon,fr Ligue 1,27,59.1,38.0,,,,,,,,,,,,,,,,,,,,
55,Mainz 05,de Bundesliga,28,46.0,34.0,,,,,,,,,,,,,,,,,,,,
56,Málaga,es La Liga,29,48.4,38.0,,,,,,,,,,,,,,,,,,,,
57,Manchester City,eng Premier League,25,65.0,38.0,,,,,,,,,,,,,,,,,,,,
58,Manchester Utd,eng Premier League,31,56.5,38.0,,,,,,,,,,,,,,,,,,,,
59,Marseille,fr Ligue 1,27,55.9,38.0,,,,,,,,,,,,,,,,,,,,
60,Metz,fr Ligue 1,31,42.4,38.0,,,,,,,,,,,,,,,,,,,,
61,Middlesbrough,eng Premier League,27,47.3,38.0,,,,,,,,,,,,,,,,,,,,
62,Milan,it Serie A,28,54.1,38.0,,,,,,,,,,,,,,,,,,,,
63,Monaco,fr Ligue 1,29,51.9,38.0,,,,,,,,,,,,,,,,,,,,
64,Montpellier,fr Ligue 1,32,49.4,38.0,,,,,,,,,,,,,,,,,,,,
65,Nancy,fr Ligue 1,27,43.1,38.0,,,,,,,,,,,,,,,,,,,,
66,Nantes,fr Ligue 1,27,48.4,38.0,,,,,,,,,,,,,,,,,,,,
67,Napoli,it Serie A,26,62.1,38.0,,,,,,,,,,,,,,,,,,,,
68,Nice,fr Ligue 1,27,58.9,38.0,,,,,,,,,,,,,,,,,,,,
69,Osasuna,es La Liga,35,39.0,38.0,,,,,,,,,,,,,,,,,,,,
70,Palermo,it Serie A,30,45.6,38.0,,,,,,,,,,,,,,,,,,,,
71,Paris S-G,fr Ligue 1,28,65.3,38.0,,,,,,,,,,,,,,,,,,,,
72,Pescara,it Serie A,34,46.4,38.0,,,,,,,,,,,,,,,,,,,,
73,RB Leipzig,de Bundesliga,23,53.0,34.0,,,,,,,,,,,,,,,,,,,,
74,Real Madrid,es La Liga,24,56.2,38.0,,,,,,,,,,,,,,,,,,,,
75,Real Sociedad,es La Liga,27,56.7,38.0,,,,,,,,,,,,,,,,,,,,
76,Rennes,fr Ligue 1,31,52.0,38.0,,,,,,,,,,,,,,,,,,,,
77,Roma,it Serie A,22,57.1,38.0,,,,,,,,,,,,,,,,,,,,
78,Saint-Étienne,fr Ligue 1,34,49.8,38.0,,,,,,,,,,,,,,,,,,,,
79,Sampdoria,it Serie A,24,52.3,38.0,,,,,,,,,,,,,,,,,,,,
80,Sassuolo,it Serie A,28,46.8,38.0,,,,,,,,,,,,,,,,,,,,
81,Schalke 04,de Bundesliga,29,51.8,34.0,,,,,,,,,,,,,,,,,,,,
82,Sevilla,es La Liga,28,59.2,38.0,,,,,,,,,,,,,,,,,,,,
83,Southampton,eng Premier League,26,54.4,38.0,,,,,,,,,,,,,,,,,,,,
84,Sporting Gijón,es La Liga,29,44.4,38.0,,,,,,,,,,,,,,,,,,,,
85,Stoke City,eng Premier League,26,46.3,38.0,,,,,,,,,,,,,,,,,,,,
86,Sunderland,eng Premier League,31,39.7,38.0,,,,,,,,,,,,,,,,,,,,
87,Swansea City,eng Premier League,27,47.9,38.0,,,,,,,,,,,,,,,,,,,,
88,Torino,it Serie A,29,50.7,38.0,,,,,,,,,,,,,,,,,,,,
89,Tottenham,eng Premier League,24,60.5,38.0,,,,,,,,,,,,,,,,,,,,
90,Toulouse,fr Ligue 1,30,45.4,38.0,,,,,,,,,,,,,,,,,,,,
91,Udinese,it Serie A,29,41.8,38.0,,,,,,,,,,,,,,,,,,,,
92,Valencia,es La Liga,31,48.8,38.0,,,,,,,,,,,,,,,,,,,,
93,Villarreal,es La Liga,27,49.3,38.0,,,,,,,,,,,,,,,,,,,,
94,Watford,eng Premier League,33,46.1,38.0,,,,,,,,,,,,,,,,,,,,
95,Werder Bremen,de Bundesliga,31,44.6,34.0,,,,,,,,,,,,,,,,,,,,
96,West Brom,eng Premier League,23,37.3,38.0,,,,,,,,,,,,,,,,,,,,
97,West Ham,eng Premier League,29,47.1,38.0,,,,,,,,,,,,,,,,,,,,
98,Wolfsburg,de Bundesliga,31,51.7,34.0,,,,,,,,,,,,,,,,,,,,
