Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,2184,78,63.9,24.3,25,,21,3,,8,1.21,31,38,-7,-0.29,-0.07,32.2,34.7,-2.5,-0.10,-0.66,Matches
3,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,eng Premier League,21,1995,4,139,35,4.1,1.5,1,,0,3,,7,0.25,1,2,-1,-0.65,-0.46,0.4,2.9,-2.6,-1.66,-1.43,Matches
4,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,it Serie A,21,1995,11,517,47,15.1,5.7,6,,1,5,,4,0.55,2,12,-10,-1.74,-0.56,2.7,10.0,-7.3,-1.26,-0.34,Matches
5,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,17,1057,62,30.9,11.7,11,,7,6,,15,1.71,17,10,+7,+0.60,+0.33,13.8,11.4,+2.5,+0.21,-0.24,Matches
6,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,499,62,14.6,5.5,6,82,4,2,3,18,2.38,10,4,+6,+1.08,+0.25,12.0,4.2,+7.8,+1.41,+0.53,Matches
7,Nura Abdullahi,ng NGA,DF,Roma,it Serie A,19,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
8,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,77,77,2.3,0.9,1,77,0,0,,1,0.00,0,3,-3,-3.51,-3.21,0.5,0.9,-0.4,-0.45,+0.04,Matches
9,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,1176,62,34.4,13.1,14,77,9,5,20,1,1.58,17,25,-8,-0.61,-0.21,13.3,20.4,-7.1,-0.54,+0.06,Matches
10,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,2302,85,75.2,25.6,27,,25,0,,1,1.41,30,31,-1,-0.04,-0.16,30.2,29.3,+1.0,+0.04,+0.09,Matches
11,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,31,1726,56,50.5,19.2,15,,9,16,,2,0.81,15,31,-16,-0.83,-0.20,16.9,31.8,-14.8,-0.77,-0.13,Matches
12,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,850,71,27.8,9.4,11,,8,1,,3,1.00,8,11,-3,-0.32,+0.54,7.5,10.0,-2.5,-0.26,-0.09,Matches
13,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,3420,90,100.0,38.0,38,,38,0,,0,1.13,29,59,-30,-0.79,,46.3,48.9,-2.6,-0.07,,Matches
14,Karim Achahbar,ma MAR,FW,Guingamp,fr Ligue 1,21,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
15,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,951,43,27.8,10.6,9,,3,13,,11,1.64,13,17,-4,-0.38,-0.82,9.8,15.4,-5.6,-0.53,-0.70,Matches
16,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,11,411,37,12.0,4.6,5,,1,6,,21,0.91,2,7,-5,-1.09,-0.26,5.4,8.0,-2.5,-0.56,+0.15,Matches
17,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30,2700,90,78.9,30.0,30,90,30,0,,0,1.53,50,53,-3,-0.10,-0.35,35.2,41.5,-6.3,-0.21,-0.61,Matches
18,Tosin Adarabioyo,eng ENG,DF,Manchester City,eng Premier League,19,1997,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
19,Aday,es ESP,DF,Girona,es La Liga,29,1987,31,1835,59,53.7,20.4,20,82,13,11,18,4,1.16,29,31,-2,-0.10,+0.30,29.4,27.6,+1.8,+0.09,+0.18,Matches
20,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,2921,86,85.4,32.5,32,90,32,2,21,2,1.26,32,37,-5,-0.15,-0.15,26.4,49.2,-22.8,-0.70,-0.83,Matches
21,Raphaël Adiceam,fr FRA,GK,Amiens,fr Ligue 1,27,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
22,Claud Adjapong,it ITA,"DF,FW",Sassuolo,it Serie A,19,1998,16,1220,76,35.7,13.6,14,,12,2,,8,1.31,13,22,-9,-0.66,+0.20,15.9,16.7,-0.8,-0.06,+0.02,Matches
23,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,1260,90,41.2,14.0,14,,14,0,,2,1.29,16,18,-2,-0.14,+0.46,16.1,20.0,-3.9,-0.28,+0.15,Matches
24,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,1,8,8,0.2,0.1,0,,0,1,8,0,1.00,0,0,0,0.00,-2.08,0.0,0.0,0.0,-0.40,-1.76,Matches
25,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,it Serie A,23,1993,23,1674,73,48.9,18.6,18,,14,5,,7,1.17,28,29,-1,-0.05,+0.67,21.3,24.0,-2.6,-0.14,+0.04,Matches
