Rk,Squad,Comp,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
1,Alavés,es La Liga,32,38.0,537,14.13,333,88,28,36,46,6,58,1.53,31,8,4,6,8,1
2,Amiens,fr Ligue 1,27,28.0,405,14.46,283,33,35,12,31,11,50,1.79,36,0,4,4,5,1
3,Angers,fr Ligue 1,26,28.0,629,22.46,452,65,35,33,35,9,48,1.71,36,2,3,4,3,0
4,Arsenal,eng Premier League,29,38.0,709,18.66,501,59,52,48,33,16,85,2.24,57,5,4,9,4,6
5,Aston Villa,eng Premier League,28,38.0,828,21.79,599,88,42,36,56,7,72,1.89,48,8,5,4,7,0
6,Atalanta,it Serie A,30,38.0,1242,32.68,938,91,67,75,51,20,170,4.47,120,8,10,16,12,4
7,Athletic Club,es La Liga,26,38.0,690,18.16,469,84,37,36,54,10,65,1.71,43,4,3,6,8,1
8,Atlético Madrid,es La Liga,30,38.0,790,20.79,546,88,43,51,48,14,86,2.26,56,5,11,5,8,1
9,Augsburg,de Bundesliga,28,34.0,599,17.62,391,71,42,34,49,12,68,2.0,43,4,7,4,8,2
10,Barcelona,es La Liga,28,38.0,903,23.76,678,38,82,33,60,12,150,3.95,114,6,10,5,12,3
11,Bayern Munich,de Bundesliga,29,34.0,1108,32.59,862,72,70,56,34,14,176,5.18,140,7,11,7,9,2
12,Betis,es La Liga,27,38.0,837,22.03,611,62,77,37,39,11,75,1.97,52,4,6,7,6,0
13,Bologna,it Serie A,31,38.0,967,25.45,726,68,62,47,50,14,85,2.24,54,4,10,10,7,0
14,Bordeaux,fr Ligue 1,26,28.0,530,18.93,357,53,32,28,43,17,65,2.32,35,9,7,7,6,1
