Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
1,Alavés,es La Liga,32,38.0,111,7,3,621,432,61,562,392,346,5,15,0,1766,905,712,56.0
2,Amiens,fr Ligue 1,27,28.0,59,4,2,403,320,37,463,300,238,5,1,1,1543,470,551,46.0
3,Angers,fr Ligue 1,26,28.0,43,2,1,336,315,28,550,267,279,1,3,0,1511,449,455,49.7
4,Arsenal,eng Premier League,29,38.0,88,5,1,421,437,73,699,351,336,2,8,0,1861,501,589,46.0
5,Aston Villa,eng Premier League,28,38.0,70,1,1,451,525,62,798,423,291,2,6,1,1900,705,742,48.7
6,Atalanta,it Serie A,30,38.0,80,2,1,534,518,50,767,418,351,9,6,3,2145,624,500,55.5
7,Athletic Club,es La Liga,26,38.0,90,2,0,522,436,84,754,373,324,4,7,2,1911,912,683,57.2
8,Atlético Madrid,es La Liga,30,38.0,93,3,2,513,479,116,574,412,406,6,4,3,1950,827,723,53.4
9,Augsburg,de Bundesliga,28,34.0,68,2,2,378,384,81,479,434,314,4,1,3,1765,545,612,47.1
10,Barcelona,es La Liga,28,38.0,92,6,3,416,529,83,417,342,323,3,7,0,1874,455,364,55.6
11,Bayern Munich,de Bundesliga,29,34.0,54,3,2,322,355,78,850,342,293,6,4,1,2048,478,403,54.3
12,Betis,es La Liga,27,38.0,108,9,3,473,577,84,624,302,299,6,11,1,1709,579,558,50.9
13,Bologna,it Serie A,31,38.0,109,7,3,595,567,85,733,412,338,6,8,1,1903,644,666,49.2
14,Bordeaux,fr Ligue 1,26,28.0,55,0,0,379,361,40,425,302,284,1,3,1,1562,487,445,52.3
15,Bournemouth,eng Premier League,27,38.0,78,3,2,369,388,67,646,475,299,2,6,0,1979,792,835,48.7
16,Brescia,it Serie A,32,38.0,95,6,3,504,583,68,641,361,273,3,11,3,1768,498,602,45.3
17,Brest,fr Ligue 1,24,28.0,45,2,0,329,286,35,520,352,282,4,6,0,1464,405,477,45.9
18,Brighton,eng Premier League,25,38.0,59,2,1,386,325,71,689,419,379,2,2,2,2065,690,577,54.5
19,Burnley,eng Premier League,22,38.0,67,0,0,412,369,89,743,387,344,1,5,1,1860,937,917,50.5
20,Cagliari,it Serie A,33,38.0,108,6,3,534,449,56,762,337,338,3,9,3,1836,516,691,42.8
21,Celta Vigo,es La Liga,30,38.0,104,6,3,473,527,70,636,396,357,6,5,0,1905,650,659,49.7
22,Chelsea,eng Premier League,27,38.0,60,0,0,386,384,63,862,459,362,6,2,3,2210,703,701,50.1
23,Crystal Palace,eng Premier League,25,38.0,62,2,0,424,479,53,588,444,390,2,1,2,1915,771,776,49.8
24,Dijon,fr Ligue 1,28,28.0,43,2,0,351,334,32,451,332,304,0,1,2,1497,542,499,52.1
25,Dortmund,de Bundesliga,27,34.0,49,1,1,305,327,56,510,375,329,1,3,3,1914,361,358,50.2
26,Düsseldorf,de Bundesliga,28,34.0,78,0,0,407,430,56,705,376,307,3,5,4,1737,583,649,47.3
27,Eibar,es La Liga,26,38.0,92,3,2,538,411,73,870,430,338,5,6,1,2039,974,1091,47.2
28,Eint Frankfurt,de Bundesliga,27,34.0,71,4,2,425,368,57,892,376,377,1,3,2,2047,699,665,51.2
29,Espanyol,es La Liga,31,38.0,107,9,6,581,469,65,710,360,364,1,7,2,1927,755,814,48.1
30,Everton,eng Premier League,24,38.0,76,3,3,472,394,58,804,408,408,0,4,3,1966,860,835,50.7
31,Fiorentina,it Serie A,33,38.0,105,5,3,546,500,50,726,347,333,8,11,0,1926,458,491,48.3
32,Freiburg,de Bundesliga,26,34.0,43,2,1,329,437,56,649,354,252,5,4,0,1629,636,673,48.6
33,Genoa,it Serie A,34,38.0,107,10,5,571,514,57,723,385,335,12,9,2,1828,600,583,50.7
34,Getafe,es La Liga,30,38.0,135,5,2,706,495,106,833,367,341,4,6,2,1947,914,1024,47.2
35,Gladbach,de Bundesliga,25,34.0,77,3,3,424,446,91,570,381,322,5,2,0,1880,546,554,49.6
36,Granada,es La Liga,27,38.0,109,1,1,590,497,70,670,383,349,3,5,0,1764,748,849,46.8
37,Hellas Verona,it Serie A,30,38.0,87,7,2,555,490,91,750,398,290,7,9,1,2146,718,783,47.8
38,Hertha BSC,de Bundesliga,32,34.0,78,4,2,465,350,57,527,409,341,3,7,2,1725,611,530,53.5
39,Hoffenheim,de Bundesliga,31,34.0,66,2,1,383,416,61,579,349,309,3,8,2,1666,564,541,51.0
