Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
1,Ajaccio,fr Ligue 1,36,29.1,38,3420,90,100,38.0,418,81,239,172,21,164,0.68,23,74,-51,-1.34,36.1,53.9,-17.8,-0.47
2,Almería,es La Liga,29,26.4,38,3420,90,100,38.0,418,81,229,187,21,254,1.08,49,65,-16,-0.42,45.5,62.5,-17.0,-0.45
3,Angers,fr Ligue 1,33,25.7,38,3420,90,100,38.0,418,81,256,157,22,184,0.47,33,81,-48,-1.26,40.9,61.7,-20.8,-0.55
4,Arsenal,eng Premier League,26,24.7,38,3420,90,100,38.0,418,85,270,150,15,192,2.21,88,43,45,1.18,71.6,42.0,29.6,0.78
5,Aston Villa,eng Premier League,26,27.0,38,3420,90,100,38.0,418,83,274,144,20,193,1.61,51,46,5,0.13,50.3,52.5,-2.2,-0.06
6,Atalanta,it Serie A,27,26.5,38,3420,90,100,38.0,418,80,244,175,23,212,1.68,66,48,18,0.47,57.7,41.4,16.3,0.43
7,Athletic Club,es La Liga,26,27.4,38,3420,90,100,38.0,418,81,234,182,19,248,1.34,47,43,4,0.11,54.2,36.9,17.3,0.46
8,Atlético Madrid,es La Liga,27,28.5,38,3420,90,100,38.0,418,81,245,168,22,201,2.03,70,33,37,0.97,61.9,41.1,20.8,0.55
9,Augsburg,de Bundesliga,34,25.9,34,3060,90,100,34.0,374,80,223,150,22,153,1.0,42,63,-21,-0.62,34.7,58.7,-23.9,-0.7
10,Auxerre,fr Ligue 1,33,27.3,38,3420,90,100,38.0,418,82,255,159,19,182,0.92,35,63,-28,-0.74,42.8,58.7,-15.9,-0.42
11,Barcelona,es La Liga,29,25.9,38,3420,90,100,38.0,418,81,246,168,23,227,2.32,70,20,50,1.32,75.5,33.2,42.3,1.11
12,Bayern Munich,de Bundesliga,28,26.6,34,3060,90,100,34.0,374,80,218,155,22,138,2.09,92,38,54,1.59,75.0,37.1,37.8,1.11
13,Betis,es La Liga,30,28.6,38,3420,90,100,38.0,418,81,242,165,21,254,1.58,46,41,5,0.13,51.3,50.0,1.3,0.03
14,Bochum,de Bundesliga,26,29.4,34,3060,90,100,34.0,374,81,216,157,21,144,1.03,40,72,-32,-0.94,40.0,65.7,-25.7,-0.76
15,Bologna,it Serie A,27,26.6,38,3420,90,100,38.0,418,81,252,164,22,261,1.42,53,49,4,0.11,43.8,48.7,-4.9,-0.13
16,Bournemouth,eng Premier League,31,26.3,38,3420,90,100,38.0,418,84,279,141,19,201,1.03,37,71,-34,-0.89,38.5,63.8,-25.3,-0.67
17,Brentford,eng Premier League,25,26.2,38,3420,90,100,38.0,418,82,247,171,19,171,1.55,58,46,12,0.32,56.3,48.8,7.5,0.2
18,Brest,fr Ligue 1,29,26.6,38,3420,90,100,38.0,418,83,258,160,19,167,1.16,44,54,-10,-0.26,43.4,56.1,-12.7,-0.33
19,Brighton,eng Premier League,29,26.3,38,3420,90,100,38.0,418,83,277,143,19,199,1.63,72,53,19,0.5,73.3,50.2,23.1,0.61
20,Cádiz,es La Liga,38,29.1,38,3420,90,100,38.0,418,79,230,183,24,244,1.11,30,53,-23,-0.61,41.5,61.6,-20.1,-0.53
21,Celta Vigo,es La Liga,26,26.7,38,3420,90,100,38.0,418,81,253,161,22,266,1.13,43,53,-10,-0.26,42.6,45.4,-2.8,-0.07
22,Chelsea,eng Premier League,32,26.3,38,3420,90,100,38.0,418,81,243,173,22,169,1.16,38,47,-9,-0.24,49.5,52.5,-3.0,-0.08
23,Clermont Foot,fr Ligue 1,28,27.2,38,3420,90,100,38.0,418,83,246,167,17,168,1.55,45,49,-4,-0.11,47.5,58.2,-10.7,-0.28
24,Cremonese,it Serie A,33,26.0,38,3420,90,100,38.0,418,79,232,185,25,302,0.71,36,69,-33,-0.87,38.7,66.1,-27.4,-0.72
25,Crystal Palace,eng Premier League,26,26.7,38,3420,90,100,38.0,418,84,277,138,17,204,1.18,40,49,-9,-0.24,39.3,48.1,-8.8,-0.23
26,Dortmund,de Bundesliga,30,25.8,34,3060,90,100,34.0,374,81,224,151,23,152,2.09,83,44,39,1.15,71.1,43.2,27.9,0.82
27,Eint Frankfurt,de Bundesliga,28,26.4,34,3060,90,100,34.0,374,82,227,148,19,158,1.47,58,52,6,0.18,52.1,43.5,8.6,0.25
28,Elche,es La Liga,32,28.3,38,3420,90,100,38.0,418,79,234,177,24,242,0.66,30,67,-37,-0.97,37.5,70.0,-32.6,-0.86
29,Empoli,it Serie A,32,25.3,38,3420,90,100,38.0,418,80,226,188,21,331,1.13,37,49,-12,-0.32,38.8,58.3,-19.5,-0.51
