Rk,Squad,Comp,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
1,Ajaccio,fr Ligue 1,36,43.2,38.0,19271,1979,6134,9380,3966,486,19262,632,285,45.1,277,43.8,12563,73530,32337,487,406,92,625,324,11114,1150
2,Almería,es La Liga,29,45.1,38.0,20070,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10792,56990,29135,569,433,131,580,281,12047,1080
3,Angers,fr Ligue 1,33,46.9,38.0,21515,2041,6588,10633,4609,567,21511,928,441,47.5,392,42.2,15521,89958,41416,632,596,149,593,349,13974,1374
4,Arsenal,eng Premier League,26,59.3,38.0,25910,1994,6632,11453,8015,1296,25906,758,358,47.2,290,38.3,15923,83916,44184,824,584,281,526,378,18101,2024
5,Aston Villa,eng Premier League,26,49.3,38.0,21500,2783,7912,9077,4705,746,21495,682,293,43.0,279,40.9,12295,65580,33150,637,434,174,565,371,13587,1227
6,Atalanta,it Serie A,27,49.9,38.0,23863,2217,7478,10221,6382,956,23855,785,340,43.3,355,45.2,13145,67168,33175,687,565,210,619,387,15359,1628
7,Athletic Club,es La Liga,26,51.6,38.0,22737,1978,6159,10166,6645,931,22730,734,347,47.3,305,41.6,12898,70963,39297,864,587,217,554,351,14284,1801
8,Atlético Madrid,es La Liga,27,50.6,38.0,24417,2414,7790,11103,5714,934,24415,656,322,49.1,262,39.9,13701,67344,35788,730,473,200,486,277,16706,1557
9,Augsburg,de Bundesliga,34,41.7,34.0,16607,2548,6859,6323,3604,574,16602,491,202,41.1,234,47.7,7744,41189,20165,331,241,70,490,266,8309,831
10,Auxerre,fr Ligue 1,33,43.3,38.0,20359,2523,7094,9231,4269,630,20350,749,337,45.0,319,42.6,13862,80840,35785,531,461,131,645,320,12268,1267
11,Barcelona,es La Liga,29,64.3,38.0,28424,2020,6759,14000,7894,1154,28422,803,396,49.3,321,40.0,18802,101072,55616,961,785,279,546,326,21144,2169
12,Bayern Munich,de Bundesliga,28,64.2,34.0,26741,2210,7657,12339,6998,1185,26736,912,466,51.1,362,39.7,17141,88991,44959,863,577,286,601,354,19261,2019
13,Betis,es La Liga,30,50.6,38.0,22482,2330,7276,10222,5226,718,22473,773,365,47.2,311,40.2,12640,63667,31076,621,492,156,564,353,14568,1259
14,Bochum,de Bundesliga,26,46.1,34.0,17478,2270,6243,7442,3956,661,17475,420,175,41.7,195,46.4,7951,40250,18371,350,274,86,500,258,9060,1007
15,Bologna,it Serie A,27,54.7,38.0,24552,2551,8483,11383,4893,592,24546,567,265,46.7,243,42.9,14223,70806,35047,564,487,113,582,305,16622,1358
16,Bournemouth,eng Premier League,31,40.4,38.0,19950,2934,8004,7933,4256,699,19950,743,329,44.3,344,46.3,10340,55360,27431,504,389,144,589,367,11617,986
17,Brentford,eng Premier League,25,43.8,38.0,19749,2632,7290,7803,4835,827,19741,600,267,44.5,248,41.3,10409,49018,23993,392,300,102,520,336,11203,1121
18,Brest,fr Ligue 1,29,44.9,38.0,20724,2299,6960,9493,4555,668,20716,655,270,41.2,301,46.0,13923,82682,37394,592,490,124,566,322,12371,1294
19,Brighton,eng Premier League,29,60.2,38.0,26728,2471,7844,12213,6873,1102,26722,726,345,47.5,279,38.4,16331,83718,43965,809,547,250,558,324,18991,1828
20,Cádiz,es La Liga,38,41.9,38.0,18156,2374,6497,7769,4091,579,18151,569,246,43.2,249,43.8,9031,48205,24623,475,350,89,567,354,9839,960
21,Celta Vigo,es La Liga,26,50.2,38.0,22608,2214,7194,10099,5553,734,22605,700,323,46.1,295,42.1,13546,71269,36623,704,558,161,566,298,14591,1393
22,Chelsea,eng Premier League,32,58.7,38.0,27166,2564,8461,12057,6850,958,27163,838,380,45.3,352,42.0,16538,83509,43596,829,622,216,568,381,19065,1729
23,Clermont Foot,fr Ligue 1,28,48.3,38.0,22057,2500,7753,10251,4323,656,22047,753,350,46.5,309,41.0,15772,89656,41497,532,508,111,566,338,14090,1294
24,Cremonese,it Serie A,33,42.1,38.0,19346,2538,7184,8051,4334,678,19339,569,237,41.7,251,44.1,9843,51780,26321,521,394,101,553,297,10770,1100
25,Crystal Palace,eng Premier League,26,46.3,38.0,21713,2580,7668,9275,4991,766,21710,784,367,46.8,314,40.1,11687,60301,30015,556,393,206,643,457,13304,1238
26,Dortmund,de Bundesliga,30,58.2,34.0,23758,2099,7166,10816,6011,944,23752,879,415,47.2,366,41.6,14458,75809,39242,783,514,205,483,356,16318,1614
27,Eint Frankfurt,de Bundesliga,28,52.9,34.0,21945,2034,6815,10478,4867,850,21939,695,292,42.0,331,47.6,12138,61277,31167,632,431,220,533,293,13832,1361
28,Elche,es La Liga,32,45.5,38.0,19948,2416,7058,8743,4363,619,19943,708,342,48.3,311,43.9,11273,60014,29395,561,408,107,577,345,11950,1185
29,Empoli,it Serie A,32,47.3,38.0,21188,2962,8175,8766,4485,674,21186,705,313,44.4,311,44.1,11736,64438,31714,608,452,135,552,372,13050,1105
30,Espanyol,es La Liga,33,43.1,38.0,18805,2216,6173,8355,4471,688,18800,575,257,44.7,260,45.2,9604,51135,25085,528,385,111,526,245,10712,1135
31,Everton,eng Premier League,28,42.8,38.0,20233,2527,7219,8418,4830,742,20229,674,310,46.0,296,43.9,10479,56737,27858,500,391,137,605,300,11708,1042
32,Fiorentina,it Serie A,30,56.1,38.0,23123,2028,6652,10361,6366,977,23117,704,323,45.9,273,38.8,13434,77635,39528,789,601,194,572,345,15234,1607
