Rk,Squad,Comp,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
1,Alavés,es La Liga,2,38.0,46,8,0,4,2,44.8,0.25,0.8,0.02,315,778,40.5,886,125,62.2,41.7,335,67.8,48.4,530,29,5.5,37,0.97,15.2
2,Almería,es La Liga,3,38.0,75,6,0,8,0,70.3,0.32,-4.7,-0.12,181,615,29.4,1115,180,39.5,24.1,330,53.0,41.7,629,29,4.6,47,1.24,22.7
3,Arsenal,eng Premier League,2,38.0,29,2,1,6,1,24.1,0.26,-3.9,-0.1,157,441,35.6,1058,189,35.1,33.3,195,35.9,31.1,375,48,12.8,59,1.55,14.6
4,Aston Villa,eng Premier League,2,38.0,61,1,1,10,4,61.7,0.35,4.7,0.12,136,380,35.8,1386,176,21.8,27.1,246,31.7,29.5,419,51,12.2,70,1.84,8.4
5,Atalanta,it Serie A,3,38.0,42,6,0,4,1,39.8,0.23,-1.2,-0.03,161,459,35.1,974,213,28.9,29.6,270,65.9,50.1,444,30,6.8,55,1.45,16.7
6,Athletic Club,es La Liga,2,38.0,37,1,0,2,4,40.4,0.28,7.4,0.2,238,728,32.7,1050,164,48.0,32.4,272,82.4,59.3,491,33,6.7,49,1.29,15.3
7,Atlético Madrid,es La Liga,1,38.0,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,725,180,27.2,31.5,298,46.6,39.0,579,36,6.2,22,0.58,11.8
8,Augsburg,de Bundesliga,2,34.0,60,7,0,12,2,56.0,0.26,-2.0,-0.06,185,490,37.8,1172,98,32.5,34.5,264,41.3,37.4,520,30,5.8,52,1.53,11.6
9,Barcelona,es La Liga,2,38.0,44,2,0,1,0,41.6,0.28,-2.4,-0.06,113,216,52.3,1076,161,14.7,26.3,255,22.7,27.9,450,15,3.3,36,0.95,15.6
10,Bayern Munich,de Bundesliga,3,34.0,45,3,2,3,0,41.0,0.3,-4.0,-0.12,99,242,40.9,1072,170,20.4,33.1,216,10.6,20.9,341,14,4.1,48,1.41,
11,Betis,es La Liga,3,38.0,45,7,3,3,3,47.5,0.26,5.5,0.15,180,510,35.3,1022,167,35.2,30.6,279,53.8,42.6,541,38,7.0,42,1.11,12.6
12,Bochum,de Bundesliga,2,34.0,74,9,0,9,4,62.3,0.28,-7.7,-0.23,450,1084,41.5,1497,91,63.5,51.3,258,51.9,41.2,523,35,6.7,104,3.06,7.7
13,Bologna,it Serie A,3,38.0,32,3,2,3,1,32.1,0.23,1.1,0.03,118,348,33.9,941,159,26.5,29.6,285,34.7,33.2,505,13,2.6,19,0.5,12.2
14,Bournemouth,eng Premier League,3,38.0,67,6,1,6,1,63.2,0.3,-2.8,-0.07,199,581,34.3,976,177,44.0,26.9,266,57.1,43.9,492,31,6.3,37,0.97,9.6
15,Brentford,eng Premier League,2,38.0,65,2,0,6,0,57.0,0.3,-8.0,-0.21,254,677,37.5,1330,136,37.1,35.8,318,57.5,44.9,605,46,7.6,38,1.0,10.0
16,Brest,fr Ligue 1,2,34.0,34,2,0,4,0,36.5,0.26,2.5,0.07,244,518,47.1,978,144,39.5,37.2,198,66.7,47.7,406,18,4.4,43,1.27,23.0
17,Brighton,eng Premier League,2,38.0,62,6,1,8,2,51.1,0.28,-8.9,-0.23,102,274,37.2,1278,186,20.3,24.4,254,5.9,12.0,405,24,5.9,72,1.89,15.8
18,Burnley,eng Premier League,2,38.0,78,6,0,11,3,75.8,0.29,0.8,0.02,215,825,26.1,1826,216,35.6,34.3,284,61.6,44.7,562,50,8.9,74,1.95,17.2
19,Cádiz,es La Liga,2,38.0,55,2,0,6,1,51.7,0.3,-2.3,-0.06,364,910,40.0,991,123,62.8,49.3,342,84.2,60.7,617,60,9.7,45,1.18,7.0
20,Cagliari,it Serie A,3,38.0,68,4,3,10,3,56.2,0.34,-8.8,-0.23,202,544,37.1,838,137,42.1,64.0,312,61.2,45.9,583,28,4.8,24,0.63,
21,Celta Vigo,es La Liga,2,38.0,57,6,0,7,3,56.0,0.31,2.0,0.05,176,494,35.6,811,182,38.3,35.5,312,58.7,45.4,556,28,5.0,36,0.95,13.3
22,Chelsea,eng Premier League,2,38.0,63,3,0,8,3,52.5,0.27,-7.5,-0.2,128,361,35.5,1129,184,22.5,28.1,282,37.9,32.6,514,39,7.6,47,1.24,15.8
23,Clermont Foot,fr Ligue 1,2,34.0,60,7,0,6,1,64.9,0.28,5.9,0.17,226,613,36.9,1138,157,43.7,30.9,275,42.2,34.5,514,46,8.9,49,1.44,10.1
24,Crystal Palace,eng Premier League,3,38.0,58,3,0,7,2,47.5,0.29,-8.5,-0.22,176,605,29.1,826,115,51.8,41.2,255,69.4,49.2,586,30,5.1,29,0.76,11.2
25,Darmstadt 98,de Bundesliga,2,34.0,86,1,2,9,2,74.3,0.34,-9.7,-0.29,278,690,40.3,1333,195,36.8,34.8,310,64.5,49.3,504,27,5.4,60,1.76,16.5
26,Dortmund,de Bundesliga,2,34.0,43,5,0,9,2,44.6,0.28,3.6,0.1,133,349,38.1,1267,135,20.8,28.3,269,31.6,30.7,466,15,3.2,24,0.71,14.5
27,Eint Frankfurt,de Bundesliga,2,34.0,50,9,0,4,0,49.7,0.27,-0.3,-0.01,106,390,27.2,976,152,30.4,34.4,277,33.6,31.4,485,20,4.1,34,1.0,15.7
28,Empoli,it Serie A,3,38.0,54,6,0,10,1,48.9,0.22,-4.1,-0.11,162,542,29.9,1031,220,39.8,26.3,309,42.7,37.7,645,42,6.5,31,0.82,21.0
29,Everton,eng Premier League,1,38.0,51,8,0,9,3,52.4,0.28,4.4,0.12,360,901,40.0,1296,141,56.7,41.6,274,60.6,48.2,570,30,5.3,54,1.42,15.9
30,Fiorentina,it Serie A,3,38.0,46,8,3,5,0,45.5,0.25,-0.5,-0.01,191,458,41.7,1257,138,29.5,31.0,209,41.6,37.0,353,8,2.3,32,0.84,19.5
31,Freiburg,de Bundesliga,1,34.0,58,3,1,5,1,50.0,0.3,-7.0,-0.21,193,568,34.0,1103,160,36.8,34.2,286,56.6,45.2,485,31,6.4,30,0.88,13.6
32,Frosinone,it Serie A,2,38.0,69,5,0,11,2,53.4,0.27,-13.6,-0.36,90,416,21.6,956,175,34.6,37.2,316,26.9,27.1,538,22,4.1,26,0.68,14.3
33,Fulham,eng Premier League,1,38.0,61,8,2,3,4,55.7,0.26,-1.3,-0.03,144,439,32.8,1272,167,25.5,28.5,301,38.2,33.0,472,19,4.0,40,1.05,14.2
34,Genoa,it Serie A,3,38.0,45,3,1,4,1,41.6,0.28,-2.4,-0.06,245,634,38.6,1174,110,43.6,35.9,325,37.5,32.2,609,48,7.9,41,1.08,12.2
35,Getafe,es La Liga,2,38.0,54,5,0,7,0,55.2,0.29,1.2,0.03,341,915,37.3,977,124,66.6,39.2,322,82.0,56.2,463,18,3.9,62,1.63,10.7
36,Girona,es La Liga,1,38.0,46,5,0,8,0,51.0,0.28,5.0,0.13,155,420,36.9,1074,178,27.1,30.0,312,41.3,37.9,534,41,7.7,33,0.87,13.2
37,Gladbach,de Bundesliga,2,34.0,67,6,0,7,0,58.4,0.26,-8.6,-0.25,144,405,35.6,1059,177,28.7,32.3,266,38.0,33.6,538,28,5.2,34,1.0,15.3
38,Granada,es La Liga,4,38.0,79,5,0,12,2,70.2,0.33,-6.8,-0.18,231,626,36.9,1096,185,40.1,35.7,293,63.8,47.9,536,33,6.2,52,1.37,17.3
39,Heidenheim,de Bundesliga,1,34.0,55,7,0,7,3,53.6,0.27,1.6,0.05,249,595,41.8,1162,167,35.3,35.9,318,58.2,46.0,495,24,4.8,17,0.5,13.2
40,Hellas Verona,it Serie A,2,38.0,51,2,0,6,1,43.5,0.26,-6.5,-0.17,331,791,41.8,983,111,55.6,49.5,319,76.5,55.3,492,22,4.5,45,1.18,18.0
41,Hoffenheim,de Bundesliga,1,34.0,66,2,3,9,1,68.6,0.31,3.6,0.11,208,529,39.3,1112,165,35.2,32.7,296,46.6,39.6,545,31,5.7,73,2.15,16.7
42,Inter,it Serie A,3,38.0,22,2,0,3,0,29.2,0.23,7.2,0.19,111,252,44.0,1196,151,16.9,25.2,249,20.1,25.8,453,24,5.3,16,0.42,
43,Juventus,it Serie A,3,38.0,31,2,0,4,2,30.1,0.24,1.1,0.03,154,360,42.8,768,144,36.6,29.4,321,24.6,28.7,601,28,4.7,23,0.61,16.7
44,Köln,de Bundesliga,1,34.0,60,3,0,10,0,62.0,0.36,2.0,0.06,135,372,36.3,1037,101,31.4,31.4,260,17.7,23.9,504,14,2.8,21,0.62,13.4
45,Las Palmas,es La Liga,2,38.0,47,5,0,5,3,51.2,0.29,7.2,0.19,146,473,30.9,1733,204,23.3,30.4,265,26.4,27.1,545,30,5.5,100,2.63,18.0
46,Lazio,it Serie A,2,38.0,39,2,0,3,0,36.9,0.23,-2.1,-0.05,139,366,38.0,985,132,29.5,37.7,301,24.9,28.1,476,21,4.4,23,0.61,13.1
