Rk,Squad,Comp,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Alavés,es La Liga,29,38.0,10534,14746,71.4,199550,84871,4546,5494,82.7,4441,5542,80.1,1312,2838,46.2,20,25.4,25.9,-5.4,284,963,229,99,1160
2,Angers,fr Ligue 1,30,34.0,11082,14057,78.8,195284,73447,4970,5624,88.4,4828,5656,85.4,1022,2043,50.0,17,23.5,22.7,-6.5,216,777,200,63,953
3,Arsenal,eng Premier League,25,38.0,17066,20241,84.3,278808,87055,8591,9363,91.8,7129,7999,89.1,1031,2022,51.0,55,45.3,45.7,9.7,428,1397,437,75,1826
4,Aston Villa,eng Premier League,28,38.0,14701,17797,82.6,252637,88182,6778,7510,90.3,6555,7386,88.7,1088,2065,52.7,45,41.7,36.9,3.3,358,1137,319,56,1344
5,Atalanta,it Serie A,32,38.0,17454,20998,83.1,304878,97688,7796,8669,89.9,7832,8892,88.1,1506,2528,59.6,54,46.9,46.4,7.1,425,1382,395,113,1824
6,Athletic Club,es La Liga,31,38.0,13665,17375,78.6,253362,90647,5552,6396,86.8,6520,7522,86.7,1395,2733,51.0,40,36.7,33.1,3.3,351,1283,274,90,1579
7,Atlético Madrid,es La Liga,24,38.0,17826,21418,83.2,295213,100382,8814,9752,90.4,6993,7984,87.6,1486,2519,59.0,51,47.9,45.3,3.1,348,1233,365,96,1559
8,Augsburg,de Bundesliga,29,34.0,11577,14936,77.5,213228,82617,4900,5714,85.8,5187,6033,86.0,1267,2377,53.3,26,25.1,33.1,0.9,296,905,248,77,1162
9,Auxerre,fr Ligue 1,29,34.0,11002,14162,77.7,201495,77527,4812,5517,87.2,4576,5349,85.5,1301,2498,52.1,35,32.0,24.3,3.0,296,804,212,68,1084
10,Barcelona,es La Liga,28,38.0,22321,25721,86.8,371914,116385,10452,11341,92.2,9674,10643,90.9,1577,2424,65.1,72,67.5,64.7,4.5,500,2020,479,77,2212
11,Bayern Munich,de Bundesliga,29,34.0,22755,25733,88.4,376161,117553,11338,12153,93.3,9489,10320,91.9,1548,2329,66.5,66,59.7,75.9,6.3,511,2131,464,67,2138
12,Betis,es La Liga,36,38.0,15770,19284,81.8,264738,91436,7583,8423,90.0,6318,7291,86.7,1341,2443,54.9,37,37.5,34.8,-0.5,417,1127,329,75,1486
13,Bochum,de Bundesliga,27,34.0,10281,14230,72.2,202499,85811,3889,4696,82.8,4761,5852,81.4,1433,2841,50.4,23,30.0,35.5,-7.0,308,865,235,76,1090
14,Bologna,it Serie A,30,38.0,15681,19336,81.1,295869,97686,6113,6881,88.8,7530,8561,88.0,1765,3072,57.5,43,35.2,30.7,7.8,384,1351,293,109,1468
15,Bournemouth,eng Premier League,29,38.0,12977,16900,76.8,233955,86767,5648,6514,86.7,5659,6670,84.8,1365,2819,48.4,41,43.8,36.5,-2.8,437,1242,339,106,1489
16,Brentford,eng Premier League,28,38.0,13358,17100,78.1,245539,93263,5849,6739,86.8,5826,6875,84.7,1449,2741,52.9,44,42.4,38.1,1.6,330,1104,325,91,1356
17,Brest,fr Ligue 1,30,34.0,12678,16021,79.1,235901,85305,5284,6055,87.3,5575,6467,86.2,1526,2732,55.9,32,29.4,30.3,2.6,302,929,189,64,1096
18,Brighton,eng Premier League,32,38.0,15820,19188,82.4,268916,90984,7629,8443,90.4,6541,7472,87.5,1313,2397,54.8,41,40.4,39.1,0.6,377,1189,339,87,1539
19,Cagliari,it Serie A,28,38.0,12092,15802,76.5,219114,88994,5258,6076,86.5,5403,6411,84.3,1218,2515,48.4,31,32.0,29.3,-1.0,301,907,234,89,1150
20,Celta Vigo,es La Liga,30,38.0,17798,21253,83.7,312877,104182,7549,8367,90.2,8368,9325,89.7,1480,2521,58.7,40,38.4,36.9,1.6,339,1424,300,53,1659
21,Chelsea,eng Premier League,29,38.0,18033,21320,84.6,311166,98339,8067,8802,91.6,8244,9120,90.4,1369,2547,53.7,47,52.7,41.8,-5.7,457,1488,346,73,1595
22,Como,it Serie A,38,38.0,15917,19183,83.0,268133,95134,7607,8351,91.1,6561,7392,88.8,1286,2359,54.5,39,36.6,30.8,2.4,405,1150,279,60,1377
23,Crystal Palace,eng Premier League,29,38.0,11876,15751,75.4,213331,80343,5195,6073,85.5,5288,6319,83.7,1138,2545,44.7,38,46.4,36.4,-8.4,379,887,272,69,1159
24,Dortmund,de Bundesliga,28,34.0,17077,20321,84.0,295202,98274,7783,8536,91.2,7542,8376,90.0,1403,2463,57.0,56,47.4,50.4,8.6,372,1348,324,86,1563
25,Eint Frankfurt,de Bundesliga,26,34.0,13925,17138,81.3,233650,85985,6627,7329,90.4,5810,6682,87.0,1094,2198,49.8,47,45.2,43.6,1.8,354,1033,308,55,1347
26,Empoli,it Serie A,34,38.0,10093,13916,72.5,186741,74734,4015,4844,82.9,4558,5549,82.1,1180,2624,45.0,21,22.9,19.4,-1.9,269,799,214,71,1013
27,Espanyol,es La Liga,27,38.0,10580,13996,75.6,199624,80026,4245,4942,85.9,4814,5678,84.8,1297,2629,49.3,27,24.5,23.4,2.5,256,772,204,81,1000
28,Everton,eng Premier League,26,38.0,11405,14953,76.3,215027,85013,5039,5809,86.7,4604,5451,84.5,1526,2901,52.6,27,32.2,27.2,-5.2,298,1003,261,92,1041
29,Fiorentina,it Serie A,34,38.0,14193,17510,81.1,262148,91970,5771,6478,89.1,6566,7504,87.5,1565,2733,57.3,39,35.1,27.4,3.9,336,984,244,74,1240
30,Freiburg,de Bundesliga,26,34.0,12892,16460,78.3,230139,83746,5552,6386,86.9,5789,6731,86.0,1209,2417,50.0,35,30.5,36.3,4.5,285,981,253,74,1129
31,Fulham,eng Premier League,26,38.0,16199,19753,82.0,289508,97635,7195,8007,89.9,7222,8198,88.1,1504,2703,55.6,44,37.5,35.0,6.5,398,1346,343,108,1558
32,Genoa,it Serie A,37,38.0,12025,15727,76.5,221047,81991,4811,5621,85.6,5664,6683,84.8,1243,2515,49.4,27,26.8,22.6,0.2,285,737,201,78,980
33,Getafe,es La Liga,30,38.0,8695,12922,67.3,169125,74933,3711,4579,81.0,3515,4628,76.0,1250,2951,42.4,21,23.9,23.8,-2.9,296,958,226,104,981
34,Girona,es La Liga,30,38.0,18273,21401,85.4,322614,100730,8002,8697,92.0,8458,9319,90.8,1526,2565,59.5,31,31.6,37.4,-0.6,308,1494,302,87,1691
35,Gladbach,de Bundesliga,26,34.0,14148,17507,80.8,245327,87390,6502,7257,89.6,6076,7009,86.7,1261,2322,54.3,39,37.7,34.9,1.3,308,848,278,93,1112
36,Heidenheim,de Bundesliga,27,34.0,11127,14684,75.8,215269,83343,4145,4986,83.1,5303,6225,85.2,1428,2682,53.2,26,28.6,31.4,-2.6,294,806,231,84,974
