Rk,Squad,Comp,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
1,Alavés,es La Liga,29,38.0,14746,12723,1946,537,45,99,798,834,182,61,90,6,10534,77,368
2,Angers,fr Ligue 1,30,34.0,14057,12474,1514,422,53,69,575,594,129,52,54,4,11082,69,256
3,Arsenal,eng Premier League,25,38.0,20241,18608,1553,432,80,74,766,598,251,211,3,2,17066,80,278
4,Aston Villa,eng Premier League,28,38.0,17797,16044,1698,583,95,58,604,497,230,148,24,1,14701,55,346
5,Atalanta,it Serie A,32,38.0,20998,19273,1671,455,48,117,778,714,194,85,75,1,17454,54,326
6,Athletic Club,es La Liga,31,38.0,17375,15511,1796,472,48,116,772,836,193,73,81,1,13665,68,300
7,Atlético Madrid,es La Liga,24,38.0,21418,19514,1832,463,76,112,675,789,190,67,65,0,17826,72,388
8,Augsburg,de Bundesliga,29,34.0,14936,13228,1649,415,32,48,578,699,156,63,61,1,11577,59,362
9,Auxerre,fr Ligue 1,29,34.0,14162,12617,1497,451,34,168,542,584,134,49,65,0,11002,48,287
10,Barcelona,es La Liga,28,38.0,25721,23787,1869,621,130,133,709,712,265,104,47,1,22321,65,371
11,Bayern Munich,de Bundesliga,29,34.0,25733,24287,1390,366,129,125,612,588,220,127,25,1,22755,56,335
12,Betis,es La Liga,36,38.0,19284,17322,1906,613,60,153,627,778,197,82,68,0,15770,56,376
13,Bochum,de Bundesliga,27,34.0,14230,12544,1623,348,40,38,679,711,165,106,53,0,10281,63,368
14,Bologna,it Serie A,30,38.0,19336,17378,1895,663,42,138,756,771,191,57,93,0,15681,63,307
15,Bournemouth,eng Premier League,29,38.0,16900,15136,1694,430,59,78,832,686,228,166,18,4,12977,70,314
16,Brentford,eng Premier League,28,38.0,17100,15453,1584,386,69,71,674,602,174,139,2,0,13358,63,288
17,Brest,fr Ligue 1,30,34.0,16021,14404,1575,485,41,133,641,614,142,71,62,0,12678,42,292
18,Brighton,eng Premier League,32,38.0,19188,17527,1615,482,77,76,704,605,188,107,48,7,15820,46,310
19,Cagliari,it Serie A,28,38.0,15802,13897,1840,481,25,60,758,749,181,38,135,0,12092,65,334
20,Celta Vigo,es La Liga,30,38.0,21253,19376,1810,502,89,149,501,782,149,52,62,1,17798,67,365
21,Chelsea,eng Premier League,29,38.0,21320,19613,1642,516,79,95,663,587,234,121,37,8,18033,65,304
22,Como,it Serie A,38,38.0,19183,17335,1783,597,52,93,568,726,167,41,70,0,15917,65,358
23,Crystal Palace,eng Premier League,29,38.0,15751,14063,1614,440,70,59,604,621,171,115,18,0,11876,74,302
24,Dortmund,de Bundesliga,28,34.0,20321,18695,1583,431,67,93,698,659,191,105,51,3,17077,43,320
25,Eint Frankfurt,de Bundesliga,26,34.0,17138,15585,1496,398,48,64,539,582,168,103,46,0,13925,57,305
26,Empoli,it Serie A,34,38.0,13916,11976,1883,502,34,71,620,786,170,63,60,1,10093,57,312
27,Espanyol,es La Liga,27,38.0,13996,12245,1690,484,51,97,619,647,144,35,77,2,10580,61,285
28,Everton,eng Premier League,26,38.0,14953,13245,1627,424,30,83,682,678,154,101,24,11,11405,81,295
29,Fiorentina,it Serie A,34,38.0,17510,15677,1745,600,27,99,588,626,148,66,40,1,14193,88,283
30,Freiburg,de Bundesliga,26,34.0,16460,14973,1426,362,34,56,589,597,132,79,39,0,12892,61,317
31,Fulham,eng Premier League,26,38.0,19753,18077,1633,437,43,119,894,636,203,88,87,1,16199,43,337
32,Genoa,it Serie A,37,38.0,15727,13887,1785,514,42,57,663,716,155,58,83,0,12025,55,330
33,Getafe,es La Liga,30,38.0,12922,10790,2042,579,23,116,721,927,147,55,69,1,8695,90,262
34,Girona,es La Liga,30,38.0,21401,19598,1724,484,39,128,804,706,186,91,67,1,18273,79,338
35,Gladbach,de Bundesliga,26,34.0,17507,15877,1565,385,80,69,617,632,158,67,71,0,14148,65,362
36,Heidenheim,de Bundesliga,27,34.0,14684,12981,1653,413,20,77,581,703,140,69,47,0,11127,50,330
37,Hellas Verona,it Serie A,32,38.0,13457,11789,1613,403,28,91,562,641,152,68,64,1,9854,55,283
38,Hoffenheim,de Bundesliga,35,34.0,16506,14841,1595,405,38,65,732,702,157,57,62,3,12827,70,337
39,Holstein Kiel,de Bundesliga,27,34.0,13961,12298,1619,409,30,58,482,667,120,58,46,1,10537,44,293
40,Inter,it Serie A,26,38.0,22592,20929,1573,442,86,132,751,635,221,58,125,1,19412,90,299
41,Ipswich Town,eng Premier League,32,38.0,14775,13146,1577,434,44,60,505,572,145,111,18,1,11524,52,300
42,Juventus,it Serie A,29,38.0,21231,19605,1574,411,48,101,630,664,190,92,68,0,18259,52,283
43,Las Palmas,es La Liga,34,38.0,18209,16234,1916,558,49,117,674,782,160,54,72,4,14352,59,321
44,Lazio,it Serie A,27,38.0,19521,17715,1760,522,72,118,864,670,229,123,57,0,16400,46,288
45,Le Havre,fr Ligue 1,31,34.0,14115,12577,1488,442,24,82,695,572,131,89,31,0,11125,50,274
46,Lecce,it Serie A,31,38.0,15087,13201,1834,507,36,84,628,754,165,64,78,0,11490,52,301
47,Leganés,es La Liga,26,38.0,14840,13035,1721,500,48,91,495,653,113,46,46,0,11207,84,252
48,Leicester City,eng Premier League,32,38.0,17486,15728,1695,449,52,47,621,664,139,86,29,4,13945,63,319
49,Lens,fr Ligue 1,33,34.0,18173,16605,1484,396,59,78,706,628,186,87,71,0,14837,84,346
50,Leverkusen,de Bundesliga,23,34.0,21589,19979,1546,409,67,114,735,622,216,115,47,0,18301,64,320
51,Lille,fr Ligue 1,27,34.0,19728,18220,1460,415,42,101,535,602,168,50,70,1,16765,48,308
52,Liverpool,eng Premier League,24,38.0,21759,19999,1700,448,69,128,729,682,252,145,72,1,18304,60,330
53,Lyon,fr Ligue 1,31,34.0,19063,17487,1505,416,61,112,598,606,185,79,75,0,16061,71,353
54,Mainz 05,de Bundesliga,25,34.0,16434,14771,1585,378,43,73,658,716,165,58,74,6,12478,78,379
55,Mallorca,es La Liga,28,38.0,16224,14337,1809,471,44,93,735,757,145,58,73,3,12613,78,292
56,Manchester City,eng Premier League,30,38.0,24443,22822,1576,449,86,90,659,603,253,127,37,4,21531,45,341
57,Manchester Utd,eng Premier League,31,38.0,20415,18750,1596,414,94,107,630,646,197,96,45,11,16837,69,355
58,Marseille,fr Ligue 1,32,34.0,23240,21718,1469,454,58,75,609,578,177,80,69,0,20427,53,328
59,Milan,it Serie A,35,38.0,19101,17400,1641,524,90,85,634,544,217,134,18,0,16335,60,248
60,Monaco,fr Ligue 1,28,34.0,17916,16257,1590,494,88,88,563,622,184,87,70,0,14561,69,288
61,Montpellier,fr Ligue 1,35,34.0,14420,12786,1569,460,45,109,646,575,155,55,75,0,11442,65,276
62,Monza,it Serie A,36,38.0,17515,15688,1773,575,30,78,656,623,136,41,75,0,14248,54,296
63,Nantes,fr Ligue 1,30,34.0,13956,12362,1563,437,28,46,611,658,143,67,61,0,10999,31,280
64,Napoli,it Serie A,27,38.0,20033,18236,1742,487,48,88,681,721,209,137,43,2,16894,55,340
65,Newcastle Utd,eng Premier League,24,38.0,18898,17088,1739,482,78,94,705,704,217,118,27,17,15416,71,351
66,Nice,fr Ligue 1,31,34.0,16103,14573,1474,440,88,62,599,556,170,60,72,0,13129,56,299
67,Nott'ham Forest,eng Premier League,23,38.0,14366,12658,1617,436,59,62,621,615,159,71,76,0,10822,91,282
68,Osasuna,es La Liga,25,38.0,16028,14070,1892,487,28,133,819,831,175,64,50,2,12184,66,349
69,Paris S-G,fr Ligue 1,28,34.0,25781,24296,1431,410,97,175,562,580,216,63,70,1,23156,54,308
70,Parma,it Serie A,32,38.0,15805,14017,1757,568,43,75,427,602,168,55,33,1,12509,31,247
71,Rayo Vallecano,es La Liga,26,38.0,17861,15874,1908,436,46,112,769,868,202,107,65,0,13936,79,395
72,RB Leipzig,de Bundesliga,29,34.0,18207,16606,1518,394,80,50,563,630,161,61,66,1,14698,83,358
73,Real Madrid,es La Liga,30,38.0,24221,22370,1766,549,90,221,578,620,243,113,63,1,21356,85,316
74,Real Sociedad,es La Liga,31,38.0,18759,16761,1916,513,33,146,740,832,216,78,95,0,14880,82,369
75,Reims,fr Ligue 1,34,34.0,14602,13035,1508,432,38,94,611,576,134,56,58,0,11657,59,251
76,Rennes,fr Ligue 1,35,34.0,16913,15272,1593,483,37,120,580,638,170,86,49,0,13914,48,307
77,Roma,it Serie A,28,38.0,20265,18489,1717,525,50,93,636,687,170,74,65,2,17016,59,287
78,Saint-Étienne,fr Ligue 1,32,34.0,15954,14389,1519,425,51,48,402,590,129,37,55,0,13001,46,261
79,Sevilla,es La Liga,35,38.0,17996,16142,1785,473,39,130,612,778,185,109,33,1,14393,69,310
80,Southampton,eng Premier League,36,38.0,18561,16979,1533,468,43,60,548,493,152,102,33,0,15530,49,272
81,St. Pauli,de Bundesliga,28,34.0,15300,13659,1575,421,31,60,600,692,148,66,55,2,11751,66,303
82,Strasbourg,fr Ligue 1,30,34.0,17462,15928,1486,485,58,46,496,543,140,64,57,0,14667,48,253
83,Stuttgart,de Bundesliga,29,34.0,19767,18113,1592,488,63,72,637,623,180,72,47,3,16513,62,289
84,Torino,it Serie A,31,38.0,17008,15278,1673,443,26,83,675,676,158,95,51,0,13578,57,274
85,Tottenham,eng Premier League,31,38.0,19956,18009,1884,561,54,71,753,705,243,108,66,0,16508,63,435
86,Toulouse,fr Ligue 1,27,34.0,14867,13229,1592,463,44,95,580,657,163,93,52,0,11674,46,287
87,Udinese,it Serie A,31,38.0,16279,14543,1686,465,25,92,679,683,178,64,73,2,12945,50,269
88,Union Berlin,de Bundesliga,28,34.0,13705,12135,1503,353,16,53,608,655,152,66,71,4,9960,67,335
89,Valencia,es La Liga,32,38.0,17708,15738,1898,566,38,128,763,770,186,69,74,3,13938,72,395
90,Valladolid,es La Liga,38,38.0,15387,13486,1834,544,37,126,671,647,156,81,38,2,12052,67,265
91,Venezia,it Serie A,36,38.0,15155,13224,1873,526,35,87,529,769,142,60,46,0,11573,58,301
92,Villarreal,es La Liga,31,38.0,17825,16035,1713,513,78,124,674,633,183,77,60,2,14532,77,318
93,Werder Bremen,de Bundesliga,23,34.0,17550,15860,1618,468,57,87,667,660,161,63,77,1,13999,72,355
94,West Ham,eng Premier League,27,38.0,18363,16678,1612,437,53,133,613,612,152,82,57,1,14820,73,343
95,Wolfsburg,de Bundesliga,27,34.0,15088,13434,1605,424,46,120,574,644,165,99,63,1,11590,49,336
96,Wolves,eng Premier League,32,38.0,17884,16133,1689,495,55,122,568,696,147,98,31,3,14472,62,328
