Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
1,Anicet Abel,mg MAD,"FW,MF",bg Ludogorets,26,1990,6.0,,11,,,,,,,,,,,15,,,,Matches
2,Vincent Aboubakar,cm CMR,FW,tr Beşiktaş,24,1992,5.5,,3,,,,,,,,,,,6,,,,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,18,1997,1.0,,1,,,,,,,,,,,1,,,,Matches
4,Adriano,br BRA,"DF,MF",tr Beşiktaş,31,1984,5.2,,8,,,,,,,,,,,14,,,,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,28,1988,6.0,,5,,,,,,,,,,,3,,,,Matches
6,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,30,1986,6.0,,0,,,,,,,,,,,1,,,,Matches
7,David Alaba,at AUT,"DF,MF",de Bayern Munich,24,1992,9.3,,6,,,,,,,,,,,14,,,,Matches
8,Jordi Alba,es ESP,"DF,MF",es Barcelona,27,1989,4.8,,10,,,,,,,,,,,2,,,,Matches
9,Raúl Albiol,es ESP,DF,it Napoli,30,1985,5.1,,5,,,,,,,,,,,9,,,,Matches
10,Marc Albrighton,eng ENG,"DF,FW",eng Leicester City,26,1989,8.3,,11,,,,,,,,,,,5,,,,Matches
11,Paco Alcácer,es ESP,FW,es Barcelona,22,1993,2.0,,1,,,,,,,,,,,2,,,,Matches
12,Thiago Alcántara,es ESP,MF,de Bayern Munich,25,1991,8.7,,21,,,,,,,,,,,17,,,,Matches
13,Toby Alderweireld,be BEL,DF,eng Tottenham,27,1989,2.2,,3,,,,,,,,,,,3,,,,Matches
14,Mihail Aleksandrov,bg BUL,MF,pl Legia Warsaw,27,1989,0.8,,1,,,,,,,,,,,1,,,,Matches
15,Allan,br BRA,"DF,MF",it Napoli,25,1991,4.9,,10,,,,,,,,,,,4,,,,Matches
16,Dele Alli,eng ENG,"FW,MF",eng Tottenham,20,1996,5.9,,7,,,,,,,,,,,4,,,,Matches
17,André Almeida,pt POR,"DF,MF",pt Benfica,25,1990,3.0,,7,,,,,,,,,,,3,,,,Matches
18,Xabi Alonso,es ESP,MF,de Bayern Munich,34,1981,6.5,,12,,,,,,,,,,,10,,,,Matches
19,Éder Álvarez Balanta,co COL,"DF,MF",ch Basel,23,1993,6.0,,13,,,,,,,,,,,11,,,,Matches
20,Dani Alves,br BRA,"DF,MF",it Juventus,33,1983,11.1,,23,,,,,,,,,,,16,,,,Matches
21,Danny Amankwaa,dk DEN,"FW,MF",dk FC Copenhagen,22,1994,0.1,,0,,,,,,,,,,,0,,,,Matches
22,Daniel Amartey,gh GHA,"DF,MF",eng Leicester City,21,1994,3.2,,5,,,,,,,,,,,7,,,,Matches
23,André,br BRA,FW,pt Sporting CP,25,1990,0.5,,1,,,,,,,,,,,0,,,,Matches
24,André André,pt POR,MF,pt Porto,26,1989,1.9,,3,,,,,,,,,,,3,,,,Matches
25,Miguel Ángel Moyá,es ESP,GK,es Atlético Madrid,32,1984,1.0,,0,,,,,,,,,,,0,,,,Matches
26,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,25,1990,6.0,,10,,,,,,,,,,,7,,,,Matches
27,Domagoj Antolić,hr CRO,MF,hr Dinamo Zagreb,26,1990,1.0,,6,,,,,,,,,,,10,,,,Matches
28,Mikael Antonsson,se SWE,DF,dk FC Copenhagen,35,1981,0.0,,0,,,,,,,,,,,0,,,,Matches
29,Vitorino Antunes,pt POR,DF,ua Dynamo Kyiv,29,1987,4.0,,2,,,,,,,,,,,9,,,,Matches
30,Charles Aránguiz,cl CHI,MF,de Leverkusen,27,1989,5.7,,9,,,,,,,,,,,18,,,,Matches
31,Alphonse Areola,fr FRA,GK,fr Paris S-G,23,1993,6.0,,0,,,,,,,,,,,0,,,,Matches
32,Santiago Arias,co COL,"DF,MF",nl PSV Eindhoven,24,1992,3.7,,3,,,,,,,,,,,9,,,,Matches
33,Stuart Armstrong,sct SCO,MF,sct Celtic,24,1992,3.6,,9,,,,,,,,,,,7,,,,Matches
34,Tolgay Arslan,de GER,MF,tr Beşiktaş,25,1990,3.7,,6,,,,,,,,,,,2,,,,Matches
35,Kwadwo Asamoah,gh GHA,"DF,MF",it Juventus,27,1988,1.8,,3,,,,,,,,,,,2,,,,Matches
36,Marco Asensio,es ESP,"FW,MF",es Real Madrid,20,1996,2.8,,3,,,,,,,,,,,2,,,,Matches
37,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",de Dortmund,27,1989,7.9,,1,,,,,,,,,,,2,,,,Matches
38,Jean-Kévin Augustin,fr FRA,FW,fr Paris S-G,19,1997,0.0,,0,,,,,,,,,,,0,,,,Matches
39,Ludwig Augustinsson,se SWE,"DF,MF",dk FC Copenhagen,22,1994,6.0,,11,,,,,,,,,,,12,,,,Matches
40,Filipe Augusto,br BRA,MF,pt Benfica,22,1993,0.5,,0,,,,,,,,,,,0,,,,Matches
41,Serge Aurier,ci CIV,"DF,MF",fr Paris S-G,23,1992,3.1,,6,,,,,,,,,,,11,,,,Matches
42,Sardar Azmoun,ir IRN,"FW,MF",ru Rostov,21,1995,5.1,,8,,,,,,,,,,,7,,,,Matches
43,Holger Badstuber,de GER,DF,de Bayern Munich,27,1989,1.0,,0,,,,,,,,,,,2,,,,Matches
44,Leon Bailey,jm JAM,"FW,MF",de Leverkusen,18,1997,0.2,,0,,,,,,,,,,,0,,,,Matches
45,Tiemoué Bakayoko,fr FRA,MF,fr Monaco,21,1994,9.4,,36,,,,,,,,,,,44,,,,Matches
46,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,27,1989,5.7,,6,,,,,,,,,,,9,,,,Matches
47,Harvey Barnes,eng ENG,"FW,MF",eng Leicester City,18,1997,0.2,,2,,,,,,,,,,,0,,,,Matches
48,Marc Bartra,es ESP,DF,de Dortmund,25,1991,6.4,,18,,,,,,,,,,,14,,,,Matches
49,Andrea Barzagli,it ITA,DF,it Juventus,35,1981,7.9,,5,,,,,,,,,,,16,,,,Matches
50,Julian Baumgartlinger,at AUT,"DF,MF",de Leverkusen,28,1988,3.6,,19,,,,,,,,,,,13,,,,Matches
51,Andreas Beck,de GER,"DF,MF",tr Beşiktaş,29,1987,5.3,,7,,,,,,,,,,,10,,,,Matches
52,Karim Bellarabi,de GER,"FW,MF",de Leverkusen,26,1990,1.7,,4,,,,,,,,,,,2,,,,Matches
53,Héctor Bellerín,es ESP,"DF,MF",eng Arsenal,21,1995,5.0,,7,,,,,,,,,,,10,,,,Matches
54,Hatem Ben Arfa,fr FRA,"FW,MF",fr Paris S-G,29,1987,1.4,,0,,,,,,,,,,,0,,,,Matches
55,Wissam Ben Yedder,fr FRA,"FW,MF",es Sevilla,25,1990,2.5,,2,,,,,,,,,,,2,,,,Matches
56,Yohan Benalouane,tn TUN,DF,eng Leicester City,29,1987,1.5,,1,,,,,,,,,,,4,,,,Matches
57,Medhi Benatia,ma MAR,DF,it Juventus,29,1987,2.0,,1,,,,,,,,,,,10,,,,Matches
58,Lars Bender,de GER,"DF,MF",de Leverkusen,27,1989,2.4,,10,,,,,,,,,,,13,,,,Matches
59,Sven Bender,de GER,"DF,MF",de Dortmund,27,1989,0.5,,1,,,,,,,,,,,1,,,,Matches
60,Filip Benković,hr CRO,DF,hr Dinamo Zagreb,19,1997,5.0,,12,,,,,,,,,,,22,,,,Matches
61,Karim Benzema,fr FRA,FW,es Real Madrid,28,1987,10.6,,3,,,,,,,,,,,3,,,,Matches
62,Bartosz Bereszyński,pl POL,"DF,FW",pl Legia Warsaw,24,1992,6.0,,8,,,,,,,,,,,12,,,,Matches
63,Aleksei Berezutski,ru RUS,DF,ru CSKA Moscow,34,1982,3.5,,6,,,,,,,,,,,10,,,,Matches
64,Vasili Berezutski,ru RUS,DF,ru CSKA Moscow,34,1982,4.5,,6,,,,,,,,,,,6,,,,Matches
65,Erik Berg,se SWE,"DF,MF",dk FC Copenhagen,27,1988,6.0,,7,,,,,,,,,,,13,,,,Matches
66,Steven Bergwijn,nl NED,"FW,MF",nl PSV Eindhoven,18,1997,2.5,,3,,,,,,,,,,,1,,,,Matches
67,Juan Bernat,es ESP,"DF,FW",de Bayern Munich,23,1993,2.7,,4,,,,,,,,,,,5,,,,Matches
68,Artem Besyedin,ua UKR,FW,ua Dynamo Kyiv,20,1996,2.1,,3,,,,,,,,,,,1,,,,Matches
69,Nir Bitton,il ISR,"DF,MF",sct Celtic,24,1991,2.8,,10,,,,,,,,,,,15,,,,Matches
70,Birkir Bjarnason,is ISL,MF,ch Basel,28,1988,4.8,,7,,,,,,,,,,,6,,,,Matches
71,Jérôme Boateng,de GER,DF,de Bayern Munich,27,1988,5.7,,6,,,,,,,,,,,8,,,,Matches
72,Boli Bolingoli-Mbombo,be BEL,"DF,MF",be Club Brugge,21,1995,1.8,,2,,,,,,,,,,,3,,,,Matches
73,Willy Boly,ci CIV,DF,pt Porto,25,1991,0.5,,0,,,,,,,,,,,1,,,,Matches
74,Leonardo Bonucci,it ITA,DF,it Juventus,29,1987,10.8,,14,,,,,,,,,,,20,,,,Matches
75,Milan Borjan,ca CAN,GK,bg Ludogorets,28,1987,1.0,,0,,,,,,,,,,,0,,,,Matches
76,Gabriel Boschilia,br BRA,MF,fr Monaco,20,1996,0.8,,2,,,,,,,,,,,3,,,,Matches
77,Yacine Brahimi,dz ALG,"FW,MF",pt Porto,26,1990,3.1,,2,,,,,,,,,,,3,,,,Matches
78,Julian Brandt,de GER,"FW,MF",de Leverkusen,20,1996,5.9,,7,,,,,,,,,,,7,,,,Matches
79,Claudio Bravo,cl CHI,GK,eng Manchester City,33,1983,3.6,,0,,,,,,,,,,,1,,,,Matches
80,Joshua Brenet,cw CUW,DF,nl PSV Eindhoven,22,1994,3.5,,6,,,,,,,,,,,8,,,,Matches
81,Scott Brown,sct SCO,MF,sct Celtic,31,1985,6.0,,14,,,,,,,,,,,36,,,,Matches
82,Gianluigi Buffon,it ITA,GK,it Juventus,38,1978,12.0,,0,,,,,,,,,,,0,,,,Matches
83,Aleksandr Bukharov,ru RUS,FW,ru Rostov,31,1985,0.0,,3,,,,,,,,,,,0,,,,Matches
84,Mykyta Burda,ua UKR,DF,ua Dynamo Kyiv,21,1995,1.0,,2,,,,,,,,,,,2,,,,Matches
85,Roman Bürki,ch SUI,GK,de Dortmund,25,1990,8.0,,0,,,,,,,,,,,1,,,,Matches
86,Dženis Burnić,ba BIH,MF,de Dortmund,18,1998,0.0,,0,,,,,,,,,,,0,,,,Matches
87,Sergio Busquets,es ESP,MF,es Barcelona,28,1988,7.7,,18,,,,,,,,,,,14,,,,Matches
