Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,21,2,3,4,14,2,21,1,0,0.0,1,100.0,14,59,12,0,1,0,0,2,19,2,Matches
2,Michel Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,161,6,31,101,29,5,161,4,2,50.0,2,50.0,70,327,167,3,3,1,4,0,101,1,Matches
3,Sergio Agüero,ar ARG,FW,eng Manchester City,30,1988,5.6,246,0,2,93,151,44,244,22,11,50.0,11,50.0,186,992,386,19,15,11,12,11,201,50,Matches
4,Jean-Eudes Aholou,ci CIV,"MF,FW",fr Monaco,24,1994,2.0,91,2,17,60,15,1,91,2,1,50.0,1,50.0,51,307,170,3,3,0,7,2,58,3,Matches
5,Youssef Aït Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,225,12,54,153,19,0,225,1,1,100.0,0,0.0,166,769,361,5,3,0,2,2,164,0,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,621,29,210,396,19,0,621,4,2,50.0,2,50.0,488,2857,1693,6,10,0,8,0,511,0,Matches
7,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,46,0,6,16,24,4,46,0,0,,0,,16,86,17,0,0,0,1,2,31,7,Matches
8,Yunus Akgün,tr TUR,MF,tr Galatasaray,18,2000,0.1,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
9,Ilzat Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,220,10,59,118,44,1,220,8,7,87.5,1,12.5,124,651,284,4,3,0,3,3,159,5,Matches
10,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,186,152,183,3,0,0,186,0,0,,0,,78,577,441,0,0,0,0,0,64,0,Matches
11,Kevin Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,116,11,50,65,2,0,116,0,0,,0,,60,342,231,2,1,0,0,0,81,0,Matches
12,David Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,517,27,139,260,120,11,517,5,3,60.0,2,40.0,277,1322,689,23,14,3,6,8,316,39,Matches
13,Jordi Alba,es ESP,DF,es Barcelona,29,1989,11.0,1117,35,241,556,327,37,1117,10,7,70.0,3,30.0,580,2298,1403,30,20,9,9,4,812,118,Matches
14,Raúl Albiol,es ESP,DF,it Napoli,32,1985,5.5,460,45,188,271,2,1,460,1,1,100.0,0,0.0,298,1080,671,0,0,0,1,0,350,0,Matches
15,Paco Alcácer,es ESP,FW,de Dortmund,24,1993,4.0,127,2,5,51,72,12,126,3,1,33.3,2,66.7,68,184,51,1,1,1,8,4,96,15,Matches
16,Thiago Alcántara,es ESP,MF,de Bayern Munich,27,1991,4.3,379,8,89,233,62,1,379,7,6,85.7,1,14.3,246,1184,577,9,5,1,6,8,271,0,Matches
17,Toby Alderweireld,be BEL,DF,eng Tottenham,29,1989,12.0,849,79,386,441,25,14,849,0,0,,0,,529,2488,1196,10,4,0,2,1,588,1,Matches
18,Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,101,9,28,67,8,0,101,3,2,66.7,1,33.3,51,289,73,1,0,0,3,4,58,2,Matches
19,Carles Aleñá,es ESP,MF,es Barcelona,20,1998,1.0,64,0,13,42,9,1,64,2,2,100.0,0,0.0,37,166,49,1,1,0,1,1,53,0,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,10.2,832,31,201,384,259,12,832,9,7,77.8,2,22.2,405,1829,1171,24,23,4,11,6,458,52,Matches
21,Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,472,407,467,5,0,0,472,0,0,,0,,274,1275,844,0,0,0,0,0,218,0,Matches
22,Allan,br BRA,MF,it Napoli,27,1991,5.7,460,12,78,340,50,2,460,11,7,63.6,4,36.4,281,1114,617,6,11,1,6,15,321,8,Matches
23,Dele Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,401,6,54,178,176,32,401,23,10,43.5,13,56.5,258,1392,640,19,17,6,21,13,291,51,Matches
24,André Almeida,pt POR,DF,pt Benfica,27,1990,6.0,419,24,141,200,81,2,419,8,3,37.5,5,62.5,197,877,473,11,11,0,6,4,202,19,Matches
25,Dani Alves,br BRA,"FW,DF",fr Paris S-G,35,1983,2.3,206,4,30,94,82,5,206,3,2,66.7,1,33.3,123,467,245,8,4,1,2,4,166,18,Matches
26,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,20,1997,3.9,186,33,104,78,8,2,186,0,0,,0,,93,569,385,1,4,0,3,0,110,0,Matches
27,Nadiem Amiri,de GER,MF,de Hoffenheim,21,1996,0.3,27,1,8,13,7,1,27,1,1,100.0,0,0.0,17,96,65,1,1,0,2,0,19,2,Matches
28,Sofyan Amrabat,ma MAR,"DF,MF",be Club Brugge,21,1996,2.0,134,9,39,72,25,1,134,5,4,80.0,1,20.0,54,318,163,7,1,1,6,1,68,3,Matches
29,Angeliño,es ESP,DF,nl PSV Eindhoven,21,1997,6.0,287,32,119,108,60,2,287,5,3,60.0,2,40.0,119,636,381,9,3,1,1,2,141,15,Matches
30,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,20,1998,7.0,411,21,76,256,92,20,411,23,18,78.3,5,21.7,267,1582,853,22,15,5,9,9,305,27,Matches
31,Alphonse Areola,fr FRA,GK,fr Paris S-G,25,1993,3.0,93,76,93,0,0,0,93,0,0,,0,,51,239,143,0,0,0,0,0,50,0,Matches
32,Santiago Arias,co COL,"DF,FW",es Atlético Madrid,26,1992,3.8,207,10,52,86,69,4,207,3,1,33.3,2,66.7,109,574,335,8,4,1,2,0,119,29,Matches
33,Kwadwo Asamoah,gh GHA,DF,it Inter,29,1988,5.8,379,20,128,186,72,2,379,9,7,77.8,2,22.2,184,1031,554,11,10,1,7,5,243,24,Matches
34,Marco Asensio,es ESP,"FW,MF",es Real Madrid,22,1996,3.4,243,4,12,96,140,26,243,17,13,76.5,4,23.5,182,1474,638,20,15,6,5,5,201,59,Matches
35,Roger Assalé,ci CIV,"FW,MF",ch Young Boys,24,1993,4.2,162,1,10,78,77,11,162,10,5,50.0,5,50.0,123,981,463,13,12,3,22,8,135,33,Matches
36,Serge Aurier,ci CIV,DF,eng Tottenham,25,1992,4.8,357,14,86,143,132,7,357,12,7,58.3,5,41.7,195,824,501,12,15,2,8,8,204,43,Matches
37,Chidozie Awaziem,ng NGA,MF,pt Porto,21,1997,0.1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
38,Serdar Aziz,tr TUR,DF,tr Galatasaray,27,1990,4.0,285,18,119,164,2,2,285,1,1,100.0,0,0.0,123,622,375,0,1,0,0,0,194,0,Matches
39,Srđan Babić,rs SRB,DF,rs Red Star,22,1996,2.5,124,16,75,48,2,1,124,1,1,100.0,0,0.0,73,368,190,1,0,0,0,0,75,0,Matches
40,Benoît Badiashile,fr FRA,DF,fr Monaco,17,2001,2.0,149,30,102,43,4,2,149,1,1,100.0,0,0.0,113,504,318,1,0,0,1,2,113,0,Matches
41,Loic Badiashile,fr FRA,GK,fr Monaco,20,1998,1.0,33,31,33,0,0,0,33,0,0,,0,,17,73,32,0,0,0,0,0,10,0,Matches
42,Eric Bailly,ci CIV,DF,eng Manchester Utd,24,1994,3.4,155,17,76,75,4,1,155,1,1,100.0,0,0.0,87,411,164,0,0,0,0,0,86,0,Matches
43,Michalis Bakakis,gr GRE,"DF,FW",gr AEK Athens,27,1991,5.8,315,32,101,146,70,3,315,9,3,33.3,6,66.7,137,879,403,14,12,0,6,10,148,23,Matches
44,Anastasios Bakasetas,gr GRE,FW,gr AEK Athens,25,1993,2.0,131,1,13,75,44,1,131,3,1,33.3,2,66.7,87,414,194,2,6,1,1,4,100,8,Matches
45,Keita Baldé,sn SEN,"FW,MF",it Inter,23,1995,0.8,33,0,4,11,18,3,33,3,2,66.7,1,33.3,17,87,46,3,0,1,1,1,26,8,Matches
46,Gareth Bale,wls WAL,FW,es Real Madrid,29,1989,5.4,278,4,27,118,135,41,278,10,7,70.0,3,30.0,199,1240,624,22,7,11,8,4,240,70,Matches
47,David von Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4.0,158,114,157,1,0,0,158,0,0,,0,,69,504,357,0,0,0,0,0,49,0,Matches
48,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,21,1996,3.2,162,12,39,89,37,4,162,1,1,100.0,0,0.0,65,355,163,5,10,1,3,4,84,7,Matches
49,Vasilios Barkas,gr GRE,GK,gr AEK Athens,24,1994,6.0,223,205,223,0,0,0,223,0,0,,0,,115,950,725,0,0,0,0,0,74,0,Matches
50,Antonio Barreca,it ITA,DF,fr Monaco,23,1995,1.0,93,1,14,45,35,0,93,2,0,0.0,2,100.0,68,391,238,6,5,0,1,2,76,8,Matches
51,Andrea Barzagli,it ITA,DF,it Juventus,37,1981,1.2,86,3,29,52,5,0,86,0,0,,0,,33,145,78,1,0,0,2,0,62,0,Matches
52,Michy Batshuayi,be BEL,FW,es Valencia,24,1993,3.8,156,2,6,89,62,19,156,13,7,53.8,6,46.2,112,504,162,5,3,5,16,6,124,29,Matches
53,Oliver Baumann,de GER,GK,de Hoffenheim,28,1990,6.0,237,174,232,5,0,0,237,0,0,,0,,96,568,423,0,0,0,0,0,97,0,Matches
54,Ömer Bayram,tr TUR,DF,tr Galatasaray,27,1991,0.6,54,1,7,37,10,0,54,1,1,100.0,0,0.0,27,161,67,3,0,0,1,3,42,3,Matches
55,Riechedly Bazoer,nl NED,MF,pt Porto,21,1996,0.1,9,0,2,4,3,2,9,0,0,,0,,4,21,7,0,0,0,0,0,8,0,Matches
56,Rodrigo Becão,br BRA,DF,ru CSKA Moscow,22,1996,6.0,304,44,147,153,5,2,304,2,1,50.0,1,50.0,132,595,300,1,0,0,2,0,173,0,Matches
57,Donny van de Beek,nl NED,MF,nl Ajax,21,1997,10.9,445,10,58,224,169,45,445,21,12,57.1,9,42.9,217,883,483,18,11,5,16,7,262,55,Matches
58,Ishak Belfodil,dz ALG,"FW,MF",de Hoffenheim,26,1992,3.8,132,3,9,57,67,22,132,4,2,50.0,2,50.0,77,482,245,10,2,3,10,6,105,41,Matches
59,Younès Belhanda,ma MAR,MF,tr Galatasaray,28,1990,3.6,206,2,22,108,79,4,206,8,5,62.5,3,37.5,106,653,315,12,7,1,7,5,133,13,Matches
60,Diego Benaglio,ch SUI,GK,fr Monaco,34,1983,4.5,127,114,126,1,0,0,127,0,0,,0,,64,315,191,0,0,0,0,0,51,0,Matches
61,Medhi Benatia,ma MAR,DF,it Juventus,31,1987,1.0,79,8,27,52,0,0,79,0,0,,0,,50,169,67,0,0,0,0,0,66,0,Matches
62,Loris Benito,ch SUI,DF,ch Young Boys,26,1992,6.0,370,32,94,192,88,3,370,2,1,50.0,1,50.0,170,864,492,12,10,1,6,1,204,22,Matches
63,Nabil Bentaleb,dz ALG,MF,de Schalke 04,23,1994,4.7,281,7,62,178,43,5,278,11,7,63.6,4,36.4,127,654,301,5,6,1,6,8,162,5,Matches
