Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
1,Adrián,es ESP,GK,eng Liverpool,33,1987,1.0,0,0,0,0,0,1.0,0.25,+1.0,+0.99,9,18,50.0,24,3,58.3,37.9,8,50.0,42.5,18,3,16.7,1,1.00,13.0,Matches
2,Alisson,br BRA,GK,eng Liverpool,27,1992,7.0,5,0,0,0,0,8.9,0.38,+3.9,+0.55,26,64,40.6,210,31,21.4,29.3,50,38.0,37.4,64,1,1.6,13,1.86,22.1,Matches
3,Mikkel Andersen,dk DEN,GK,dk Midtjylland,31,1988,2.0,4,1,0,0,0,3.1,0.35,-0.9,-0.46,16,41,39.0,84,13,39.3,33.2,12,66.7,49.9,18,1,5.6,3,1.50,18.1,Matches
4,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,25,1994,1.0,1,0,0,0,0,0.5,0.27,-0.5,-0.47,0,2,0.0,20,1,10.0,25.1,5,0.0,19.4,5,0,0.0,0,0.00,8.0,Matches
5,Yassine Bounou,ma MAR,GK,es Sevilla,29,1991,5.0,6,2,0,0,0,7.6,0.26,+1.6,+0.33,18,38,47.4,119,18,21.8,28.4,25,48.0,37.8,47,2,4.3,7,1.40,19.3,Matches
6,Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,32,1988,1.0,2,0,0,0,0,1.8,0.45,-0.2,-0.20,5,8,62.5,34,8,14.7,25.9,5,60.0,43.8,11,1,9.1,0,0.00,5.0,Matches
7,Gianluigi Buffon,it ITA,GK,it Juventus,42,1978,1.0,0,0,0,0,0,1.0,0.14,+1.0,+0.98,4,6,66.7,14,6,14.3,28.9,13,30.8,28.0,6,0,0.0,0,0.00,,Matches
8,Roman Bürki,ch SUI,GK,de Dortmund,29,1990,4.0,1,1,0,0,0,3.8,0.28,+2.8,+0.71,14,39,35.9,113,19,28.3,30.6,24,29.2,33.7,45,4,8.9,1,0.25,9.0,Matches
9,Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,26,1994,4.0,9,1,0,1,0,8.8,0.37,-0.2,-0.04,18,44,40.9,86,13,33.7,33.2,32,46.9,41.1,57,1,1.8,1,0.25,8.5,Matches
10,Diogo Costa,pt POR,GK,pt Porto,20,1999,1.0,0,0,0,0,0,0.1,0.10,+0.1,+0.10,3,27,11.1,37,5,54.1,40.5,8,87.5,55.9,8,1,12.5,0,0.00,5.0,Matches
