Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
1,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,24,1995,6,451,75,83.5,5.0,5,90,5,1,1,0,0.50,1,10,-9,-1.80,-2.81,3.1,8.6,-5.5,-1.09,-1.18,Matches
2,Tammy Abraham,eng ENG,FW,eng Chelsea,22,1997,5,230,46,19.7,2.6,3,73,1,2,6,6,2.20,6,1,+5,+1.96,+0.62,6.8,1.1,+5.6,+2.19,+1.09,Matches
3,Francesco Acerbi,it ITA,DF,it Lazio,32,1988,8,720,90,100.0,8.0,8,90,8,0,,0,1.25,13,13,0,0.00,,13.1,11.6,+1.5,+0.19,,Matches
4,Marcos Acuña,ar ARG,DF,es Sevilla,28,1991,4,327,82,45.4,3.6,3,90,3,1,57,0,2.00,6,2,+4,+1.10,+2.02,6.0,3.2,+2.8,+0.77,+1.19,Matches
5,Tyler Adams,us USA,"FW,MF",de RB Leipzig,21,1999,6,289,48,40.1,3.2,2,90,2,4,27,2,2.00,2,8,-6,-1.87,-2.08,3.6,5.3,-1.8,-0.55,-0.46,Matches
6,Karim Adeyemi,de GER,FW,at RB Salzburg,18,2002,3,52,17,9.6,0.6,0,,0,3,17,0,1.00,2,2,0,0.00,+1.29,2.1,1.3,+0.8,+1.44,+1.24,Matches
7,Adrián,es ESP,GK,eng Liverpool,33,1987,1,90,90,10.0,1.0,1,90,1,0,,9,3.00,1,0,+1,+1.00,+0.11,1.1,1.4,-0.3,-0.32,-0.45,Matches
8,Nayef Aguerd,ma MAR,DF,fr Rennes,24,1996,4,275,69,50.9,3.1,2,90,2,2,48,0,0.25,2,6,-4,-1.31,+0.05,5.3,7.4,-2.1,-0.67,+0.25,Matches
9,Sergio Agüero,ar ARG,FW,eng Manchester City,32,1988,7,152,22,13.0,1.7,1,67,0,6,14,2,2.57,4,1,+3,+1.78,+0.27,2.4,0.8,+1.6,+0.96,-0.25,Matches
10,Manuel Akanji,ch SUI,DF,de Dortmund,25,1995,7,630,90,70.0,7.0,7,90,7,0,,0,1.86,14,7,+7,+1.00,+1.33,9.4,8.8,+0.6,+0.09,+0.02,Matches
11,Marley Aké,fr FRA,"FW,MF",fr Marseille,19,2001,4,39,10,7.2,0.4,0,,0,4,10,2,0.75,0,2,-2,-4.62,-3.00,1.0,1.2,-0.2,-0.41,+0.32,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,25,1995,2,180,90,15.4,2.0,2,90,2,0,,7,3.00,6,0,+6,+3.00,+1.73,4.1,1.2,+2.9,+1.46,+0.34,Matches
13,Jean-Daniel Akpa-Akpro,ci CIV,MF,it Lazio,27,1992,8,289,36,40.1,3.2,2,90,2,6,18,0,1.25,3,4,-1,-0.31,-0.52,3.4,4.9,-1.5,-0.47,-1.11,Matches
14,David Alaba,at AUT,"DF,MF",de Bayern Munich,28,1992,9,810,90,90.0,9.0,9,90,9,0,,0,2.44,25,10,+15,+1.67,-0.33,20.1,13.6,+6.5,+0.72,-0.59,Matches
15,Jordi Alba,es ESP,DF,es Barcelona,31,1989,7,485,69,67.4,5.4,6,77,4,1,26,0,1.86,11,9,+2,+0.37,-1.93,14.8,9.9,+4.9,+0.91,-0.08,Matches
16,Luis Alberto,es ESP,MF,it Lazio,27,1992,6,475,79,66.0,5.3,6,79,1,0,,0,1.33,10,10,0,0.00,0.00,10.7,7.1,+3.5,+0.67,+1.41,Matches
17,Thiago Alcántara,es ESP,MF,eng Liverpool,29,1991,4,222,56,24.7,2.5,2,71,0,2,40,0,1.75,4,1,+3,+1.22,+0.42,4.4,2.7,+1.6,+0.66,+0.76,Matches
18,Danijel Aleksić,rs SRB,MF,tr Başakşehir,29,1991,3,108,36,20.0,1.2,1,90,1,2,9,1,1.00,2,1,+1,+0.83,+3.33,1.2,1.3,-0.1,-0.08,+1.36,Matches
19,Carles Aleñá,es ESP,"MF,DF",es Barcelona,22,1998,3,124,41,17.2,1.4,1,90,1,2,17,3,3.00,4,0,+4,+2.90,+2.30,3.8,0.9,+2.9,+2.09,+1.40,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,21,1998,8,711,89,79.0,7.9,8,89,7,0,,0,2.13,14,4,+10,+1.27,+1.74,12.0,10.7,+1.3,+0.16,+0.38,Matches
21,Hasan Ali Kaldırım,tr TUR,DF,tr Başakşehir,30,1989,3,112,37,20.7,1.2,1,67,0,2,23,1,0.00,2,8,-6,-4.82,-3.77,1.2,4.4,-3.2,-2.58,-1.78,Matches
22,Marco Alia,al ALB,GK,it Lazio,20,2000,0,,,,,0,,,0,,6,,,,,,,,,,,,Matches
23,Alisson,br BRA,GK,eng Liverpool,27,1992,7,630,90,70.0,7.0,7,90,7,0,,0,1.86,12,5,+7,+1.00,+0.33,10.6,8.7,+1.9,+0.26,+0.61,Matches
24,Marcos Alonso,es ESP,DF,eng Chelsea,29,1990,2,179,90,15.3,2.0,2,90,1,0,,9,3.00,2,0,+2,+1.01,-0.54,2.6,1.3,+1.3,+0.63,-0.80,Matches
25,Altube,es ESP,GK,es Real Madrid,20,2000,0,,,,,0,,,0,,12,,,,,,,,,,,,Matches
26,Éder Álvarez Balanta,co COL,MF,be Club Brugge,27,1993,4,237,59,43.9,2.6,3,72,1,1,20,2,1.00,5,4,+1,+0.38,+1.27,3.0,3.8,-0.7,-0.28,-0.27,Matches
27,Carlos Álvarez,es ESP,MF,es Sevilla,16,2003,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
28,Edson Álvarez,mx MEX,"MF,DF",nl Ajax,22,1997,4,125,31,23.1,1.4,1,68,0,3,19,2,1.50,1,2,-1,-0.72,-0.94,1.4,2.4,-1.0,-0.71,-0.93,Matches
29,Jordan Amavi,fr FRA,DF,fr Marseille,26,1994,5,450,90,83.3,5.0,5,90,5,0,,0,0.60,2,10,-8,-1.60,+1.40,5.3,7.8,-2.4,-0.49,+1.35,Matches
30,Mikkel Andersen,dk DEN,GK,dk Midtjylland,31,1988,2,180,90,33.3,2.0,2,90,2,0,,2,0.00,1,4,-3,-1.50,0.00,1.9,2.9,-1.0,-0.52,+0.28,Matches
31,Djavan Anderson,nl NED,"DF,MF",it Lazio,25,1995,0,,,,,0,,,0,,4,,,,,,,,,,,,Matches
32,Felipe Anderson,br BRA,FW,pt Porto,27,1993,1,62,62,6.7,0.7,1,62,0,0,,7,3.00,1,0,+1,+1.45,+0.93,1.0,0.9,0.0,+0.02,+0.29,Matches
33,Mikael Anderson,is ISL,"MF,FW",dk Midtjylland,22,1998,5,169,34,31.3,1.9,1,90,1,4,20,1,1.13,2,3,-1,-0.53,+1.41,2.9,3.8,-1.0,-0.51,+0.29,Matches
34,Joel Andersson,se SWE,DF,dk Midtjylland,23,1996,5,398,80,73.7,4.4,4,83,3,1,65,1,1.22,3,12,-9,-2.04,-2.04,4.6,9.2,-4.5,-1.02,-1.20,Matches
35,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,26,1994,3,123,41,22.8,1.4,1,90,1,2,17,3,1.80,1,4,-3,-2.20,-0.90,2.8,5.2,-2.4,-1.77,-0.85,Matches
36,Thanasis Androutsos,gr GRE,"DF,MF",gr Olympiacos,23,1997,0,,,,,0,,,0,,4,,,,,,,,,,,,Matches
37,Angeliño,es ESP,"DF,FW",de RB Leipzig,23,1997,7,626,89,86.9,7.0,7,89,6,0,,0,1.71,11,14,-3,-0.43,+1.48,9.7,10.3,-0.6,-0.09,+1.44,Matches
38,Davide Angelo Ghislandi,it ITA,MF,it Atalanta,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
39,Faustino Anjorin,eng ENG,FW,eng Chelsea,18,2001,1,79,79,6.8,0.9,1,79,0,0,,1,1.00,1,1,0,0.00,-1.57,2.5,0.4,+2.1,+2.37,+1.14,Matches
40,Marcos Antônio,br BRA,MF,ua Shakhtar,20,2000,4,245,61,45.4,2.7,3,75,1,1,21,2,1.00,3,7,-4,-1.47,-0.55,2.7,4.8,-2.1,-0.77,+0.51,Matches
41,Antony,br BRA,FW,nl Ajax,20,2000,4,358,90,66.3,4.0,4,90,2,0,,1,1.00,4,5,-1,-0.25,-0.75,4.3,5.6,-1.3,-0.32,-0.96,Matches
42,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,33,1987,5,424,85,78.5,4.7,5,85,2,0,,0,1.00,2,7,-5,-1.06,+1.27,4.0,7.0,-3.0,-0.63,+1.24,Matches
