Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
1,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,24,1995,5.0,0,5,0,0.0,1.00,0.00,0.00,,21.4,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
2,Tammy Abraham,eng ENG,FW,eng Chelsea,22,1997,2.6,1,7,2,28.6,2.74,0.78,0.14,0.50,12.2,0,0,0,1.4,1.4,0.20,-0.4,-0.4,Matches
3,Francesco Acerbi,it ITA,DF,it Lazio,32,1988,8.0,0,5,1,20.0,0.62,0.12,0.00,0.00,14.1,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
4,Marcos Acuña,ar ARG,DF,es Sevilla,28,1991,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Tyler Adams,us USA,"FW,MF",de RB Leipzig,21,1999,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Karim Adeyemi,de GER,FW,at RB Salzburg,18,2002,0.6,1,2,1,50.0,3.46,1.73,0.50,1.00,16.4,0,0,0,0.3,0.3,0.17,+0.7,+0.7,Matches
7,Adrián,es ESP,GK,eng Liverpool,33,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Nayef Aguerd,ma MAR,DF,fr Rennes,24,1996,3.1,0,3,0,0.0,0.98,0.00,0.00,,19.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
9,Sergio Agüero,ar ARG,FW,eng Manchester City,32,1988,1.7,2,1,1,100.0,0.59,0.59,1.00,1.00,15.1,0,1,1,1.6,0.9,0.85,+0.4,+0.1,Matches
10,Manuel Akanji,ch SUI,DF,de Dortmund,25,1995,7.0,0,3,2,66.7,0.43,0.29,0.00,0.00,17.3,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
11,Marley Aké,fr FRA,"FW,MF",fr Marseille,19,2001,0.4,0,1,0,0.0,2.31,0.00,0.00,,3.8,0,0,0,0.5,0.5,0.53,-0.5,-0.5,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,25,1995,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,9.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
13,Jean-Daniel Akpa-Akpro,ci CIV,MF,it Lazio,27,1992,3.2,1,3,1,33.3,0.93,0.31,0.33,1.00,14.8,0,0,0,0.6,0.6,0.21,+0.4,+0.4,Matches
14,David Alaba,at AUT,"DF,MF",de Bayern Munich,28,1992,9.0,0,10,3,30.0,1.11,0.33,0.00,0.00,20.9,2,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
15,Jordi Alba,es ESP,DF,es Barcelona,31,1989,5.4,0,1,0,0.0,0.19,0.00,0.00,,13.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
16,Luis Alberto,es ESP,MF,it Lazio,27,1992,5.3,0,6,4,66.7,1.14,0.76,0.00,0.00,20.7,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
17,Thiago Alcántara,es ESP,MF,eng Liverpool,29,1991,2.5,0,2,1,50.0,0.81,0.41,0.00,0.00,23.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
18,Danijel Aleksić,rs SRB,MF,tr Başakşehir,29,1991,1.2,0,4,2,50.0,3.33,1.67,0.00,0.00,22.5,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
19,Carles Aleñá,es ESP,"MF,DF",es Barcelona,22,1998,1.4,0,3,0,0.0,2.18,0.00,0.00,,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,21,1998,7.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Hasan Ali Kaldırım,tr TUR,DF,tr Başakşehir,30,1989,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,Alisson,br BRA,GK,eng Liverpool,27,1992,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,Marcos Alonso,es ESP,DF,eng Chelsea,29,1990,2.0,0,2,1,50.0,1.01,0.50,0.00,0.00,22.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
24,Éder Álvarez Balanta,co COL,MF,be Club Brugge,27,1993,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Edson Álvarez,mx MEX,"MF,DF",nl Ajax,22,1997,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
26,Jordan Amavi,fr FRA,DF,fr Marseille,26,1994,5.0,0,1,0,0.0,0.20,0.00,0.00,,30.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
27,Mikkel Andersen,dk DEN,GK,dk Midtjylland,31,1988,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,Felipe Anderson,br BRA,FW,pt Porto,27,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,Mikael Anderson,is ISL,"MF,FW",dk Midtjylland,22,1998,1.9,0,4,1,25.0,2.13,0.53,0.00,0.00,21.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
30,Joel Andersson,se SWE,DF,dk Midtjylland,23,1996,4.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,26,1994,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Angeliño,es ESP,"DF,FW",de RB Leipzig,23,1997,7.0,3,12,5,41.7,1.73,0.72,0.25,0.60,14.4,0,0,0,1.4,1.4,0.12,+1.6,+1.6,Matches
