Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
1,Brenden Aaronson,us USA,MF,at RB Salzburg,20,2000,7.9,21,2.65,14,2,3,1,1,0,4,0.50,4,0,0,0,0,0,Matches
2,Malik Abubakari,gh GHA,FW,se Malmö,21,2000,1.3,1,0.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,4.2,10,2.37,5,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Tyler Adams,us USA,MF,de RB Leipzig,22,1999,3.3,3,0.92,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Junior Adamu,at AUT,FW,at RB Salzburg,20,2001,2.6,5,1.91,3,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
6,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7.0,1,0.14,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Edmund Addo,gh GHA,MF,md Sheriff Tiraspol,21,2000,5.4,8,1.47,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Karim Adeyemi,de GER,FW,at RB Salzburg,19,2002,6.7,22,3.28,11,0,3,1,7,0,4,0.60,2,0,0,0,2,0,Matches
9,Michel Aebischer,ch SUI,MF,ch Young Boys,24,1997,5.6,17,3.04,8,6,0,1,0,2,3,0.54,2,1,0,0,0,0,Matches
10,Sergio Agüero,ar ARG,FW,es Barcelona,33,1988,0.2,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Anel Ahmedhodžić,ba BIH,DF,se Malmö,22,1999,4.6,2,0.44,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
12,Manuel Akanji,ch SUI,DF,de Dortmund,26,1995,5.0,4,0.80,3,0,1,0,0,0,1,0.20,1,0,0,0,0,0,Matches
13,Nathan Aké,nl NED,DF,eng Manchester City,26,1995,3.6,7,1.94,6,0,0,0,0,1,1,0.28,0,0,0,0,0,1,Matches
14,David Alaba,at AUT,DF,es Real Madrid,29,1992,11.5,9,0.80,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
15,Jordi Alba,es ESP,"DF,FW",es Barcelona,32,1989,4.1,9,2.17,9,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
16,Raúl Albiol,es ESP,DF,es Villarreal,35,1985,11.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Paco Alcácer,es ESP,FW,es Villarreal,27,1993,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Thiago Alcántara,es ESP,MF,eng Liverpool,30,1991,6.7,18,2.70,17,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,22,1998,8.8,34,3.87,19,11,0,3,1,0,8,0.91,7,0,0,1,0,0,Matches
20,Alisson,br BRA,GK,eng Liverpool,28,1992,13.0,3,0.23,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,André Almeida,pt POR,"DF,MF",pt Benfica,30,1990,2.6,2,0.76,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
22,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,30,1990,6.1,16,2.79,6,8,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Éder Álvarez Balanta,co COL,MF,be Club Brugge,28,1993,4.5,6,1.33,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Edson Álvarez,mx MEX,MF,nl Ajax,23,1997,6.2,8,1.29,7,0,0,1,0,0,1,0.16,1,0,0,0,0,0,Matches
25,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,23,1997,3.8,6,1.56,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
26,Benjamin André,fr FRA,MF,fr Lille,30,1990,7.0,9,1.29,7,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
