Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
1,Brenden Aaronson,us USA,MF,at RB Salzburg,20,2000,7.9,0,0,0,3,13,5,20,2,6,0,0,0,44,6,22,21.4,Matches
2,Malik Abubakari,gh GHA,FW,se Malmö,21,2000,1.3,0,0,0,5,4,0,1,0,0,0,0,0,4,2,2,50.0,Matches
3,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,4.2,0,0,0,11,6,0,27,7,10,0,0,0,33,1,5,16.7,Matches
4,Tyler Adams,us USA,MF,de RB Leipzig,22,1999,3.3,4,0,0,6,2,0,2,2,4,0,0,0,20,1,3,25.0,Matches
5,Junior Adamu,at AUT,FW,at RB Salzburg,20,2001,2.6,0,0,0,10,2,1,3,0,2,0,0,0,15,5,10,33.3,Matches
6,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7.0,1,0,0,0,1,0,0,0,0,0,0,0,6,3,0,100.0,Matches
7,Edmund Addo,gh GHA,MF,md Sheriff Tiraspol,21,2000,5.4,3,0,0,14,4,0,0,11,9,0,1,0,34,1,5,16.7,Matches
8,Karim Adeyemi,de GER,FW,at RB Salzburg,19,2002,6.7,2,0,0,9,18,1,4,2,0,4,0,0,19,4,8,33.3,Matches
9,Michel Aebischer,ch SUI,MF,ch Young Boys,24,1997,5.6,2,0,0,5,4,0,19,10,4,0,0,0,43,0,7,0.0,Matches
10,Sergio Agüero,ar ARG,FW,es Barcelona,33,1988,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
11,Anel Ahmedhodžić,ba BIH,DF,se Malmö,22,1999,4.6,1,1,0,6,0,0,0,13,2,0,0,0,23,5,6,45.5,Matches
12,Manuel Akanji,ch SUI,DF,de Dortmund,26,1995,5.0,0,0,0,1,2,0,1,9,6,0,0,0,30,6,6,50.0,Matches
13,Nathan Aké,nl NED,DF,eng Manchester City,26,1995,3.6,1,0,0,3,4,2,0,12,2,0,0,0,12,13,10,56.5,Matches
14,David Alaba,at AUT,DF,es Real Madrid,29,1992,11.5,1,0,0,9,1,0,16,11,9,0,0,0,39,7,10,41.2,Matches
15,Jordi Alba,es ESP,"DF,FW",es Barcelona,32,1989,4.1,0,0,0,4,2,1,27,6,2,0,0,0,23,2,0,100.0,Matches
16,Raúl Albiol,es ESP,DF,es Villarreal,35,1985,11.6,1,0,0,9,6,0,1,7,4,0,0,0,58,16,13,55.2,Matches
17,Paco Alcácer,es ESP,FW,es Villarreal,27,1993,0.8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0.0,Matches
18,Thiago Alcántara,es ESP,MF,eng Liverpool,30,1991,6.7,1,0,0,5,7,0,1,16,11,0,0,0,56,7,11,38.9,Matches
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,22,1998,8.8,2,0,0,5,6,0,81,9,7,0,0,0,73,1,4,20.0,Matches
20,Alisson,br BRA,GK,eng Liverpool,28,1992,13.0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,,Matches
21,André Almeida,pt POR,"DF,MF",pt Benfica,30,1990,2.6,0,0,0,2,5,0,3,3,5,0,0,0,11,7,3,70.0,Matches
22,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,30,1990,6.1,1,0,0,11,7,0,31,8,6,0,0,0,31,9,9,50.0,Matches
23,Éder Álvarez Balanta,co COL,MF,be Club Brugge,28,1993,4.5,4,0,0,18,3,0,1,12,8,0,0,0,48,9,1,90.0,Matches
24,Edson Álvarez,mx MEX,MF,nl Ajax,23,1997,6.2,4,0,0,17,6,2,1,4,13,0,0,0,30,17,6,73.9,Matches
25,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,23,1997,3.8,0,0,0,4,0,0,0,7,4,0,0,0,26,5,1,83.3,Matches
26,Benjamin André,fr FRA,MF,fr Lille,30,1990,7.0,3,0,0,9,10,1,5,8,8,0,0,0,62,25,24,51.0,Matches
27,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,27,1994,1.1,0,0,0,0,1,0,0,2,1,0,0,0,5,0,0,,Matches
28,Angeliño,es ESP,DF,de RB Leipzig,24,1997,4.8,2,1,1,4,2,0,28,5,1,0,0,0,24,0,4,0.0,Matches
29,Marcos Antônio,br BRA,MF,ua Shakhtar,21,2000,2.8,1,0,0,3,3,0,0,3,4,0,0,0,17,0,4,0.0,Matches
30,Antony,br BRA,FW,nl Ajax,21,2000,6.4,1,0,0,5,9,4,21,3,7,0,0,0,41,6,4,60.0,Matches
31,Ronald Araújo,uy URU,DF,es Barcelona,22,1999,4.1,1,0,0,1,5,2,3,4,8,0,0,0,23,10,5,66.7,Matches
32,Danilo Arboleda,co COL,DF,md Sheriff Tiraspol,26,1995,6.0,1,0,0,1,1,0,0,12,2,0,0,0,13,3,3,50.0,Matches
33,Maximilian Arnold,de GER,MF,de Wolfsburg,27,1994,6.0,3,0,0,10,9,0,21,5,6,0,0,0,42,8,2,80.0,Matches
34,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,26,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
35,Marco Asensio,es ESP,"FW,MF",es Real Madrid,25,1996,2.3,0,0,0,2,0,0,4,0,2,0,0,0,11,1,1,50.0,Matches
36,Giorgos Athanasiadis,gr GRE,GK,md Sheriff Tiraspol,28,1993,5.0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,100.0,Matches
37,Ludwig Augustinsson,se SWE,DF,es Sevilla,27,1994,0.9,1,0,0,2,3,0,8,3,0,0,0,0,3,2,3,40.0,Matches
38,Serge Aurier,ci CIV,DF,es Villarreal,28,1992,1.5,0,0,0,1,1,0,2,4,2,0,0,0,10,4,1,80.0,Matches
39,Sardar Azmoun,ir IRN,FW,ru Zenit,26,1995,3.4,0,0,0,3,1,1,0,2,1,0,0,0,7,11,11,50.0,Matches
40,César Azpilicueta,es ESP,DF,eng Chelsea,31,1989,7.5,2,0,0,9,3,0,18,9,8,0,0,0,35,12,12,50.0,Matches
41,Eric Bailly,ci CIV,DF,eng Manchester Utd,27,1994,2.0,0,0,0,2,2,0,0,5,2,0,0,0,11,2,2,50.0,Matches
42,Tiemoué Bakayoko,fr FRA,"MF,FW",it Milan,26,1994,0.7,1,0,0,1,4,0,0,2,3,0,0,0,5,3,2,60.0,Matches
43,Ridle Baku,de GER,"FW,DF",de Wolfsburg,23,1998,4.6,0,0,0,3,1,0,8,2,6,0,0,0,29,1,3,25.0,Matches
44,Alejandro Balde,es ESP,"DF,FW",es Barcelona,17,2003,0.2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
45,Gareth Bale,wls WAL,FW,es Real Madrid,32,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
46,David von Ballmoos,ch SUI,GK,ch Young Boys,26,1994,3.0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,,Matches
47,Fodé Ballo-Touré,sn SEN,"DF,MF",it Milan,24,1997,1.0,0,0,0,2,2,0,1,3,3,0,0,0,7,3,3,50.0,Matches
48,Jonathan Bamba,ci CIV,"MF,FW",fr Lille,25,1996,5.2,3,0,0,7,11,2,23,7,7,1,0,0,34,3,7,30.0,Matches
49,Nicolò Barella,it ITA,MF,it Inter,24,1997,5.5,0,1,0,3,7,0,9,5,6,0,0,0,26,3,2,60.0,Matches
50,Ross Barkley,eng ENG,MF,eng Chelsea,27,1993,1.1,0,0,0,0,1,0,8,0,0,0,0,0,9,1,0,100.0,Matches
