Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
1,Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,2,1,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,2,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.18,0.15,0.18,Matches
2,Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,6,1,137,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,2,4,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches
3,Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,6,6,495,5.5,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.4,4,13,4,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.08,0.04,0.08,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,35,1988,6,4,423,4.7,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,5,22,5,0.00,0.21,0.21,0.00,0.21,0.05,0.06,0.12,0.05,0.12,Matches
5,Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,8,7,552,6.1,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,17,16,38,0.00,0.16,0.16,0.00,0.16,0.05,0.14,0.19,0.05,0.19,Matches
6,Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,3,2,198,2.2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,2,5,5,0.00,0.45,0.45,0.00,0.45,0.07,0.21,0.27,0.07,0.27,Matches
7,Karim Adeyemi,de GER,FW,de Dortmund,21,2002,12,8,707,7.9,2,1,3,2,0,0,0,0,1.8,1.8,1.4,3.2,26,12,50,0.25,0.13,0.38,0.25,0.38,0.23,0.18,0.41,0.23,0.41,Matches
8,Yacine Adli,fr FRA,MF,it Milan,23,2000,3,1,123,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,4,11,1,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,Matches
9,Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,8,7,665,7.4,2,0,2,2,0,0,2,0,1.0,1.0,0.6,1.5,15,47,13,0.27,0.00,0.27,0.27,0.27,0.13,0.08,0.20,0.13,0.20,Matches
11,Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,7,3,384,4.3,0,0,0,0,0,0,0,0,0.9,0.9,0.4,1.3,10,32,6,0.00,0.00,0.00,0.00,0.00,0.22,0.08,0.30,0.22,0.30,Matches
12,Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,6,5,440,4.9,2,0,2,2,0,0,0,0,2.1,2.1,0.9,3.0,11,13,33,0.41,0.00,0.41,0.41,0.41,0.43,0.19,0.62,0.43,0.62,Matches
13,David Alaba,at AUT,DF,es Real Madrid,31,1992,3,3,250,2.8,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.8,2,6,9,0.00,0.36,0.36,0.00,0.36,0.14,0.13,0.27,0.14,0.27,Matches
14,Luis Alberto,es ESP,MF,it Lazio,30,1992,8,8,642,7.1,0,1,1,0,0,0,1,0,0.9,0.9,2.2,3.1,18,71,32,0.00,0.14,0.14,0.00,0.14,0.12,0.31,0.44,0.12,0.44,Matches
