Squad,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
nl Ajax,1,6,6,540,6.0,10,1.67,25,15,60.0,1,2,3,1,16.7,,,,,
be Anderlecht,2,6,6,540,6.0,10,1.67,34,24,70.6,1,3,2,1,16.7,,,,,
cy APOEL FC,1,10,10,540,6.0,12,2.00,38,26,68.4,2,3,5,0,0.0,,,,,
eng Arsenal,3,10,10,718,8.0,11,1.38,41,30,73.2,6,2,2,2,20.0,,,,,
es Athletic Club,1,8,8,540,6.0,6,1.00,21,15,71.4,3,2,3,3,37.5,,,,,
es Atlético Madrid,2,10,10,930,10.3,5,0.48,40,35,87.5,5,2,3,7,70.0,,,,,
es Barcelona,1,13,13,1170,13.0,11,0.85,41,30,73.2,11,0,2,6,46.2,,,,,
ch Basel,1,8,8,720,8.0,13,1.62,49,36,73.5,2,2,4,2,25.0,,,,,
by BATE Borisov,2,12,12,540,6.0,24,4.00,48,24,50.0,3,3,6,0,0.0,,,,,
de Bayern Munich,1,12,12,1080,12.0,13,1.08,36,23,63.9,8,1,3,6,50.0,,,,,
pt Benfica,3,6,6,540,6.0,6,1.00,30,24,80.0,1,2,3,3,50.0,,,,,
eng Chelsea,2,8,8,750,8.3,5,0.60,36,31,86.1,4,4,0,3,37.5,,,,,
ru CSKA Moscow,1,6,6,540,6.0,13,2.17,36,23,63.9,1,2,3,0,0.0,,,,,
de Dortmund,2,8,8,720,8.0,9,1.13,20,11,55.0,4,1,3,3,37.5,,,,,
tr Galatasaray,2,6,6,540,6.0,19,3.17,39,20,51.3,0,1,5,0,0.0,,,,,
it Juventus,1,13,13,1170,13.0,10,0.77,49,39,79.6,7,3,3,6,46.2,,,,,
de Leverkusen,1,10,10,750,8.3,5,0.60,18,13,72.2,6,1,3,3,30.0,,,,,
eng Liverpool,1,6,6,540,6.0,9,1.50,32,23,71.9,1,2,3,0,0.0,,,,,
bg Ludogorets,2,12,12,540,6.0,14,2.33,43,29,67.4,3,4,5,1,8.3,,,,,
se Malmö,1,12,12,540,6.0,15,2.50,49,34,69.4,4,1,7,1,8.3,,,,,
eng Manchester City,1,8,8,720,8.0,11,1.37,45,34,75.6,2,2,4,1,12.5,,,,,
fr Monaco,1,10,10,900,10.0,5,0.50,36,31,86.1,4,3,3,6,60.0,,,,,
si NK Maribor,1,12,12,540,6.0,13,2.17,48,35,72.9,3,6,3,0,0.0,,,,,
gr Olympiacos,1,6,6,540,6.0,13,2.17,34,21,61.8,3,0,3,1,16.7,,,,,
fr Paris S-G,1,10,10,930,10.3,14,1.35,32,18,56.3,4,3,3,2,20.0,,,,,
pt Porto,2,12,12,900,10.0,12,1.20,29,17,58.6,8,3,1,4,33.3,,,,,
es Real Madrid,2,12,12,1080,12.0,9,0.75,46,37,80.4,8,2,2,7,58.3,,,,,
it Roma,2,6,6,540,6.0,14,2.33,33,19,57.6,1,2,3,0,0.0,,,,,
de Schalke 04,2,8,8,720,8.0,19,2.37,44,25,56.8,3,2,3,1,12.5,,,,,
ua Shakhtar,1,8,8,720,8.0,11,1.37,41,30,73.2,2,4,2,4,50.0,,,,,
pt Sporting CP,1,6,6,540,6.0,12,2.00,27,15,55.6,2,1,3,0,0.0,,,,,
ru Zenit,1,10,10,540,6.0,6,1.00,22,16,72.7,5,1,4,3,30.0,,,,,
