Squad,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
eng Arsenal,24,8.0,,,,,,,,,,,,,,,12,,,,,
es Atlético Madrid,23,13.7,,,,,,,,,,,,,,,13,,,,,
es Barcelona,25,10.0,,,,,,,,,,,,,,,17,,,,,
by BATE Borisov,20,6.0,,,,,,,,,,,,,,,5,,,,,
de Bayern Munich,23,12.3,,,,,,,,,,,,,,,21,,,,,
pt Benfica,25,10.0,,,,,,,,,,,,,,,12,,,,,
eng Chelsea,21,8.0,,,,,,,,,,,,,,,7,,,,,
ru CSKA Moscow,19,6.0,,,,,,,,,,,,,,,3,,,,,
hr Dinamo Zagreb,20,6.0,,,,,,,,,,,,,,,2,,,,,
ua Dynamo Kyiv,21,8.0,,,,,,,,,,,,,,,4,,,,,
kz FC Astana,21,6.0,,,,,,,,,,,,,,,3,,,,,
tr Galatasaray,19,6.0,,,,,,,,,,,,,,,4,,,,,
be Gent,18,8.0,,,,,,,,,,,,,,,7,,,,,
de Gladbach,21,6.0,,,,,,,,,,,,,,,8,,,,,
it Juventus,20,8.3,,,,,,,,,,,,,,,7,,,,,
de Leverkusen,18,6.0,,,,,,,,,,,,,,,9,,,,,
fr Lyon,21,6.0,,,,,,,,,,,,,,,5,,,,,
il Maccabi Tel Aviv,20,6.0,,,,,,,,,,,,,,,0,,,,,
se Malmö,19,6.0,,,,,,,,,,,,,,,1,,,,,
eng Manchester City,22,12.0,,,,,,,,,,,,,,,13,,,,,
eng Manchester Utd,23,6.0,,,,,,,,,,,,,,,5,,,,,
gr Olympiacos,18,6.0,,,,,,,,,,,,,,,5,,,,,
fr Paris S-G,21,10.0,,,,,,,,,,,,,,,15,,,,,
pt Porto,18,6.0,,,,,,,,,,,,,,,7,,,,,
nl PSV Eindhoven,22,8.3,,,,,,,,,,,,,,,8,,,,,
es Real Madrid,22,13.3,,,,,,,,,,,,,,,17,,,,,
it Roma,24,8.0,,,,,,,,,,,,,,,8,,,,,
es Sevilla,19,6.0,,,,,,,,,,,,,,,4,,,,,
ua Shakhtar,22,6.0,,,,,,,,,,,,,,,4,,,,,
es Valencia,22,6.0,,,,,,,,,,,,,,,2,,,,,
de Wolfsburg,22,10.0,,,,,,,,,,,,,,,10,,,,,
ru Zenit,24,8.0,,,,,,,,,,,,,,,13,,,,,
