Squad,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
be Anderlecht,20,6.0,100,69,48,46,6,47,125,37.6,78,73,20,53,88,188,99,9
cy APOEL FC,21,6.0,95,63,61,29,5,38,115,33.0,77,85,36,49,104,199,179,6
es Atlético Madrid,20,6.0,118,80,59,45,14,48,129,37.2,81,72,17,55,90,208,93,3
es Barcelona,22,10.0,163,115,72,64,27,55,174,31.6,119,93,27,66,108,271,132,3
ch Basel,21,8.0,124,81,65,47,12,53,147,36.1,94,96,32,64,131,255,214,1
de Bayern Munich,22,12.0,202,138,85,82,35,74,203,36.5,129,119,27,92,137,339,157,6
pt Benfica,25,6.0,92,60,40,46,6,43,98,43.9,55,67,12,55,77,169,82,5
tr Beşiktaş,23,8.0,155,101,74,75,6,62,179,34.6,117,87,31,56,140,295,219,5
sct Celtic,20,6.0,118,72,53,58,7,44,120,36.7,76,63,13,50,102,220,153,5
eng Chelsea,19,8.0,130,97,62,49,19,45,129,34.9,84,69,12,57,111,241,119,4
ru CSKA Moscow,20,6.0,96,58,50,38,8,39,144,27.1,105,74,20,54,89,185,189,3
de Dortmund,22,6.0,106,68,48,37,21,32,94,34.0,62,56,16,40,78,184,112,3
nl Feyenoord,23,6.0,114,80,64,42,8,22,78,28.2,56,87,15,72,100,214,113,4
it Juventus,23,10.0,163,103,83,57,23,53,165,32.1,112,90,22,68,110,273,213,5
eng Liverpool,24,13.0,233,143,109,98,26,78,234,33.3,156,154,40,114,155,388,304,8
eng Manchester City,25,10.0,158,102,64,74,20,63,194,32.5,131,94,21,73,129,287,181,6
eng Manchester Utd,25,8.0,144,87,60,70,14,36,106,34.0,70,89,26,63,98,242,151,3
fr Monaco,23,6.0,117,66,50,57,10,42,91,46.2,49,66,16,50,72,189,123,2
it Napoli,20,6.0,92,59,41,40,11,28,117,23.9,89,61,18,43,81,173,83,4
si NK Maribor,17,6.0,108,68,70,36,2,44,131,33.6,87,69,29,40,70,178,206,11
gr Olympiacos,22,6.0,97,66,52,41,4,28,89,31.5,61,69,27,42,89,186,155,3
fr Paris S-G,19,8.0,127,81,63,44,20,42,115,36.5,73,94,21,73,83,210,159,3
pt Porto,25,8.0,165,117,88,68,9,47,136,34.6,89,84,26,58,120,285,175,3
az Qarabağ,20,6.0,123,93,76,41,6,46,114,40.4,68,60,28,32,78,201,144,1
de RB Leipzig,19,6.0,119,90,47,61,11,42,109,38.5,67,58,10,48,76,195,139,2
es Real Madrid,23,13.0,235,152,114,92,29,94,250,37.6,156,157,54,103,149,384,248,4
it Roma,20,12.0,206,134,99,83,24,79,217,36.4,138,134,45,89,140,346,217,9
es Sevilla,22,10.0,170,102,73,71,26,68,193,35.2,125,95,28,67,119,289,202,1
ua Shakhtar,20,8.0,128,84,70,46,12,42,131,32.1,89,90,24,66,103,231,171,4
ru Spartak Moscow,20,6.0,106,66,51,45,10,46,114,40.4,68,72,24,48,91,197,162,2
pt Sporting CP,21,6.0,111,75,52,51,8,44,95,46.3,51,74,25,49,83,194,112,2
eng Tottenham,26,8.0,125,85,52,55,18,51,128,39.8,77,76,22,54,92,217,188,1
