Squad,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
gr AEK Athens,20,6.0,15,2,2,81,59,11,65,90,67,0,2,0,269,75,85,46.9
nl Ajax,22,12.0,28,1,0,163,156,42,161,173,156,1,1,0,740,187,191,49.5
es Atlético Madrid,21,8.0,24,1,1,92,85,19,130,110,78,0,2,0,446,127,113,52.9
es Barcelona,23,12.0,21,1,1,122,178,22,112,121,128,1,0,0,602,111,130,46.1
de Bayern Munich,20,8.0,12,1,0,87,90,22,127,132,94,2,1,0,481,131,104,55.7
pt Benfica,20,6.0,15,1,1,73,78,3,83,86,95,0,0,0,334,81,92,46.8
be Club Brugge,25,6.0,8,0,0,61,47,14,87,84,60,0,0,0,307,94,90,51.1
ru CSKA Moscow,22,6.0,16,2,2,83,66,10,78,62,67,2,1,0,282,102,106,49.0
de Dortmund,24,8.0,11,0,0,58,66,19,96,101,98,1,0,0,463,88,86,50.6
tr Galatasaray,21,6.0,15,1,1,85,91,14,111,51,72,3,1,1,275,96,91,51.3
de Hoffenheim,25,6.0,15,2,2,82,58,23,110,54,62,1,0,0,300,65,79,45.1
it Inter,17,6.0,15,0,0,83,73,8,143,62,61,0,0,0,315,80,86,48.2
it Juventus,22,10.0,16,1,0,126,142,13,221,116,88,3,2,1,504,161,143,53.0
eng Liverpool,20,13.0,21,0,0,157,122,29,225,114,133,3,0,1,757,197,202,49.4
ru Loko Moscow,19,6.0,16,1,0,90,80,12,74,93,80,1,2,0,354,119,114,51.1
fr Lyon,21,8.0,13,0,0,83,98,25,89,100,79,0,1,0,424,86,80,51.8
eng Manchester City,21,10.0,17,1,1,119,87,26,158,116,79,3,3,0,541,129,97,57.1
eng Manchester Utd,26,10.0,21,1,1,156,109,28,171,90,85,0,0,2,486,129,91,58.6
fr Monaco,29,6.0,13,0,0,68,70,12,116,66,52,0,2,0,320,65,88,42.5
it Napoli,18,6.0,13,0,0,68,68,17,107,57,68,1,0,1,371,65,69,48.5
fr Paris S-G,20,8.0,18,0,0,84,122,24,125,79,73,0,4,0,416,85,63,57.4
pt Porto,25,10.3,20,0,0,149,139,18,180,119,122,4,5,0,619,202,209,49.1
nl PSV Eindhoven,18,6.0,14,0,0,82,72,12,83,73,47,0,0,0,266,105,103,50.5
es Real Madrid,24,8.0,14,1,1,80,81,22,191,106,95,0,0,0,445,106,112,48.6
rs Red Star,20,6.0,17,0,0,87,60,16,64,109,48,0,2,0,286,70,103,40.5
it Roma,24,8.3,13,1,1,100,92,15,156,81,77,1,1,0,445,165,143,53.6
de Schalke 04,27,8.0,16,0,0,103,94,22,128,108,107,1,3,0,419,134,130,50.8
ua Shakhtar,20,6.0,10,0,0,54,76,4,68,75,52,0,2,0,241,47,77,37.9
eng Tottenham,24,13.0,23,1,0,165,121,29,231,144,110,0,2,0,689,214,183,53.9
es Valencia,22,6.0,20,0,0,81,108,21,87,76,67,1,3,0,289,70,81,46.4
cz Viktoria Plzeň,21,6.0,10,0,0,74,73,13,72,64,47,1,2,0,276,91,108,45.7
ch Young Boys,20,6.0,16,2,1,109,63,12,111,74,70,2,1,0,298,87,115,43.1
