Squad,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
nl Ajax,21,6.0,3408,3117,272,91,3,15,93,104,32,7,9,0,2631,19,48
it Atalanta,25,8.0,4052,3661,372,120,10,46,117,150,34,18,14,0,3158,19,101
es Atlético Madrid,20,8.0,4181,3751,412,104,7,37,162,171,57,13,34,0,3258,18,90
es Barcelona,27,8.0,6151,5804,334,100,12,29,94,122,43,17,4,0,5515,13,75
tr Başakşehir,21,6.0,2773,2495,269,69,2,18,100,112,21,7,5,0,2146,9,54
de Bayern Munich,26,10.0,6355,5874,465,142,8,64,228,187,59,31,22,0,5362,16,90
eng Chelsea,24,13.0,7483,6886,570,162,12,38,185,256,54,18,23,1,6232,27,105
be Club Brugge,22,6.0,3324,3029,281,70,1,52,101,129,24,11,6,0,2661,14,60
de Dortmund,26,10.0,5974,5567,398,105,12,49,121,163,43,23,13,1,5066,9,89
ua Dynamo Kyiv,22,6.0,2931,2659,266,72,3,24,72,105,22,3,4,0,2397,6,35
hu Ferencváros,20,6.0,3106,2813,283,91,5,27,69,106,23,15,2,0,2554,10,55
de Gladbach,21,8.0,3961,3644,303,77,10,33,85,136,19,10,9,0,3260,14,59
it Inter,21,6.0,3369,3102,255,59,5,28,133,127,31,11,13,0,2788,12,78
it Juventus,22,8.3,5227,4846,351,97,6,53,172,137,47,19,21,0,4454,30,79
ru Krasnodar,23,6.0,2411,2107,292,94,4,15,74,107,25,0,13,0,1773,12,42
it Lazio,25,8.0,4028,3682,331,104,12,38,122,125,34,17,14,0,3295,15,71
eng Liverpool,29,10.0,5888,5400,471,120,8,54,156,209,46,4,32,0,4722,17,96
ru Loko Moscow,22,6.0,2329,2020,296,100,5,21,69,93,17,5,11,0,1700,13,63
eng Manchester City,25,13.0,9399,8894,483,120,10,56,199,221,73,29,13,3,8282,22,106
eng Manchester Utd,23,6.0,3233,2933,291,85,6,26,102,111,34,14,16,1,2618,9,60
fr Marseille,20,6.0,3182,2880,290,94,0,24,85,117,22,7,12,1,2583,12,41
dk Midtjylland,22,6.0,2548,2240,297,88,5,14,96,121,21,6,5,9,1797,11,59
gr Olympiacos,21,6.0,3153,2835,290,78,1,32,90,127,20,8,8,0,2498,28,59
fr Paris S-G,23,12.0,6236,5639,566,189,17,36,157,190,59,23,15,0,5198,31,118
pt Porto,26,10.3,4066,3507,544,187,3,33,136,229,40,12,20,1,3046,15,77
de RB Leipzig,20,8.0,4469,4036,411,131,3,33,114,183,33,17,10,1,3496,22,90
at RB Salzburg,19,6.0,2946,2645,288,80,9,12,103,111,43,17,19,0,2172,13,58
es Real Madrid,25,12.0,8274,7690,565,151,9,130,211,237,66,21,19,2,7142,19,128
fr Rennes,26,6.0,3151,2852,295,73,0,32,130,126,34,15,19,0,2518,4,53
es Sevilla,25,8.0,5040,4640,388,124,3,92,209,162,44,10,12,0,4212,12,84
ua Shakhtar,23,6.0,3078,2817,258,97,4,28,39,70,13,4,4,0,2588,3,37
ru Zenit,21,6.0,3026,2742,271,64,2,27,102,126,23,10,8,0,2394,13,48
