Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG
nl Ajax,21,24.7,56.0,6,66,540,6.0,7,5,12,6,1,1,11,1,8.1,7.3,5.7,13.0,112,255,1.17,0.83,2.00,1.00,1.83,1.35,0.95,2.29,1.21,2.16
it Atalanta,25,27.5,46.5,8,88,720,8.0,11,10,21,11,0,0,11,1,11.7,11.7,10.0,21.7,141,313,1.37,1.25,2.62,1.37,2.62,1.46,1.25,2.72,1.46,2.72
es Atlético Madrid,20,27.0,49.1,8,88,720,8.0,7,6,13,7,0,0,17,1,9.2,9.2,7.8,16.9,157,355,0.87,0.75,1.62,0.87,1.62,1.14,0.97,2.12,1.14,2.12
es Barcelona,27,26.0,62.1,8,88,720,8.0,18,12,30,12,6,7,12,1,20.4,15.4,13.6,29.0,224,484,2.25,1.50,3.75,1.50,3.00,2.55,1.70,4.25,1.92,3.62
tr Başakşehir,21,29.5,42.8,6,66,540,6.0,7,5,12,7,0,0,18,0,5.2,5.2,4.4,9.6,122,195,1.17,0.83,2.00,1.17,2.00,0.87,0.74,1.60,0.87,1.60
de Bayern Munich,26,27.0,59.6,10,110,900,10.0,25,18,43,22,3,3,20,1,21.8,19.4,15.2,34.6,271,585,2.50,1.80,4.30,2.20,4.00,2.18,1.52,3.70,1.94,3.46
eng Chelsea,24,26.2,51.8,13,143,1170,13.0,23,16,39,18,5,6,20,0,26.0,21.3,18.8,40.2,254,526,1.77,1.23,3.00,1.38,2.62,2.00,1.45,3.45,1.64,3.09
be Club Brugge,22,25.8,50.2,6,66,540,6.0,8,4,12,6,2,2,10,1,8.5,6.9,5.4,12.3,117,250,1.33,0.67,2.00,1.00,1.67,1.42,0.90,2.31,1.15,2.05
de Dortmund,26,25.8,49.5,10,110,900,10.0,19,11,30,17,2,2,9,0,14.4,12.8,9.9,22.7,178,463,1.90,1.10,3.00,1.70,2.80,1.44,0.99,2.43,1.28,2.27
ua Dynamo Kyiv,22,24.4,42.5,6,66,540,6.0,4,1,5,3,1,1,9,1,6.3,5.6,3.8,9.5,92,180,0.67,0.17,0.83,0.50,0.67,1.06,0.64,1.70,0.94,1.58
hu Ferencváros,20,27.8,44.2,6,66,540,6.0,5,3,8,4,1,1,16,0,5.6,4.8,3.5,8.3,69,181,0.83,0.50,1.33,0.67,1.17,0.93,0.58,1.51,0.80,1.38
de Gladbach,21,27.0,42.0,8,88,720,8.0,15,9,24,13,2,2,12,0,11.6,10.0,7.6,17.6,111,214,1.87,1.13,3.00,1.62,2.75,1.44,0.95,2.39,1.25,2.19
it Inter,21,28.3,50.3,6,66,540,6.0,7,6,13,7,0,0,22,1,8.3,8.3,5.9,14.2,101,289,1.17,1.00,2.17,1.17,2.17,1.39,0.98,2.37,1.39,2.37
it Juventus,22,27.6,55.1,8,88,750,8.3,17,14,31,15,2,2,22,1,15.8,14.3,11.2,25.4,151,437,2.04,1.68,3.72,1.80,3.48,1.90,1.34,3.24,1.71,3.05
ru Krasnodar,23,27.8,37.5,6,66,540,6.0,6,4,10,5,1,1,10,0,6.4,5.6,3.8,9.4,80,201,1.00,0.67,1.67,0.83,1.50,1.06,0.64,1.70,0.93,1.57
it Lazio,25,29.0,44.8,8,88,720,8.0,12,8,20,9,3,3,23,0,13.1,10.7,9.3,20.0,125,268,1.50,1.00,2.50,1.13,2.12,1.63,1.16,2.79,1.34,2.50
eng Liverpool,29,26.0,52.0,10,110,900,10.0,14,10,24,13,1,1,17,0,14.7,14.0,10.8,24.8,213,439,1.40,1.00,2.40,1.30,2.30,1.47,1.08,2.56,1.40,2.48
