Squad,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
nl Ajax,21,8.0,4186,4952,84.5,69706,24237,1914,2134,89.7,1794,1997,89.8,321,488,65.8,16,13.9,13.7,+2.1,107,344,146,27,509
it Atalanta,21,6.0,2537,3168,80.1,45131,15818,1179,1340,88.0,990,1170,84.6,287,462,62.1,11,8.8,6.8,+2.2,65,199,56,13,262
es Atlético Madrid,22,10.0,2953,3955,74.7,50825,19634,1418,1625,87.3,1038,1267,81.9,338,715,47.3,8,8.7,7.9,-0.7,68,197,56,11,284
es Barcelona,23,6.0,3185,3747,85.0,53967,17042,1467,1613,90.9,1365,1508,90.5,262,402,65.2,1,5.5,7.0,-4.5,54,232,57,15,309
de Bayern Munich,24,10.0,5697,6637,85.8,100704,35472,2643,2922,90.5,2476,2758,89.8,516,740,69.7,23,18.7,16.6,+4.3,143,586,149,31,705
pt Benfica,24,10.0,3125,4035,77.4,55862,21599,1340,1579,84.9,1288,1495,86.2,366,659,55.5,10,8.1,5.6,+1.9,76,222,45,11,278
tr Beşiktaş,26,6.0,2092,2680,78.1,34605,14371,1063,1209,87.9,714,860,83.0,203,369,55.0,2,5.0,4.6,-3.0,37,129,35,12,177
eng Chelsea,24,10.3,5889,6826,86.3,93132,29284,2938,3154,93.2,2313,2582,89.6,376,621,60.5,15,15.4,16.3,-0.4,134,480,148,19,572
be Club Brugge,21,6.0,1798,2466,72.9,31468,14027,864,1035,83.5,631,809,78.0,224,409,54.8,5,4.5,3.8,+0.5,40,129,41,7,208
de Dortmund,23,6.0,2759,3376,81.7,45699,15694,1279,1452,88.1,1104,1258,87.8,226,372,60.8,8,9.1,7.9,-1.1,64,201,52,10,254
ua Dynamo Kyiv,23,6.0,2161,2713,79.7,37772,13940,993,1114,89.1,864,1007,85.8,228,406,56.2,1,3.0,4.0,-2.0,31,123,43,6,175
it Inter,22,8.0,3535,4237,83.4,63351,21912,1495,1682,88.9,1614,1816,88.9,356,539,66.0,6,9.4,9.4,-3.4,100,302,83,26,389
it Juventus,28,8.0,3798,4501,84.4,67637,21193,1590,1784,89.1,1672,1834,91.2,389,589,66.0,6,9.7,9.0,-3.7,84,320,70,18,317
fr Lille,23,8.0,2837,3691,76.9,50252,18323,1339,1567,85.4,1121,1344,83.4,314,557,56.4,4,5.7,4.6,-1.7,58,227,47,14,283
eng Liverpool,28,13.0,7308,8675,84.2,125865,43721,3375,3721,90.7,3023,3395,89.0,698,1096,63.7,21,20.6,17.1,+0.4,168,633,145,28,740
se Malmö,21,6.0,1838,2400,76.6,32001,11682,914,1052,86.9,682,826,82.6,209,392,53.3,1,1.4,1.3,-0.4,29,100,20,8,131
eng Manchester City,26,12.3,6979,8008,87.2,121207,37364,3268,3544,92.2,3027,3314,91.3,607,881,68.9,23,20.0,19.0,+3.0,151,667,161,16,757
eng Manchester Utd,31,8.0,3690,4474,82.5,65094,20999,1710,1912,89.4,1457,1657,87.9,413,646,63.9,11,7.4,7.8,+3.6,62,267,59,12,314
it Milan,23,6.0,2056,2651,77.6,36630,14360,957,1110,86.2,832,982,84.7,230,419,54.9,4,3.8,4.5,+0.2,30,122,36,9,160
fr Paris S-G,21,8.0,4292,4901,87.6,62993,21409,2254,2432,92.7,1450,1587,91.4,249,370,67.3,8,9.6,8.3,-1.6,70,230,51,4,275
pt Porto,22,6.0,1925,2550,75.5,36233,13408,831,957,86.8,728,877,83.0,295,549,53.7,3,5.7,5.4,-2.7,52,134,35,12,157
de RB Leipzig,23,6.0,2288,2923,78.3,38913,15225,1123,1261,89.1,898,1069,84.0,215,422,50.9,13,9.4,8.4,+3.6,66,187,63,11,244
at RB Salzburg,21,8.0,2457,3368,73.0,44588,18082,1102,1310,84.1,984,1216,80.9,303,612,49.5,6,6.1,3.9,-0.1,55,237,36,2,293
es Real Madrid,25,13.7,6773,7907,85.7,110520,34445,3398,3661,92.8,2423,2683,90.3,635,994,63.9,21,15.7,16.5,+5.3,144,471,140,23,552
es Sevilla,22,6.0,2825,3515,80.4,55879,18552,1069,1227,87.1,1306,1494,87.4,398,619,64.3,3,4.3,5.1,-1.3,52,218,48,17,297
ua Shakhtar,25,6.0,3389,3823,88.6,53950,17539,1726,1849,93.3,1365,1492,91.5,206,303,68.0,2,6.3,6.1,-4.3,65,267,47,3,291
md Sheriff Tiraspol,19,6.0,1368,1834,74.6,26046,10729,604,695,86.9,546,671,81.4,194,378,51.3,5,3.4,2.7,+1.6,39,82,23,10,100
pt Sporting CP,27,8.0,2626,3338,78.7,46252,16769,1129,1296,87.1,1138,1327,85.8,268,492,54.5,10,8.0,7.1,+2.0,56,139,37,11,228
es Villarreal,25,12.0,4060,5187,78.3,71760,26371,1781,2016,88.3,1719,2027,84.8,423,808,52.4,16,15.3,12.1,+0.7,95,258,71,15,320
de Wolfsburg,21,6.0,1840,2472,74.4,36001,14464,714,883,80.9,829,999,83.0,262,468,56.0,4,3.5,3.6,+0.5,33,132,24,8,160
ch Young Boys,24,6.0,2337,2925,79.9,46068,15665,875,1007,86.9,1137,1297,87.7,308,525,58.7,4,5.7,4.3,-1.7,62,215,47,15,244
ru Zenit,21,6.0,2433,2956,82.3,42186,14420,1142,1272,89.8,918,1047,87.7,269,434,62.0,6,6.8,7.8,-0.8,61,164,59,17,225
