Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
be Antwerp,2,6.0,17,1,1,2,1,12.4,0.33,-3.6,-0.59,40,111,36.0,230,30,41.7,41.7,42,35.7,33.2,68,9,13.2,3,0.50,13.8
eng Arsenal,2,10.3,8,1,0,1,0,7.2,0.22,-0.8,-0.08,43,109,39.4,273,47,33.3,25.2,63,28.6,28.4,99,14,14.1,16,1.55,15.0
es Atlético Madrid,1,10.3,13,0,0,2,1,11.8,0.25,-0.2,-0.02,34,99,34.3,207,46,32.9,33.5,71,43.7,36.8,140,11,7.9,3,0.29,9.9
es Barcelona,2,10.0,14,1,0,1,0,13.6,0.33,-0.4,-0.04,41,89,46.1,302,36,24.8,24.3,62,22.6,28.7,109,5,4.6,14,1.40,11.7
de Bayern Munich,2,12.0,13,3,0,1,0,16.1,0.34,+3.1,+0.26,47,107,43.9,402,48,24.9,28.9,81,8.6,19.1,113,4,3.5,13,1.08,18.9
pt Benfica,1,6.0,11,2,0,2,0,14.6,0.37,+3.6,+0.60,23,58,39.7,140,24,26.4,28.5,55,38.2,35.3,72,3,4.2,6,1.00,12.1
pt Braga,1,6.0,12,0,0,1,2,10.6,0.33,+0.6,+0.10,26,71,36.6,173,27,28.9,31.0,40,52.5,37.9,82,1,1.2,9,1.50,17.5
sct Celtic,1,6.0,15,0,1,2,0,13.3,0.31,-1.7,-0.28,11,30,36.7,192,36,12.0,23.8,52,13.5,22.4,84,1,1.2,1,0.17,5.9
de Dortmund,2,13.0,11,2,0,1,1,17.0,0.24,+7.0,+0.54,70,154,45.5,392,43,28.1,29.7,120,36.7,34.5,208,8,3.8,1,0.08,8.7
dk FC Copenhagen,1,8.0,14,1,0,3,0,13.3,0.30,-0.7,-0.09,44,123,35.8,221,41,36.7,34.6,67,62.7,48.1,138,6,4.3,3,0.38,9.5
