Squad,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
be Antwerp,20,24.5,6,540,90,100,6.0,66,83,40,25,18,25,0.50,6,17,-11,-1.83,6.2,11.1,-4.9,-0.81
eng Arsenal,23,25.2,10,930,93,100,10.3,110,85,70,40,21,77,1.70,19,8,+11,+1.06,13.4,8.5,+4.9,+0.47
es Atlético Madrid,22,29.4,10,930,93,100,10.3,110,82,64,45,27,61,2.00,23,13,+10,+0.97,16.7,12.7,+3.9,+0.38
es Barcelona,25,26.5,10,900,90,100,10.0,110,81,67,41,21,67,1.90,20,14,+6,+0.60,16.9,11.3,+5.6,+0.56
de Bayern Munich,23,27.6,12,1080,90,100,12.0,132,85,90,41,16,67,2.00,21,13,+8,+0.67,19.0,15.0,+4.0,+0.33
pt Benfica,22,26.3,6,540,90,100,6.0,66,79,35,29,21,37,0.67,7,11,-4,-0.67,7.8,15.9,-8.1,-1.34
pt Braga,23,27.7,6,540,90,100,6.0,66,82,37,28,18,44,0.67,6,12,-6,-1.00,8.3,10.0,-1.7,-0.28
sct Celtic,23,26.3,6,540,90,100,6.0,66,78,39,25,27,43,0.67,5,15,-10,-1.67,4.9,11.7,-6.8,-1.13
de Dortmund,23,27.2,13,1170,90,100,13.0,143,83,92,51,19,89,1.85,17,11,+6,+0.46,17.2,23.6,-6.4,-0.49
dk FC Copenhagen,24,27.0,8,720,90,100,8.0,88,83,53,34,16,56,1.00,10,14,-4,-0.50,9.1,12.8,-3.7,-0.46
nl Feyenoord,24,24.1,6,540,90,100,6.0,66,81,39,28,22,39,1.00,9,10,-1,-0.17,10.6,8.0,+2.6,+0.43
tr Galatasaray,20,28.5,6,540,90,100,6.0,66,81,36,30,20,30,0.83,10,13,-3,-0.50,9.8,10.2,-0.4,-0.07
it Inter,22,29.0,8,750,94,100,8.3,88,83,47,41,23,47,1.88,10,7,+3,+0.36,16.2,8.6,+7.6,+0.91
it Lazio,21,28.8,8,720,90,100,8.0,88,79,49,39,24,45,1.63,8,10,-2,-0.25,10.6,11.7,-1.1,-0.14
fr Lens,20,27.2,6,540,90,100,6.0,66,81,39,27,23,40,1.33,6,11,-5,-0.83,6.1,7.5,-1.4,-0.23
eng Manchester City,25,26.1,10,930,93,100,10.3,110,86,74,36,22,69,2.60,28,13,+15,+1.45,24.6,6.9,+17.7,+1.71
eng Manchester Utd,24,26.3,6,540,90,100,6.0,66,80,41,23,25,40,0.67,12,15,-3,-0.50,10.5,11.4,-0.9,-0.15
it Milan,23,26.4,6,540,90,100,6.0,66,83,42,24,18,35,1.33,5,8,-3,-0.50,9.6,7.7,+1.9,+0.32
it Napoli,23,27.1,8,720,90,100,8.0,88,82,51,37,18,52,1.38,12,13,-1,-0.12,10.5,11.6,-1.1,-0.13
eng Newcastle Utd,23,27.6,6,540,90,100,6.0,66,83,49,18,25,35,0.83,6,7,-1,-0.17,5.9,12.3,-6.4,-1.07
fr Paris S-G,21,24.5,12,1080,90,100,12.0,132,84,91,41,19,79,1.42,19,15,+4,+0.33,24.3,13.3,+11.0,+0.91
pt Porto,25,26.4,8,750,94,100,8.3,88,88,50,38,14,56,1.88,16,9,+7,+0.84,11.4,7.7,+3.7,+0.44
nl PSV Eindhoven,22,25.6,8,720,90,100,8.0,88,84,56,32,15,48,1.25,9,13,-4,-0.50,11.0,11.0,0.0,0.00
de RB Leipzig,23,25.6,8,720,90,100,8.0,88,84,52,36,15,37,1.63,14,12,+2,+0.25,12.2,10.7,+1.5,+0.19
at RB Salzburg,23,22.3,6,540,90,100,6.0,66,81,38,28,22,37,0.67,4,8,-4,-0.67,7.4,11.4,-3.9,-0.66
es Real Madrid,23,27.2,13,1200,92,100,13.3,143,87,94,49,16,84,2.38,28,15,+13,+0.97,25.1,17.5,+7.6,+0.57
es Real Sociedad,26,25.9,8,720,90,100,8.0,88,82,50,38,18,57,1.50,8,6,+2,+0.25,10.3,6.4,+3.9,+0.49
rs Red Star,22,26.6,6,540,90,100,6.0,66,80,37,29,24,42,0.17,7,15,-8,-1.33,8.7,14.8,-6.1,-1.02
es Sevilla,24,29.8,6,540,90,100,6.0,66,83,42,24,19,43,0.33,7,12,-5,-0.83,5.9,10.8,-4.9,-0.81
ua Shakhtar,21,24.9,6,540,90,100,6.0,66,86,47,19,15,53,1.50,10,12,-2,-0.33,7.4,10.9,-3.5,-0.58
de Union Berlin,21,28.5,6,540,90,100,6.0,66,83,38,28,17,29,0.33,6,10,-4,-0.67,5.6,11.5,-5.9,-0.98
ch Young Boys,23,25.7,6,540,90,100,6.0,66,82,39,26,19,45,0.67,7,13,-6,-1.00,6.4,15.3,-8.9,-1.48
